axis,inclusion_set,backbone,slope,r_squared,cluster_ci_lo,cluster_ci_hi,n_receptors,sd_predictor,crosses_zero
npxxy,baseline,boltz,0.0421693230431286,0.0034378518130658,-0.3266129900101238,0.5614533708906414,28,5.222248531464653,True
npxxy,baseline,chai,0.3659831349641503,0.1561217800907237,-0.0009036171546741,0.9010595428649304,28,5.222248531464653,True
npxxy,baseline,of3,0.1756011078370302,0.0910375375794407,-0.0361315850108026,0.4100977070011057,28,5.222248531464653,True
npxxy,baseline,protenix,0.2572441216209084,0.1983945533456792,0.0738154709252464,0.5517185373724748,28,5.222248531464653,False
npxxy,class_a_no_holds,boltz,0.0582911401500968,0.0051114754093909,-0.3335487475049272,0.736867004605463,23,4.486261286439168,True
npxxy,class_a_no_holds,chai,0.4495743964660449,0.1586085324186612,-0.008694819137239,1.4561727048162914,23,4.486261286439168,True
npxxy,class_a_no_holds,of3,0.2538432377898039,0.1251715464603413,-0.0442132944869915,0.5733595091923563,23,4.486261286439168,True
npxxy,class_a_no_holds,protenix,0.2811931620279461,0.2004938507473778,0.0863728962386791,0.6930508762540899,23,4.486261286439168,False
npxxy,class_a_only,boltz,0.0421693230431286,0.0034378518130658,-0.3266129900101238,0.5614533708906414,28,5.222248531464653,True
npxxy,class_a_only,chai,0.3659831349641503,0.1561217800907237,-0.0009036171546741,0.9010595428649304,28,5.222248531464653,True
npxxy,class_a_only,of3,0.1756011078370302,0.0910375375794407,-0.0361315850108026,0.4100977070011057,28,5.222248531464653,True
npxxy,class_a_only,protenix,0.2572441216209084,0.1983945533456792,0.0738154709252464,0.5517185373724748,28,5.222248531464653,False
tilt,baseline,boltz,0.4453966905340157,0.12450949843273,-0.5256785072826969,0.6941329694011303,39,2.1690235695051907,True
tilt,baseline,chai,0.0809187631460227,0.0043174349290857,-0.9543179856881258,0.315927990535046,39,2.1690235695051907,True
tilt,baseline,of3,0.1066606193993753,0.0098737405104651,-0.3024154412064291,0.9114827236179216,39,2.1690235695051907,True
tilt,baseline,protenix,0.611241410760779,0.3074198762606663,-0.0822210273163879,0.9126806755934546,39,2.1690235695051907,True
tilt,class_a_no_holds,boltz,-0.3189123487381372,0.0344283615800939,-1.125438353088781,0.5306833865916046,27,1.1950828098261552,True
tilt,class_a_no_holds,chai,-0.557989204484362,0.0725766390953188,-1.3564999357444243,0.3751217793474686,27,1.1950828098261552,True
tilt,class_a_no_holds,of3,0.2503320391191788,0.021428998649059,-0.6995823524499415,0.9227164951993916,27,1.1950828098261552,True
tilt,class_a_no_holds,protenix,0.0851097200531124,0.0051943310107693,-0.5044965675567319,0.5786687422075932,27,1.1950828098261552,True
tilt,class_a_only,boltz,-0.2979084598338442,0.0307579105791463,-0.9845946024531532,0.4540637317303364,32,1.170608777989353,True
tilt,class_a_only,chai,-0.6593934230211177,0.0976549246669798,-1.327235999422312,0.1267056314787007,32,1.170608777989353,True
tilt,class_a_only,of3,0.2325769571278716,0.0191509736147674,-0.61272865346538,0.8298741295021725,32,1.170608777989353,True
tilt,class_a_only,protenix,0.0822983348102382,0.0037169816376809,-0.4400913148826538,0.5563216499658257,32,1.170608777989353,True
