backbone,aggregation,pearson_r,spearman_rho,cluster_ci_lo,cluster_ci_hi,n_rows,signed_at_cluster_boot,primary_or_secondary
boltz,plddt_mean,-0.1018753074505822,-0.1480113533119734,-0.2869356635822797,0.061116235427545,1595,False,secondary
boltz,plddt_at_anchors,-0.2207004721863192,-0.2587465162640074,-0.3524719501293625,-0.1208237704177266,1595,True,primary
boltz,min_plddt_at_anchor,-0.192945204391563,-0.2291514497086418,-0.3400727330098347,-0.082097955700008,1595,True,secondary
chai,plddt_mean,0.0727977685106791,-0.0051889710125737,-0.2702627227030991,0.3764317208022344,1600,False,secondary
chai,plddt_at_anchors,-0.1604930339324207,-0.2351041186269426,-0.4969419860550639,0.1357617154597667,1600,False,primary
chai,min_plddt_at_anchor,-0.332066249363882,-0.4026892470281251,-0.611013267897447,-0.0290751877030512,1600,True,secondary
of3,plddt_mean,-0.2579435283568227,-0.2804733300986203,-0.4782097364527714,-0.0342545877813184,1600,True,secondary
of3,plddt_at_anchors,-0.6255177667660865,-0.626619909976392,-0.740844793177494,-0.4747732819252524,1600,True,primary
of3,min_plddt_at_anchor,-0.4503439890182137,-0.4787051400222818,-0.6017147257579809,-0.2735791149123471,1600,True,secondary
protenix,plddt_mean,0.3267311200801609,0.2850918590994976,0.1687331925842002,0.5190286435959853,1600,True,secondary
protenix,plddt_at_anchors,0.0683542644534629,0.0525365857541089,-0.2219152079704789,0.256093152526456,1600,False,primary
protenix,min_plddt_at_anchor,-0.2492304904280706,-0.2375193720088388,-0.4651066283385395,-0.0266528519790719,1600,True,secondary
