metric,backbone,exclusion_set,value,baseline_value,pct_shift_from_baseline,sign_flip
median_tilt_shift,boltz,baseline,5.036307399878147,5.036307399878147,0.0,False
fraction_of_way_to_active,boltz,baseline,0.9471950017465284,0.9471950017465284,0.0,False
apo_active_rate,boltz,baseline,0.1598326359832636,0.1598326359832636,0.0,False
cognate_active_rate,boltz,baseline,0.8341880341880342,0.8341880341880342,0.0,False
tilt_active_rate,boltz,baseline,0.5784355179704017,0.5784355179704017,0.0,False
median_tilt_shift,chai,baseline,1.047307481027726,1.047307481027726,0.0,False
fraction_of_way_to_active,chai,baseline,0.8841178702979391,0.8841178702979391,0.0,False
apo_active_rate,chai,baseline,0.3266666666666666,0.3266666666666666,0.0,False
cognate_active_rate,chai,baseline,0.7497872340425532,0.7497872340425532,0.0,False
tilt_active_rate,chai,baseline,0.5962105263157895,0.5962105263157895,0.0,False
median_tilt_shift,of3,baseline,4.814160360618894,4.814160360618894,0.0,False
fraction_of_way_to_active,of3,baseline,0.9339782025693488,0.9339782025693488,0.0,False
apo_active_rate,of3,baseline,0.2416666666666666,0.2416666666666666,0.0,False
cognate_active_rate,of3,baseline,0.7991489361702128,0.7991489361702128,0.0,False
tilt_active_rate,of3,baseline,0.6075789473684211,0.6075789473684211,0.0,False
median_tilt_shift,protenix,baseline,5.307282224462718,5.307282224462718,0.0,False
fraction_of_way_to_active,protenix,baseline,0.9201264714510232,0.9201264714510232,0.0,False
apo_active_rate,protenix,baseline,0.145,0.145,0.0,False
cognate_active_rate,protenix,baseline,0.8706382978723404,0.8706382978723404,0.0,False
tilt_active_rate,protenix,baseline,0.5671578947368421,0.5671578947368421,0.0,False
median_tilt_shift,boltz,E1,5.036307399878147,5.036307399878147,0.0,False
fraction_of_way_to_active,boltz,E1,0.9471950017465284,0.9471950017465284,0.0,False
apo_active_rate,boltz,E1,0.1598326359832636,0.1598326359832636,0.0,False
cognate_active_rate,boltz,E1,0.8341880341880342,0.8341880341880342,0.0,False
tilt_active_rate,boltz,E1,0.5784355179704017,0.5784355179704017,0.0,False
median_tilt_shift,chai,E1,1.047307481027726,1.047307481027726,0.0,False
fraction_of_way_to_active,chai,E1,0.8841178702979391,0.8841178702979391,0.0,False
apo_active_rate,chai,E1,0.3266666666666666,0.3266666666666666,0.0,False
cognate_active_rate,chai,E1,0.7497872340425532,0.7497872340425532,0.0,False
tilt_active_rate,chai,E1,0.5962105263157895,0.5962105263157895,0.0,False
median_tilt_shift,of3,E1,4.814160360618894,4.814160360618894,0.0,False
fraction_of_way_to_active,of3,E1,0.9339782025693488,0.9339782025693488,0.0,False
apo_active_rate,of3,E1,0.2416666666666666,0.2416666666666666,0.0,False
cognate_active_rate,of3,E1,0.7991489361702128,0.7991489361702128,0.0,False
tilt_active_rate,of3,E1,0.6075789473684211,0.6075789473684211,0.0,False
median_tilt_shift,protenix,E1,5.278610990748296,5.307282224462718,-0.540224403033773,False
fraction_of_way_to_active,protenix,E1,0.9201264714510232,0.9201264714510232,0.0,False
apo_active_rate,protenix,E1,0.145,0.145,0.0,False
cognate_active_rate,protenix,E1,0.8895652173913043,0.8706382978723404,2.1739130434782665,False
