backbone,axis,inclusion_set,slope,intercept,r_squared,mad,cluster_ci_lo,cluster_ci_hi,receptor_ci_lo,receptor_ci_hi,n_receptors,sd_predictor
boltz,tilt,baseline,0.4453966905340157,1.7674274729241264,0.12450949843273007,0.9568402958737492,-0.5256785072826969,0.6941329694011303,-0.18536191875673177,0.9255130025517848,39,2.1690235695051907
boltz,tilt,class_a_only,-0.2979084598338442,5.8417688361137445,0.03075791057914634,0.9911259065119982,-0.9845946024531532,0.45406373173033643,-0.9362756664315559,0.4913139059454515,32,1.170608777989353
boltz,tilt,class_a_no_holds,-0.31891234873813723,5.909880042271759,0.03442836158009399,1.0122217384805356,-1.125438353088781,0.5306833865916046,-1.1310747087440052,0.4795466463997531,27,1.1950828098261552
boltz,npxxy,baseline,0.0421693230431286,-5.446497594421221,0.003437851813065884,1.7234251711302684,-0.32661299001012384,0.5614533708906414,-0.27227052293209403,0.532488945260402,28,5.222248531464653
boltz,npxxy,class_a_only,0.0421693230431286,-5.446497594421221,0.003437851813065884,1.7234251711302684,-0.32661299001012384,0.5614533708906414,-0.27227052293209403,0.532488945260402,28,5.222248531464653
boltz,npxxy,class_a_no_holds,0.058291140150096815,-5.505364797903401,0.005111475409390942,1.5482535171017506,-0.33354874750492725,0.736867004605463,-0.349227501307366,0.7800720167304235,23,4.486261286439168
chai,tilt,baseline,0.08091876314602275,2.1045972212596173,0.004317434929085762,1.6311039351824912,-0.9543179856881258,0.31592799053504605,-0.6048508543863217,0.5592006756082072,39,2.1690235695051907
chai,tilt,class_a_only,-0.6593934230211177,6.209071023218763,0.09765492466697989,1.9585833618779382,-1.327235999422312,0.12670563147870076,-1.3428700041565929,0.21004767882391395,32,1.170608777989353
chai,tilt,class_a_no_holds,-0.557989204484362,5.812024410712673,0.07257663909531886,2.389765851420028,-1.3564999357444245,0.3751217793474686,-1.3031568800418776,0.33632043279509793,27,1.1950828098261552
chai,npxxy,baseline,0.36598313496415036,-1.7180609786037204,0.15612178009072375,3.717576953247107,-0.0009036171546741604,0.9010595428649305,0.036291482557373286,0.9574878292367521,28,5.222248531464653
chai,npxxy,class_a_only,0.36598313496415036,-1.7180609786037204,0.15612178009072375,3.717576953247107,-0.0009036171546741604,0.9010595428649305,0.036291482557373286,0.9574878292367521,28,5.222248531464653
chai,npxxy,class_a_no_holds,0.4495743964660449,-0.9969083658387122,0.15860853241866124,4.134438753858602,-0.008694819137239082,1.4561727048162914,0.010308320694875204,1.4580638840103086,23,4.486261286439168
of3,tilt,baseline,0.1066606193993753,3.2231017755189657,0.00987374051046519,0.9780355349718763,-0.30241544120642916,0.9114827236179217,-0.24086808841217494,0.6252838037674591,39,2.1690235695051907
of3,tilt,class_a_only,0.23257695712787163,3.1074873288264255,0.019150973614767475,0.7376672613471618,-0.61272865346538,0.8298741295021725,-0.541357128073434,0.8581224945494295,32,1.170608777989353
of3,tilt,class_a_no_holds,0.2503320391191788,2.926411924409099,0.021428998649059006,0.6121906051479948,-0.6995823524499415,0.9227164951993915,-0.6502792804356058,0.9336833503234466,27,1.1950828098261552
of3,npxxy,baseline,0.17560110783703026,-3.0091185766066246,0.09103753757944077,1.6442350009522395,-0.03613158501080268,0.41009770700110576,-0.0105550000932503,0.41646291552315995,28,5.222248531464653
of3,npxxy,class_a_only,0.17560110783703026,-3.0091185766066246,0.09103753757944077,1.6442350009522395,-0.03613158501080268,0.41009770700110576,-0.0105550000932503,0.41646291552315995,28,5.222248531464653
of3,npxxy,class_a_no_holds,0.25384323778980394,-2.287677512537291,0.12517154646034134,1.290934598203103,-0.044213294486991565,0.5733595091923563,-0.030413145611918595,0.5667638483649795,23,4.486261286439168
protenix,tilt,baseline,0.611241410760779,1.4831826664761896,0.30741987626066636,0.668878039205719,-0.08222102731638796,0.9126806755934546,0.20765226547539598,0.9945518864439697,39,2.1690235695051907
protenix,tilt,class_a_only,0.08229833481023822,4.5182613261059394,0.0037169816376809717,0.5598322682560863,-0.4400913148826538,0.5563216499658257,-0.4772024969336677,0.5830396671974285,32,1.170608777989353
protenix,tilt,class_a_no_holds,0.08510972005311244,4.567093646476527,0.005194331010769382,0.601959135138153,-0.5044965675567319,0.5786687422075932,-0.5763480988198886,0.6577639884215205,27,1.1950828098261552
protenix,npxxy,baseline,0.2572441216209084,-3.9761099059963825,0.19839455334567924,0.5553114313108531,0.07381547092524648,0.5517185373724748,0.09143366773955718,0.5373936377611195,28,5.222248531464653
protenix,npxxy,class_a_only,0.2572441216209084,-3.9761099059963825,0.19839455334567924,0.5553114313108531,0.07381547092524648,0.5517185373724748,0.09143366773955718,0.5373936377611195,28,5.222248531464653
protenix,npxxy,class_a_no_holds,0.2811931620279461,-3.9389560404972013,0.2004938507473778,0.4304612193652,0.08637289623867918,0.6930508762540899,0.07725603058719914,0.671770449646843,23,4.486261286439168
