backbone,aggregation,pearson_r,spearman_rho,cluster_ci_lo,cluster_ci_hi,receptor_ci_lo,receptor_ci_hi,n_rows,n_receptors,signed_at_cluster_boot,primary_or_secondary
boltz,plddt_mean,-0.10187530745058225,-0.14801135331197343,-0.2869356635822797,0.06111623542754503,-0.27972741657084094,0.0759929387426139,1595,40,False,secondary
boltz,plddt_at_anchors,-0.22070047218631922,-0.25874651626400746,-0.3524719501293625,-0.12082377041772667,-0.3564703070098155,-0.08869864748609636,1595,40,True,primary
boltz,min_plddt_at_anchor,-0.19294520439156307,-0.22915144970864182,-0.34007273300983476,-0.08209795570000807,-0.3462676067010515,-0.0618304559183729,1595,40,True,secondary
chai,plddt_mean,0.07279776851067918,-0.005188971012573792,-0.2702627227030991,0.37643172080223447,-0.26730107080376675,0.38735552602164086,1600,40,False,secondary
chai,plddt_at_anchors,-0.16049303393242076,-0.23510411862694264,-0.4969419860550639,0.13576171545976673,-0.4677182436264904,0.12348324486278167,1600,40,False,primary
chai,min_plddt_at_anchor,-0.33206624936388207,-0.4026892470281251,-0.611013267897447,-0.029075187703051227,-0.619121416550538,-0.03491853819036561,1600,40,True,secondary
of3,plddt_mean,-0.25794352835682277,-0.2804733300986203,-0.47820973645277143,-0.03425458778131848,-0.4789195773710712,-0.03802825696501428,1600,40,True,secondary
of3,plddt_at_anchors,-0.6255177667660865,-0.626619909976392,-0.740844793177494,-0.4747732819252524,-0.743961105821695,-0.49484571239990216,1600,40,True,primary
of3,min_plddt_at_anchor,-0.45034398901821376,-0.47870514002228187,-0.6017147257579809,-0.27357911491234715,-0.5984875120588186,-0.29584527891326856,1600,40,True,secondary
protenix,plddt_mean,0.3267311200801609,0.2850918590994976,0.1687331925842002,0.5190286435959853,0.17456891755980186,0.5276916316013959,1600,40,True,secondary
protenix,plddt_at_anchors,0.06835426445346296,0.05253658575410895,-0.22191520797047892,0.25609315252645604,-0.1711723784425612,0.26438803192201477,1600,40,False,primary
protenix,min_plddt_at_anchor,-0.24923049042807066,-0.2375193720088388,-0.4651066283385395,-0.026652851979071954,-0.4512726640244044,-0.04310702828605995,1600,40,True,secondary
