receptor,arm,backbone,donor_ga_identity,donor_ga_class,cognate_ga_identity,cognate_ga_class
5HT1B,apo,boltz,,,alphai1,Gi
5HT1B,apo,chai,,,alphai1,Gi
5HT1B,apo,of3,,,alphai1,Gi
5HT1B,apo,protenix,,,alphai1,Gi
5HT1B,cognate,boltz,alphai1,Gi,alphai1,Gi
5HT1B,cognate,chai,alphai1,Gi,alphai1,Gi
5HT1B,cognate,of3,alphai1,Gi,alphai1,Gi
5HT1B,cognate,protenix,alphai1,Gi,alphai1,Gi
5HT1B,decoy,boltz,5ht1b_decoy,Gi_scaffold_scrambled,alphai1,Gi
5HT1B,decoy,chai,5ht1b_decoy,Gi_scaffold_scrambled,alphai1,Gi
5HT1B,decoy,of3,5ht1b_decoy,Gi_scaffold_scrambled,alphai1,Gi
5HT1B,decoy,protenix,5ht1b_decoy,Gi_scaffold_scrambled,alphai1,Gi
5HT1B,shuffled,boltz,alphas,Gs,alphai1,Gi
5HT1B,shuffled,chai,alphas,Gs,alphai1,Gi
5HT1B,shuffled,of3,alphas,Gs,alphai1,Gi
5HT1B,shuffled,protenix,alphas,Gs,alphai1,Gi
5HT2C,apo,boltz,,,alphaq,Gq
5HT2C,apo,chai,,,alphaq,Gq
5HT2C,apo,of3,,,alphaq,Gq
5HT2C,apo,protenix,,,alphaq,Gq
5HT2C,cognate,boltz,alphaq,Gq,alphaq,Gq
5HT2C,cognate,chai,alphaq,Gq,alphaq,Gq
5HT2C,cognate,of3,alphaq,Gq,alphaq,Gq
5HT2C,cognate,protenix,alphaq,Gq,alphaq,Gq
5HT2C,decoy,boltz,5ht2c_decoy,Gq_scaffold_scrambled,alphaq,Gq
5HT2C,decoy,chai,5ht2c_decoy,Gq_scaffold_scrambled,alphaq,Gq
5HT2C,decoy,of3,5ht2c_decoy,Gq_scaffold_scrambled,alphaq,Gq
5HT2C,decoy,protenix,5ht2c_decoy,Gq_scaffold_scrambled,alphaq,Gq
5HT2C,shuffled,boltz,alphas,Gs,alphaq,Gq
5HT2C,shuffled,chai,alphas,Gs,alphaq,Gq
5HT2C,shuffled,of3,alphas,Gs,alphaq,Gq
5HT2C,shuffled,protenix,alphas,Gs,alphaq,Gq
5HT5A,apo,boltz,,,alphai1,Gi
5HT5A,apo,chai,,,alphai1,Gi
5HT5A,apo,of3,,,alphai1,Gi
5HT5A,apo,protenix,,,alphai1,Gi
5HT5A,cognate,boltz,alphai1,Gi,alphai1,Gi
5HT5A,cognate,chai,alphai1,Gi,alphai1,Gi
5HT5A,cognate,of3,alphai1,Gi,alphai1,Gi
5HT5A,cognate,protenix,alphai1,Gi,alphai1,Gi
5HT5A,decoy,boltz,5ht5a_decoy,Gi_scaffold_scrambled,alphai1,Gi
5HT5A,decoy,chai,5ht5a_decoy,Gi_scaffold_scrambled,alphai1,Gi
5HT5A,decoy,of3,5ht5a_decoy,Gi_scaffold_scrambled,alphai1,Gi
5HT5A,decoy,protenix,5ht5a_decoy,Gi_scaffold_scrambled,alphai1,Gi
5HT5A,shuffled,boltz,alphas,Gs,alphai1,Gi
5HT5A,shuffled,chai,alphas,Gs,alphai1,Gi
5HT5A,shuffled,of3,alphas,Gs,alphai1,Gi
5HT5A,shuffled,protenix,alphas,Gs,alphai1,Gi
AA1R,apo,boltz,,,alphai1,Gi
AA1R,apo,chai,,,alphai1,Gi
AA1R,apo,of3,,,alphai1,Gi
AA1R,apo,protenix,,,alphai1,Gi
AA1R,cognate,boltz,alphai1,Gi,alphai1,Gi
AA1R,cognate,chai,alphai1,Gi,alphai1,Gi
AA1R,cognate,of3,alphai1,Gi,alphai1,Gi
AA1R,cognate,protenix,alphai1,Gi,alphai1,Gi
AA1R,decoy,boltz,aa1r_decoy,Gi_scaffold_scrambled,alphai1,Gi
AA1R,decoy,chai,aa1r_decoy,Gi_scaffold_scrambled,alphai1,Gi
AA1R,decoy,of3,aa1r_decoy,Gi_scaffold_scrambled,alphai1,Gi
AA1R,decoy,protenix,aa1r_decoy,Gi_scaffold_scrambled,alphai1,Gi
AA1R,shuffled,boltz,alphas,Gs,alphai1,Gi
AA1R,shuffled,chai,alphas,Gs,alphai1,Gi
AA1R,shuffled,of3,alphas,Gs,alphai1,Gi
AA1R,shuffled,protenix,alphas,Gs,alphai1,Gi
AA2AR,apo,boltz,,,alphas,Gs
AA2AR,apo,chai,,,alphas,Gs
AA2AR,apo,of3,,,alphas,Gs
AA2AR,apo,protenix,,,alphas,Gs
AA2AR,cognate,boltz,alphas,Gs,alphas,Gs
AA2AR,cognate,chai,alphas,Gs,alphas,Gs
AA2AR,cognate,of3,alphas,Gs,alphas,Gs
AA2AR,cognate,protenix,alphas,Gs,alphas,Gs
AA2AR,decoy,boltz,aa2ar_decoy,Gs_scaffold_scrambled,alphas,Gs
AA2AR,decoy,chai,aa2ar_decoy,Gs_scaffold_scrambled,alphas,Gs
AA2AR,decoy,of3,aa2ar_decoy,Gs_scaffold_scrambled,alphas,Gs
AA2AR,decoy,protenix,aa2ar_decoy,Gs_scaffold_scrambled,alphas,Gs
AA2AR,shuffled,boltz,alphai1,Gi,alphas,Gs
AA2AR,shuffled,chai,alphai1,Gi,alphas,Gs
AA2AR,shuffled,of3,alphai1,Gi,alphas,Gs
AA2AR,shuffled,protenix,alphai1,Gi,alphas,Gs
ACM1,apo,boltz,,,alphaq,Gq
ACM1,apo,chai,,,alphaq,Gq
ACM1,apo,of3,,,alphaq,Gq
ACM1,apo,protenix,,,alphaq,Gq
ACM1,cognate,boltz,alphaq,Gq,alphaq,Gq
ACM1,cognate,chai,alphaq,Gq,alphaq,Gq
ACM1,cognate,of3,alphaq,Gq,alphaq,Gq
ACM1,cognate,protenix,alphaq,Gq,alphaq,Gq
ACM1,decoy,boltz,acm1_decoy,Gq_scaffold_scrambled,alphaq,Gq
ACM1,decoy,chai,acm1_decoy,Gq_scaffold_scrambled,alphaq,Gq
ACM1,decoy,of3,acm1_decoy,Gq_scaffold_scrambled,alphaq,Gq
ACM1,decoy,protenix,acm1_decoy,Gq_scaffold_scrambled,alphaq,Gq
ACM1,shuffled,boltz,alphas,Gs,alphaq,Gq
ACM1,shuffled,chai,alphas,Gs,alphaq,Gq
ACM1,shuffled,of3,alphas,Gs,alphaq,Gq
ACM1,shuffled,protenix,alphas,Gs,alphaq,Gq
ACM2,apo,boltz,,,alphai1,Gi
ACM2,apo,chai,,,alphai1,Gi
ACM2,apo,of3,,,alphai1,Gi
ACM2,apo,protenix,,,alphai1,Gi
ACM2,cognate,boltz,alphai1,Gi,alphai1,Gi
ACM2,cognate,chai,alphai1,Gi,alphai1,Gi
ACM2,cognate,of3,alphai1,Gi,alphai1,Gi
ACM2,cognate,protenix,alphai1,Gi,alphai1,Gi
ACM2,decoy,boltz,acm2_decoy,Gi_scaffold_scrambled,alphai1,Gi
ACM2,decoy,chai,acm2_decoy,Gi_scaffold_scrambled,alphai1,Gi
ACM2,decoy,of3,acm2_decoy,Gi_scaffold_scrambled,alphai1,Gi
ACM2,decoy,protenix,acm2_decoy,Gi_scaffold_scrambled,alphai1,Gi
ACM2,shuffled,boltz,alphas,Gs,alphai1,Gi
ACM2,shuffled,chai,alphas,Gs,alphai1,Gi
ACM2,shuffled,of3,alphas,Gs,alphai1,Gi
ACM2,shuffled,protenix,alphas,Gs,alphai1,Gi
ACM4,apo,boltz,,,alphai1,Gi
ACM4,apo,chai,,,alphai1,Gi
ACM4,apo,of3,,,alphai1,Gi
ACM4,apo,protenix,,,alphai1,Gi
ACM4,cognate,boltz,alphai1,Gi,alphai1,Gi
ACM4,cognate,chai,alphai1,Gi,alphai1,Gi
ACM4,cognate,of3,alphai1,Gi,alphai1,Gi
ACM4,cognate,protenix,alphai1,Gi,alphai1,Gi
ACM4,decoy,boltz,acm4_decoy,Gi_scaffold_scrambled,alphai1,Gi
ACM4,decoy,chai,acm4_decoy,Gi_scaffold_scrambled,alphai1,Gi
ACM4,decoy,of3,acm4_decoy,Gi_scaffold_scrambled,alphai1,Gi
ACM4,decoy,protenix,acm4_decoy,Gi_scaffold_scrambled,alphai1,Gi
ACM4,shuffled,boltz,alphas,Gs,alphai1,Gi
ACM4,shuffled,chai,alphas,Gs,alphai1,Gi
ACM4,shuffled,of3,alphas,Gs,alphai1,Gi
ACM4,shuffled,protenix,alphas,Gs,alphai1,Gi
ADA2A,apo,boltz,,,alphai1,Gi
ADA2A,apo,chai,,,alphai1,Gi
ADA2A,apo,of3,,,alphai1,Gi
ADA2A,apo,protenix,,,alphai1,Gi
ADA2A,cognate,boltz,alphai1,Gi,alphai1,Gi
ADA2A,cognate,chai,alphai1,Gi,alphai1,Gi
ADA2A,cognate,of3,alphai1,Gi,alphai1,Gi
ADA2A,cognate,protenix,alphai1,Gi,alphai1,Gi
ADA2A,decoy,boltz,ada2a_decoy,Gi_scaffold_scrambled,alphai1,Gi
ADA2A,decoy,chai,ada2a_decoy,Gi_scaffold_scrambled,alphai1,Gi
ADA2A,decoy,of3,ada2a_decoy,Gi_scaffold_scrambled,alphai1,Gi
ADA2A,decoy,protenix,ada2a_decoy,Gi_scaffold_scrambled,alphai1,Gi
ADA2A,shuffled,boltz,alphas,Gs,alphai1,Gi
ADA2A,shuffled,chai,alphas,Gs,alphai1,Gi
ADA2A,shuffled,of3,alphas,Gs,alphai1,Gi
ADA2A,shuffled,protenix,alphas,Gs,alphai1,Gi
ADRB1,apo,boltz,,,alphas,Gs
ADRB1,apo,chai,,,alphas,Gs
ADRB1,apo,of3,,,alphas,Gs
ADRB1,apo,protenix,,,alphas,Gs
ADRB1,cognate,boltz,alphas,Gs,alphas,Gs
ADRB1,cognate,chai,alphas,Gs,alphas,Gs
ADRB1,cognate,of3,alphas,Gs,alphas,Gs
ADRB1,cognate,protenix,alphas,Gs,alphas,Gs
ADRB1,decoy,boltz,adrb1_decoy,Gs_scaffold_scrambled,alphas,Gs
ADRB1,decoy,chai,adrb1_decoy,Gs_scaffold_scrambled,alphas,Gs
ADRB1,decoy,of3,adrb1_decoy,Gs_scaffold_scrambled,alphas,Gs
ADRB1,decoy,protenix,adrb1_decoy,Gs_scaffold_scrambled,alphas,Gs
ADRB1,shuffled,boltz,alphai1,Gi,alphas,Gs
ADRB1,shuffled,chai,alphai1,Gi,alphas,Gs
ADRB1,shuffled,of3,alphai1,Gi,alphas,Gs
ADRB1,shuffled,protenix,alphai1,Gi,alphas,Gs
ADRB2,apo,boltz,,,alphas,Gs
ADRB2,apo,chai,,,alphas,Gs
ADRB2,apo,of3,,,alphas,Gs
ADRB2,apo,protenix,,,alphas,Gs
ADRB2,cognate,boltz,alphas,Gs,alphas,Gs
ADRB2,cognate,chai,alphas,Gs,alphas,Gs
ADRB2,cognate,of3,alphas,Gs,alphas,Gs
ADRB2,cognate,protenix,alphas,Gs,alphas,Gs
ADRB2,decoy,boltz,adrb2_decoy,Gs_scaffold_scrambled,alphas,Gs
ADRB2,decoy,chai,adrb2_decoy,Gs_scaffold_scrambled,alphas,Gs
ADRB2,decoy,of3,adrb2_decoy,Gs_scaffold_scrambled,alphas,Gs
ADRB2,decoy,protenix,adrb2_decoy,Gs_scaffold_scrambled,alphas,Gs
ADRB2,shuffled,boltz,alphai1,Gi,alphas,Gs
ADRB2,shuffled,chai,alphai1,Gi,alphas,Gs
ADRB2,shuffled,of3,alphai1,Gi,alphas,Gs
ADRB2,shuffled,protenix,alphai1,Gi,alphas,Gs
AGTR1,apo,boltz,,,alphaq,Gq
AGTR1,apo,chai,,,alphaq,Gq
AGTR1,apo,of3,,,alphaq,Gq
AGTR1,apo,protenix,,,alphaq,Gq
AGTR1,cognate,boltz,alphaq,Gq,alphaq,Gq
AGTR1,cognate,chai,alphaq,Gq,alphaq,Gq
AGTR1,cognate,of3,alphaq,Gq,alphaq,Gq
AGTR1,cognate,protenix,alphaq,Gq,alphaq,Gq
AGTR1,decoy,boltz,agtr1_decoy,Gq_scaffold_scrambled,alphaq,Gq
AGTR1,decoy,chai,agtr1_decoy,Gq_scaffold_scrambled,alphaq,Gq
AGTR1,decoy,of3,agtr1_decoy,Gq_scaffold_scrambled,alphaq,Gq
AGTR1,decoy,protenix,agtr1_decoy,Gq_scaffold_scrambled,alphaq,Gq
AGTR1,shuffled,boltz,alphas,Gs,alphaq,Gq
AGTR1,shuffled,chai,alphas,Gs,alphaq,Gq
AGTR1,shuffled,of3,alphas,Gs,alphaq,Gq
AGTR1,shuffled,protenix,alphas,Gs,alphaq,Gq
APJ,apo,boltz,,,alphai1,Gi
APJ,apo,chai,,,alphai1,Gi
