arm,backbone,axis,n,p5,p25,p50,p75,p95,iqr,n_nan
apo,boltz,d_npxxy_y558_y753_oh,1800,3.598377485183919,9.513359900525403,10.57962593129145,12.757518529183322,17.771661069995655,3.244158628657919,200
apo,boltz,d_gpcrdb_tm6_tilt_246_637_ca,2000,11.25439491294341,11.748413610562054,12.079017351033846,13.267768736924644,17.89586734918795,1.5193551263625906,0
apo,boltz,delta_to_active,1600,-9.042501297785622,-6.964910931470747,-5.780397508091798,-3.4223486568545582,-0.3255678005034812,3.542562274616189,400
apo,boltz,delta_to_inactive,2000,-3.4686630451451776,-0.6406831862942477,-0.009593456489790549,0.83806985482728,7.318819468804319,1.4787530411215277,0
apo,boltz,rmsd_to_active_ref,1600,0.8303550000000001,1.8482750000000001,2.2152000000000003,2.5414,2.9618100000000003,0.6931249999999998,400
apo,boltz,rmsd_to_inactive_ref,1600,0.5911000000000001,0.945425,1.31355,1.802775,2.595355,0.8573500000000001,400
apo,chai,d_npxxy_y558_y753_oh,1800,3.2012403036249215,4.593742422832476,9.736982580312208,12.166430289326094,18.72967490865048,7.5726878664936175,200
apo,chai,d_gpcrdb_tm6_tilt_246_637_ca,2000,11.441266123374557,11.916037130624996,12.68328857961713,16.93587000203247,18.683458700441694,5.019832871407473,0
apo,chai,delta_to_active,1600,-8.952215448677968,-6.8115327520640445,-5.064040205839078,-1.526357358511233,0.7761820311492375,5.285175393552811,400
apo,chai,delta_to_inactive,2000,-3.2214873018057935,-0.5047567521851495,0.2895200560109412,4.252384825291734,8.569081146322825,4.757141577476883,0
apo,chai,rmsd_to_active_ref,1600,0.679435,1.412875,1.9971,2.4690499999999997,2.83711,1.0561749999999996,400
apo,chai,rmsd_to_inactive_ref,1600,0.697435,0.9970249999999999,1.2829000000000002,2.0654500000000002,2.755145,1.0684250000000004,400
apo,of3,d_npxxy_y558_y753_oh,1800,4.473344738886037,8.973194654936957,9.901224000148185,11.170559750125122,14.67329011447762,2.1973650951881645,200
apo,of3,d_gpcrdb_tm6_tilt_246_637_ca,2000,11.414287702529268,11.865499908016865,12.361431849027717,13.636562198853197,17.085003065061333,1.7710622908363316,0
apo,of3,delta_to_active,1600,-9.760053824189415,-7.031899748773718,-5.989847863986408,-4.226334742456439,-1.385961336357265,2.805565006317279,400
apo,of3,delta_to_inactive,2000,-3.773613703148811,-1.0743525926281299,-0.0777718261362334,0.665060607642717,5.493804945756455,1.739413200270847,0
apo,of3,rmsd_to_active_ref,1600,1.39308,1.769825,2.1702500000000002,2.382625,2.869395,0.6128,400
apo,of3,rmsd_to_inactive_ref,1600,0.7404200000000001,0.9951749999999999,1.3126,1.7630249999999998,2.24868,0.7678499999999999,400
apo,protenix,d_npxxy_y558_y753_oh,1800,3.3016585370665856,9.516955024392843,10.510590149090227,11.497067233599282,15.06247926320219,1.980112209206439,200
apo,protenix,d_gpcrdb_tm6_tilt_246_637_ca,2000,11.244914491983563,11.710696507202636,11.94877882251851,12.43501311873006,16.166319985080946,0.7243166115274242,0
apo,protenix,delta_to_active,1600,-9.793802786089056,-7.136956618058587,-6.256092798290153,-4.966652163805486,-1.320051058828835,2.1703044542531007,400
apo,protenix,delta_to_inactive,2000,-3.7872677754541284,-1.0536281061953399,-0.31130367183250396,0.13695034948145318,5.815323680557962,1.190578455676793,0
apo,protenix,rmsd_to_active_ref,1600,1.38229,2.02545,2.25995,2.448275,2.863385,0.422825,400
apo,protenix,rmsd_to_inactive_ref,1600,0.5829099999999999,0.87265,1.1575,1.6274250000000001,2.5127499999999996,0.7547750000000001,400
decoy,boltz,d_npxxy_y558_y753_oh,1800,3.3239387334603525,4.1122437593238175,7.951548546228509,10.637418624959516,16.94295434399112,6.525174865635698,200
decoy,boltz,d_gpcrdb_tm6_tilt_246_637_ca,2000,11.48330837410384,12.686617344975962,16.22623998683827,17.437455167596998,18.523721850707563,4.750837822621035,0
decoy,boltz,delta_to_active,1600,-8.085461944573527,-4.45530674458513,-1.492770180693162,-0.2552519128165262,1.2254987305474392,4.200054831768604,400
decoy,boltz,delta_to_inactive,2000,-0.9418803007487324,0.5424983932780507,3.7883836488937144,5.811755909926095,8.657101962927424,5.269257516648045,0
decoy,boltz,rmsd_to_active_ref,1600,0.456945,1.0229750000000002,1.4428,1.996675,2.625325,0.9736999999999998,400
decoy,boltz,rmsd_to_inactive_ref,1600,0.8644700000000001,1.439125,1.9324,2.328725,2.969644999999999,0.8896,400
decoy,chai,d_npxxy_y558_y753_oh,1800,3.42459913549185,4.075620839318613,4.668489077467152,9.561350074383615,12.577225133586381,5.485729235065002,200
decoy,chai,d_gpcrdb_tm6_tilt_246_637_ca,2000,11.479729874824843,12.24663092010265,16.915638470252407,17.785707553707326,18.684795452661096,5.539076633604676,0
decoy,chai,delta_to_active,1600,-7.063789628404556,-4.748012557155693,-1.1689465603339748,0.16614544583026045,1.1485214159082904,4.914158002985953,400
decoy,chai,delta_to_inactive,2000,-1.1237206319132784,0.46823233194223146,4.139718778036955,6.114686990373423,8.566578902473214,5.646454658431192,0
decoy,chai,rmsd_to_active_ref,1600,0.696545,1.1332499999999999,1.3981,2.066375,2.573535,0.933125,400
decoy,chai,rmsd_to_inactive_ref,1600,0.9250700000000001,1.47895,2.10415,2.3550750000000003,2.8048100000000002,0.8761250000000003,400
decoy,of3,d_npxxy_y558_y753_oh,1800,3.341113293631173,4.450235683735027,9.377149309366697,11.301605381452852,16.646592243467445,6.851369697717825,200
decoy,of3,d_gpcrdb_tm6_tilt_246_637_ca,2000,11.489399627391213,12.129087240427795,16.074471462899794,17.50975230838547,18.35773077141706,5.380665067957674,0
decoy,of3,delta_to_active,1600,-7.7526831599976465,-4.841745043195425,-1.4017511167798284,-0.11963461194817387,1.502507193434363,4.722110431247252,400
decoy,of3,delta_to_inactive,2000,-1.4739630285402439,0.21631352301524354,3.279588581275906,5.975503028056344,8.692006364236097,5.7591895050411,0
decoy,of3,rmsd_to_active_ref,1600,0.816285,1.19325,1.5678,2.133825,2.58519,0.9405749999999999,400
decoy,of3,rmsd_to_inactive_ref,1600,0.95398,1.48015,1.9886,2.358275,3.14756,0.8781249999999998,400
decoy,protenix,d_npxxy_y558_y753_oh,1800,3.2930826548149894,3.970502749451349,4.561791270417512,9.819909602992439,12.827408359250713,5.84940685354109,200
decoy,protenix,d_gpcrdb_tm6_tilt_246_637_ca,2000,11.673398095557078,12.495822875777028,16.952277106312916,17.647382769657455,18.03468746181574,5.151559893880426,0
decoy,protenix,delta_to_active,1600,-7.252250973641844,-3.9908732664692232,-1.3225120192289834,-0.16672233058992786,1.377319611710474,3.8241509358792953,400
decoy,protenix,delta_to_inactive,2000,-1.0480314969574651,0.32516437336017034,4.145821880207395,6.134680293056236,8.38438343811557,5.809515919696065,0
decoy,protenix,rmsd_to_active_ref,1600,0.70956,0.89375,1.2283499999999998,1.893625,2.43124,0.9998749999999998,400
decoy,protenix,rmsd_to_inactive_ref,1600,0.8925649999999999,1.3006,2.13295,2.428425,2.84034,1.1278249999999999,400
shuffled,boltz,d_npxxy_y558_y753_oh,1800,3.6395720415640938,3.968603919525444,4.470351657534851,5.3300684307496615,12.706595426346574,1.3614645112242174,200
shuffled,boltz,d_gpcrdb_tm6_tilt_246_637_ca,2000,13.300242584753926,16.895594633550285,17.44443897456118,17.896365685630492,18.67725873723464,1.0007710520802071,0
shuffled,boltz,delta_to_active,1600,-8.11695743743466,-0.5122941077645451,0.0040056368296461,0.7301653645918629,2.690298298721676,1.242459472356408,400
shuffled,boltz,delta_to_inactive,2000,1.2029524555020168,4.241061463525302,6.0515239681872135,7.10646134567306,9.270230695744727,2.8653998821477584,0
shuffled,boltz,rmsd_to_active_ref,1600,0.550155,0.90795,1.12065,1.420525,2.290475,0.512575,400
shuffled,boltz,rmsd_to_inactive_ref,1600,1.2436800000000001,2.03775,2.3697999999999997,2.685975,3.0566999999999998,0.648225,400
shuffled,chai,d_npxxy_y558_y753_oh,1800,3.473560578024442,3.9377123238761844,4.356968953943735,8.314728783873305,11.78161059759409,4.377016459997121,200
shuffled,chai,d_gpcrdb_tm6_tilt_246_637_ca,2000,11.545987655335532,12.91865010495357,17.828918853361678,18.21617452098723,19.008505974794105,5.29752441603366,0
shuffled,chai,delta_to_active,1600,-6.052832291017327,-0.9189473221189514,0.14533948959655069,1.1649870949576382,3.1779145724823135,2.0839344170765894,400
shuffled,chai,delta_to_inactive,2000,-0.506347958523628,3.6210599145515303,5.709893725069919,7.856362015705445,9.61594061614691,4.2353021011539145,0
shuffled,chai,rmsd_to_active_ref,1600,0.67979,0.884675,1.2175,1.865175,2.516635,0.9805,400
shuffled,chai,rmsd_to_inactive_ref,1600,1.09059,2.08025,2.3662,2.6345,3.065225,0.5542500000000001,400
shuffled,of3,d_npxxy_y558_y753_oh,1800,3.5421595847633167,4.09173860079844,5.105823984356524,9.27381065694763,12.829352954437685,5.18207205614919,200
shuffled,of3,d_gpcrdb_tm6_tilt_246_637_ca,2000,11.573032743327946,16.5790876384324,17.619826249605932,18.14474981009976,18.907609454416058,1.565662171667359,0
shuffled,of3,delta_to_active,1600,-5.561416191201246,-0.8703096109248061,-0.10270461685950044,0.7054059010342995,3.7889563097154784,1.5757155119591055,400
shuffled,of3,delta_to_inactive,2000,0.21419486757803746,3.585162331306205,5.574514917850622,7.396394288341966,9.922725457585317,3.811231957035761,0
shuffled,of3,rmsd_to_active_ref,1600,0.740885,0.983825,1.2262499999999998,1.619125,2.666619999999997,0.6353,400
shuffled,of3,rmsd_to_inactive_ref,1600,1.3836849999999998,1.9587,2.30645,2.62195,3.1484349999999997,0.6632499999999999,400
shuffled,protenix,d_npxxy_y558_y753_oh,1800,3.481902300265838,3.8114740325088903,4.08703313268789,4.441357738363832,8.901871219538794,0.629883705854942,200
shuffled,protenix,d_gpcrdb_tm6_tilt_246_637_ca,2000,15.707132414541455,17.323260598161244,17.691772404139783,17.993240475185445,18.5810877159767,0.6699798770242005,0
shuffled,protenix,delta_to_active,1600,-1.3621875958211842,-0.6217880246788998,0.0834375195771706,0.5755975323316513,1.8620906517153246,1.1973855570105512,400
shuffled,protenix,delta_to_inactive,2000,2.3650927405276043,4.492164687922388,6.259154741136166,7.293794116304438,9.221467997203172,2.80162942838205,0
