frame,arm,backbone,n_rows,binary_predicate,per_receptor_midpoint_mean,per_receptor_midpoint_median,delta_to_active_median,logit_active_fraction,cluster_boot_ci_lo_binary,cluster_boot_ci_hi_binary,n_receptors
all_40,apo,boltz,2000,0.114,0.11400000000000002,0.0,-5.780397508091798,-2.0505185022105854,0.029650000000000003,0.22251527777777777,40
all_40,apo,chai,2000,0.291,0.29100000000000004,0.0,-5.064040205839078,-0.8905322593606352,0.1316590909090909,0.4620194444444444,40
all_40,apo,of3,2000,0.099,0.099,0.02,-5.989847863986408,-2.208385407473748,0.042439024390243905,0.16263523391812867,40
all_40,apo,protenix,2000,0.0645,0.0645,0.0,-6.256092798290153,-2.6744159219124173,0.0,0.16333333333333333,40
all_40,apo,panel,8000,0.142125,0.142125,0.015,-5.928368206310006,-1.7977514491580986,0.06731387043189369,0.2270994318181818,40
all_40,decoy,boltz,2000,0.4735,0.47350000000000003,0.42000000000000004,-1.492770180693162,-0.1060994189478973,0.33620366795366796,0.6023338345864662,40
all_40,decoy,chai,2000,0.55,0.55,0.9199999999999999,-1.1689465603339748,0.2006706954621514,0.3677719182597231,0.7204284615384615,40
all_40,decoy,of3,2000,0.3985,0.39849999999999997,0.32,-1.4017511167798284,-0.41171903718446373,0.2675637065637066,0.5331736607142857,40
all_40,decoy,protenix,2000,0.5865,0.5865,0.8,-1.3225120192289834,0.34951515362978425,0.44808833223467365,0.7130124999999999,40
all_40,decoy,panel,8000,0.502125,0.502125,0.5225,-1.361486086074584,0.008500051177638036,0.38435864825581395,0.6112199017199017,40
all_40,shuffled,boltz,2000,0.751,0.751,1.0,0.0040056368296461,1.1039527552994273,0.5948684210526316,0.8855163461538461,40
all_40,shuffled,chai,2000,0.6595,0.6595000000000001,1.0,0.14533948959655069,0.6610668465678021,0.48,0.8045011363636364,40
all_40,shuffled,of3,2000,0.6485,0.6485,0.8200000000000001,-0.10270461685950044,0.6124522925057788,0.5058019116677653,0.7784651162790698,40
