arm,backbone,axis,threshold,cognate_p95_reference,apo_p05_reference,n,frac_within_0p5A,frac_within_1p0A,frac_above_cognate_p95,frac_below_apo_p05
apo,boltz,d_npxxy_y558_y753_oh,9.082,12.51903713333032,3.598377485183919,1800,0.11444444444444445,0.2683333333333333,0.275,0.05
decoy,boltz,d_npxxy_y558_y753_oh,9.082,12.51903713333032,3.598377485183919,1800,0.08055555555555556,0.18722222222222223,0.11777777777777777,0.09277777777777778
shuffled,boltz,d_npxxy_y558_y753_oh,9.082,12.51903713333032,3.598377485183919,1800,0.034444444444444444,0.07333333333333333,0.055,0.03611111111111111
cognate,boltz,d_npxxy_y558_y753_oh,9.082,12.51903713333032,3.598377485183919,1800,0.0044444444444444444,0.012222222222222223,0.05,0.03611111111111111
apo,chai,d_npxxy_y558_y753_oh,9.082,11.655377642403925,3.2012403036249215,1800,0.12222222222222222,0.2288888888888889,0.3022222222222222,0.05
decoy,chai,d_npxxy_y558_y753_oh,9.082,11.655377642403925,3.2012403036249215,1800,0.12277777777777778,0.19666666666666666,0.11277777777777778,0.012222222222222223
shuffled,chai,d_npxxy_y558_y753_oh,9.082,11.655377642403925,3.2012403036249215,1800,0.07833333333333334,0.13111111111111112,0.065,0.011111111111111112
cognate,chai,d_npxxy_y558_y753_oh,9.082,11.655377642403925,3.2012403036249215,1800,0.050555555555555555,0.08944444444444444,0.05,0.0038888888888888888
apo,of3,d_npxxy_y558_y753_oh,9.082,10.904401813239401,4.473344738886037,1800,0.20666666666666667,0.3888888888888889,0.31722222222222224,0.05
decoy,of3,d_npxxy_y558_y753_oh,9.082,10.904401813239401,4.473344738886037,1800,0.125,0.21333333333333335,0.2866666666666667,0.25166666666666665
shuffled,of3,d_npxxy_y558_y753_oh,9.082,10.904401813239401,4.473344738886037,1800,0.08833333333333333,0.16833333333333333,0.12444444444444444,0.40166666666666667
cognate,of3,d_npxxy_y558_y753_oh,9.082,10.904401813239401,4.473344738886037,1800,0.05444444444444444,0.11277777777777778,0.05,0.4911111111111111
apo,protenix,d_npxxy_y558_y753_oh,9.082,5.186600111151376,3.3016585370665856,1800,0.1461111111111111,0.26722222222222225,0.9,0.05
decoy,protenix,d_npxxy_y558_y753_oh,9.082,5.186600111151376,3.3016585370665856,1800,0.0811111111111111,0.16166666666666665,0.42777777777777776,0.05611111111111111
shuffled,protenix,d_npxxy_y558_y753_oh,9.082,5.186600111151376,3.3016585370665856,1800,0.01888888888888889,0.030555555555555555,0.07944444444444444,0.01611111111111111
cognate,protenix,d_npxxy_y558_y753_oh,9.082,5.186600111151376,3.3016585370665856,1800,0.0,0.0,0.05,0.0
apo,boltz,d_gpcrdb_tm6_tilt_246_637_ca,14.932,18.684010939497668,11.25439491294341,2000,0.024,0.062,0.027,0.05
decoy,boltz,d_gpcrdb_tm6_tilt_246_637_ca,14.932,18.684010939497668,11.25439491294341,2000,0.063,0.1335,0.037,0.0255
shuffled,boltz,d_gpcrdb_tm6_tilt_246_637_ca,14.932,18.684010939497668,11.25439491294341,2000,0.0465,0.094,0.0485,0.0
cognate,boltz,d_gpcrdb_tm6_tilt_246_637_ca,14.932,18.684010939497668,11.25439491294341,2000,0.0165,0.0825,0.05,0.0005
apo,chai,d_gpcrdb_tm6_tilt_246_637_ca,14.932,18.79648066394131,11.441266123374557,2000,0.035,0.0985,0.042,0.05
decoy,chai,d_gpcrdb_tm6_tilt_246_637_ca,14.932,18.79648066394131,11.441266123374557,2000,0.018,0.029,0.038,0.0465
shuffled,chai,d_gpcrdb_tm6_tilt_246_637_ca,14.932,18.79648066394131,11.441266123374557,2000,0.008,0.0205,0.079,0.0335
cognate,chai,d_gpcrdb_tm6_tilt_246_637_ca,14.932,18.79648066394131,11.441266123374557,2000,0.0175,0.0255,0.05,0.0615
apo,of3,d_gpcrdb_tm6_tilt_246_637_ca,14.932,18.588961427867996,11.414287702529268,2000,0.0575,0.1265,0.0055,0.05
decoy,of3,d_gpcrdb_tm6_tilt_246_637_ca,14.932,18.588961427867996,11.414287702529268,2000,0.068,0.136,0.0345,0.033
shuffled,of3,d_gpcrdb_tm6_tilt_246_637_ca,14.932,18.588961427867996,11.414287702529268,2000,0.0245,0.0565,0.106,0.0345
cognate,of3,d_gpcrdb_tm6_tilt_246_637_ca,14.932,18.588961427867996,11.414287702529268,2000,0.004,0.013,0.05,0.0005
apo,protenix,d_gpcrdb_tm6_tilt_246_637_ca,14.932,18.272107394596247,11.244914491983563,2000,0.023,0.05,0.0005,0.05
decoy,protenix,d_gpcrdb_tm6_tilt_246_637_ca,14.932,18.272107394596247,11.244914491983563,2000,0.0275,0.0655,0.0205,0.0005
shuffled,protenix,d_gpcrdb_tm6_tilt_246_637_ca,14.932,18.272107394596247,11.244914491983563,2000,0.0075,0.0255,0.1205,0.0
cognate,protenix,d_gpcrdb_tm6_tilt_246_637_ca,14.932,18.272107394596247,11.244914491983563,2000,0.001,0.0295,0.05,0.0
