subset,n_receptors,apo_midpoint,decoy_midpoint,shuffled_midpoint,cognate_midpoint,target_apo,target_decoy,target_shuffled,target_cognate,euclid_dist_to_target,reproduces_within_0_02,members
native_active_only_no_nan_np_25,22,0.1040909090909091,0.47659090909090907,0.7881818181818182,0.8922727272727272,0.13,0.5,0.801,0.887,0.03756825743819042,False,"AA1R,ACM2,ACM4,ADA2A,APJ,B1B1U5,CCKAR,CCR5,CNR2,CXCR2,CXCR4,DRD2,DRD3,GHSR,LPAR1,LT4R1,MCHR1,NPY1R,NPY2R,OPRK,OPRX,OPSD"
Gi_cognate_only_24,24,0.10416666666666667,0.47750000000000004,0.7658333333333331,0.8608333333333333,0.13,0.5,0.801,0.887,0.055632724182804634,False,"5HT1B,5HT5A,AA1R,ACM2,ACM4,ADA2A,APJ,B1B1U5,CCR5,CNR1,CNR2,CXCR2,CXCR4,DRD2,DRD3,HRH3,LPAR1,LT4R1,MCHR1,NPY1R,NPY2R,OPRD,OPRK,OPRX"
exclude_nan_np_and_sealed_28,30,0.16266666666666663,0.553,0.8058333333333335,0.8836666666666666,0.13,0.5,0.801,0.887,0.06253465705777347,False,"5HT1B,5HT2C,5HT5A,AA1R,AA2AR,ACM2,ACM4,ADRB2,AGTR1,APJ,B1B1U5,CCR5,CNR1,CNR2,CXCR2,CXCR4,DRD2,FSHR,GHSR,HRH1,LPAR1,LSHR,LT4R1,MCHR1,NPY1R,NPY2R,OPRD,OPRK,OPRX,OPSD"
exclude_nan_np_only_36,36,0.15791666666666665,0.5579166666666667,0.8094444444444444,0.8911111111111111,0.13,0.5,0.801,0.887,0.06497607584410411,False,"5HT1B,5HT2C,5HT5A,AA1R,AA2AR,ACM1,ACM2,ACM4,ADA2A,ADRB1,ADRB2,AGTR1,APJ,B1B1U5,CCKAR,CCR5,CNR1,CNR2,CXCR2,CXCR4,DRD2,DRD3,FSHR,GHSR,HRH1,LPAR1,LSHR,LT4R1,MCHR1,NPY1R,NPY2R,OPRD,OPRK,OPRX,OPSD,OX2R"
exclude_nan_np_and_chim_and_agonist_only_28,32,0.15625,0.5590625,0.82609375,0.91296875,0.13,0.5,0.801,0.887,0.07403724516670644,False,"5HT1B,5HT5A,AA1R,AA2AR,ACM2,ACM4,ADA2A,ADRB1,ADRB2,AGTR1,APJ,B1B1U5,CCKAR,CCR5,CNR2,CXCR2,CXCR4,DRD2,DRD3,FSHR,GHSR,HRH1,LPAR1,LSHR,LT4R1,MCHR1,NPY1R,NPY2R,OPRK,OPRX,OPSD,OX2R"
exclude_sealed_only_32,32,0.15250000000000002,0.5184375,0.75546875,0.8284375,0.13,0.5,0.801,0.887,0.07967968711699674,False,"5HT1B,5HT2C,5HT5A,AA1R,AA2AR,ACM2,ACM4,ADRB2,AGTR1,APJ,B1B1U5,CCR5,CNR1,CNR2,CXCR2,CXCR4,DRD2,EDNRB,FSHR,GHSR,GRPR,HRH1,LPAR1,LSHR,LT4R1,MCHR1,NPY1R,NPY2R,OPRD,OPRK,OPRX,OPSD"
exclude_nan_np_and_heldout_28,28,0.16535714285714284,0.57875,0.8314285714285715,0.9098214285714284,0.13,0.5,0.801,0.887,0.0943313607038767,False,"5HT1B,5HT5A,AA1R,AA2AR,ACM1,ACM2,ACM4,ADA2A,ADRB1,ADRB2,APJ,B1B1U5,CCKAR,CCR5,CNR1,CNR2,DRD3,FSHR,GHSR,HRH1,LSHR,LT4R1,NPY1R,OPRD,OPRK,OPRX,OPSD,OX2R"
aminergic_only,13,0.08115384615384615,0.5161538461538462,0.7484615384615385,0.8107692307692308,0.13,0.5,0.801,0.887,0.10591654077370283,False,"5HT1B,5HT2C,5HT5A,ACM1,ACM2,ACM4,ADA2A,ADRB1,ADRB2,DRD2,DRD3,HRH1,HRH3"
unsaturated_only,16,0.13187500000000002,0.6084375,0.8146875,0.8778125,0.13,0.5,0.801,0.887,0.10969942955070457,False,"AA2AR,ADRB1,ADRB2,APJ,B1B1U5,CCKAR,CCR5,CNR2,CXCR2,CXCR4,DRD2,LPAR1,LT4R1,MCHR1,OPRD,OPRK"
exclude_heldout_only_32,32,0.14468750000000002,0.5064062500000001,0.7275,0.79609375,0.13,0.5,0.801,0.887,0.11799558883439244,False,"5HT1B,5HT5A,AA1R,AA2AR,ACM1,ACM2,ACM4,ADA2A,ADRB1,ADRB2,APJ,B1B1U5,CCKAR,CCR5,CNR1,CNR2,DRD3,EDNRA,EDNRB,FSHR,GHSR,GRPR,HRH1,HRH3,LSHR,LT4R1,NPY1R,OPRD,OPRK,OPRX,OPSD,OX2R"
exclude_glycohorm_and_opsin_and_invert,36,0.10805555555555556,0.4659722222222223,0.7091666666666668,0.7870833333333332,0.13,0.5,0.801,0.887,0.14161973623530733,False,"5HT1B,5HT2C,5HT5A,AA1R,AA2AR,ACM1,ACM2,ACM4,ADA2A,ADRB1,ADRB2,AGTR1,APJ,CCKAR,CCR5,CNR1,CNR2,CXCR2,CXCR4,DRD2,DRD3,EDNRA,EDNRB,GHSR,GRPR,HRH1,HRH3,LPAR1,LT4R1,MCHR1,NPY1R,NPY2R,OPRD,OPRK,OPRX,OX2R"
peptide_receptors_only,21,0.13476190476190475,0.44976190476190475,0.6907142857142856,0.7754761904761904,0.13,0.5,0.801,0.887,0.1647635906877687,False,"AGTR1,APJ,CCKAR,CCR5,CNR1,CNR2,CXCR2,CXCR4,EDNRA,EDNRB,GHSR,GRPR,LPAR1,LT4R1,MCHR1,NPY1R,NPY2R,OPRD,OPRK,OPRX,OX2R"
native_active_only_25,25,0.0916,0.41940000000000005,0.6936,0.7852,0.13,0.5,0.801,0.887,0.1728262711511187,False,"AA1R,ACM2,ACM4,ADA2A,APJ,B1B1U5,CCKAR,CCR5,CNR2,CXCR2,CXCR4,DRD2,DRD3,EDNRB,GHSR,GRPR,HRH3,LPAR1,LT4R1,MCHR1,NPY1R,NPY2R,OPRK,OPRX,OPSD"
