claim_id,metric,observed_value,ci_lo,ci_hi,source_file,matches_claim_sheet_bool
SC-B-3,p_engaged_cognate_20A,0.9983,0.995,1.000,interface_2x2.csv,True
SC-B-3,p_active_given_engaged_cognate_20A,0.8926,0.840,0.944,interface_2x2.csv,True
SC-B-3,p_engaged_shuffled_20A,0.9674,0.929,0.996,interface_2x2.csv,True
SC-B-3,p_active_given_engaged_shuffled_20A,0.8353,0.774,0.891,interface_2x2.csv,True
SC-B-3,p_engaged_decoy_20A,0.7037,0.571,0.816,interface_2x2.csv,True
SC-B-3,p_active_given_engaged_decoy_20A,0.6647,0.554,0.754,interface_2x2.csv,True
SC-B-3,n_engaged_but_inactive_decoy_20A_pooled,1699,,,interface_2x2.csv,True
SC-B-4,pif_sum_ca_apo_median_A,15.35,,,interface_pif_connector.csv,True
SC-B-4,pif_sum_ca_cognate_active_engaged_median_A,16.04,,,interface_pif_connector.csv,True
SC-B-4,pif_sum_ca_shuffled_active_engaged_median_A,16.00,,,interface_pif_connector.csv,True
SC-B-4,pif_sum_ca_decoy_active_engaged_median_A,16.03,,,interface_pif_connector.csv,True
SC-B-4,pif_sum_ca_decoy_engaged_but_inactive_median_A,15.42,,,interface_pif_connector.csv,True
SC-B-5,panel_tm6_helicity_pass_rate,0.988,,,interface_fold_integrity.csv,True
SC-B-5,min_arm_backbone_pass_rate_chai_shuffled,0.941,,,interface_fold_integrity.csv,True
SC-B-5,block_a_baseline_pass_rate,0.963,,,interface_fold_integrity.csv,True
SC-B-5,partner_last11_helicity_median,0.727,,,interface_continuous.csv,True
SC-B-12,cognate_top_bw_3_50_count,379,,,interface_pif_connector.csv,True
SC-B-12,shuffled_top_bw_6_36_count,321,,,interface_pif_connector.csv,True
SC-B-12,decoy_top_bw_3_50_count,227,,,interface_pif_connector.csv,True
