frame,predicate,cutoff_A,arm,backbone,n,n_engaged,p_engaged,p_engaged_lo95,p_engaged_hi95,p_active_given_engaged,p_agv_lo95,p_agv_hi95,n_engaged_but_inactive
frame_40,two_instrument,10.0,apo,panel_all,8000,0,0.0,0.0,0.0,,,,0
frame_40,two_instrument,10.0,apo,boltz,2000,0,0.0,0.0,0.0,,,,0
frame_40,two_instrument,10.0,apo,chai,2000,0,0.0,0.0,0.0,,,,0
frame_40,two_instrument,10.0,apo,of3,2000,0,0.0,0.0,0.0,,,,0
frame_40,two_instrument,10.0,apo,protenix,2000,0,0.0,0.0,0.0,,,,0
frame_40,two_instrument,10.0,cognate,panel_all,8000,48,0.006,0.0013885416666666668,0.01411842928660826,0.125,0.0,0.4737468671679197,42
frame_40,two_instrument,10.0,cognate,boltz,2000,10,0.005,0.0005555555555555556,0.012432732732732732,0.1,0.0,0.6,9
frame_40,two_instrument,10.0,cognate,chai,2000,18,0.009,0.001,0.021052631578947368,0.1111111111111111,0.0,0.5,16
frame_40,two_instrument,10.0,cognate,of3,2000,20,0.01,0.0010803698435277384,0.023640692640692636,0.15,0.0,0.6428571428571429,17
frame_40,two_instrument,10.0,cognate,protenix,2000,0,0.0,0.0,0.0,,,,0
frame_40,two_instrument,10.0,shuffled,panel_all,8000,354,0.04425,0.029478125,0.05946359797297297,0.4604519774011299,0.2885040815070524,0.6336798895669863,191
frame_40,two_instrument,10.0,shuffled,boltz,2000,79,0.0395,0.009469400244798042,0.07947368421052632,0.5822784810126582,0.2997916666666667,0.8125,33
frame_40,two_instrument,10.0,shuffled,chai,2000,6,0.003,0.0,0.007804878048780488,0.16666666666666666,0.0,1.0,5
frame_40,two_instrument,10.0,shuffled,of3,2000,212,0.106,0.06888617886178862,0.14927468060394888,0.47641509433962265,0.31578004150160344,0.662667251922262,111
frame_40,two_instrument,10.0,shuffled,protenix,2000,57,0.0285,0.0035520325203252036,0.06667073170731706,0.2631578947368421,0.013879504504504505,0.8158492822966507,42
frame_40,two_instrument,10.0,decoy,panel_all,8000,1506,0.18825,0.13444144144144143,0.24338513719512195,0.6361221779548473,0.45963653282201666,0.7903955878955878,548
frame_40,two_instrument,10.0,decoy,boltz,2000,339,0.1695,0.10157435740514076,0.24041222222222222,0.7286135693215339,0.4757090431315694,0.9034183653545768,92
frame_40,two_instrument,10.0,decoy,chai,2000,349,0.1745,0.09118321043675554,0.27511171171171167,0.7134670487106017,0.4379265121795457,0.9133571645877699,100
frame_40,two_instrument,10.0,decoy,of3,2000,452,0.226,0.13554504504504505,0.3191929400386847,0.4491150442477876,0.27707229630982827,0.6547327485668293,249
frame_40,two_instrument,10.0,decoy,protenix,2000,366,0.183,0.10633570460704607,0.2761594076655052,0.7076502732240437,0.4288932734963376,0.9317797909194028,107
frame_40,two_instrument,12.0,apo,panel_all,8000,0,0.0,0.0,0.0,,,,0
frame_40,two_instrument,12.0,apo,boltz,2000,0,0.0,0.0,0.0,,,,0
frame_40,two_instrument,12.0,apo,chai,2000,0,0.0,0.0,0.0,,,,0
frame_40,two_instrument,12.0,apo,of3,2000,0,0.0,0.0,0.0,,,,0
frame_40,two_instrument,12.0,apo,protenix,2000,0,0.0,0.0,0.0,,,,0
frame_40,two_instrument,12.0,cognate,panel_all,8000,3161,0.395125,0.2582440015479876,0.5324638157894737,0.8623853211009175,0.7271950741839762,0.9509939622632033,435
frame_40,two_instrument,12.0,cognate,boltz,2000,739,0.3695,0.2323886524822695,0.5183285714285714,0.8660351826792964,0.6725972002374357,0.9891189028717415,99
frame_40,two_instrument,12.0,cognate,chai,2000,705,0.3525,0.20484080421885298,0.49829596273291926,0.7347517730496453,0.4481438311142364,0.9636497180692657,187
frame_40,two_instrument,12.0,cognate,of3,2000,872,0.436,0.28658139534883725,0.5928947368421053,0.8360091743119266,0.6601386938861318,0.9596367793120155,143
frame_40,two_instrument,12.0,cognate,protenix,2000,845,0.4225,0.2590858585858586,0.5920421052631578,0.9928994082840237,0.980764563106796,1.0,6
frame_40,two_instrument,12.0,shuffled,panel_all,8000,1245,0.155625,0.11195638918345706,0.2080013888888889,0.5879518072289157,0.3795109314753522,0.7477801687037355,513
frame_40,two_instrument,12.0,shuffled,boltz,2000,410,0.205,0.10565189520624303,0.320027027027027,0.751219512195122,0.523181175361408,0.9222435897435898,102
frame_40,two_instrument,12.0,shuffled,chai,2000,63,0.0315,0.004346273291925466,0.07211344238975817,0.5714285714285714,0.02,0.9466666666666667,27
frame_40,two_instrument,12.0,shuffled,of3,2000,555,0.2775,0.2164047619047619,0.34206097560975607,0.5261261261261261,0.3562727006395297,0.6926122725512969,263
frame_40,two_instrument,12.0,shuffled,protenix,2000,217,0.1085,0.0404637049941928,0.1880027027027027,0.4423963133640553,0.11287476280834914,0.8295228238979635,121
frame_40,two_instrument,12.0,decoy,panel_all,8000,2744,0.343,0.26283505639097743,0.42226633275261327,0.6315597667638484,0.49019117647058824,0.7674957970995173,1011
frame_40,two_instrument,12.0,decoy,boltz,2000,539,0.2695,0.1789605263157895,0.3609431818181818,0.6567717996289425,0.4217006658166879,0.831368330464716,185
frame_40,two_instrument,12.0,decoy,chai,2000,730,0.365,0.24375895663104966,0.49333823529411763,0.6328767123287671,0.3878098338746523,0.863992218571332,268
frame_40,two_instrument,12.0,decoy,of3,2000,788,0.394,0.2761083333333333,0.5084127906976744,0.5101522842639594,0.32953308444137086,0.7115504535147392,386
frame_40,two_instrument,12.0,decoy,protenix,2000,687,0.3435,0.2476829268292683,0.4461162280701754,0.7496360989810772,0.566691080776946,0.9055393853978368,172
frame_40,two_instrument,14.0,apo,panel_all,8000,0,0.0,0.0,0.0,,,,0
frame_40,two_instrument,14.0,apo,boltz,2000,0,0.0,0.0,0.0,,,,0
frame_40,two_instrument,14.0,apo,chai,2000,0,0.0,0.0,0.0,,,,0
frame_40,two_instrument,14.0,apo,of3,2000,0,0.0,0.0,0.0,,,,0
frame_40,two_instrument,14.0,apo,protenix,2000,0,0.0,0.0,0.0,,,,0
