arm,backbone,n,n_with_tm6_helicity,median_tm6_helicity_6_30_6_50,p_tm6_helical_pass_ge_0p8,tm6_pass_lo95,tm6_pass_hi95,median_chain_breaks,median_ramachandran_outlier_frac
apo,boltz,2000,2000,0.9523809523809524,0.979,0.9383890977443609,1.0,0.0,0.0225542873493784
apo,chai,2000,2000,0.9523809523809524,0.981,0.9470232263513514,1.0,0.0,0.0204081632653061
apo,of3,2000,2000,0.9523809523809524,1.0,1.0,1.0,0.0,0.0602094240837696
apo,protenix,2000,2000,0.9523809523809524,1.0,1.0,1.0,0.0,0.0851581508515815
cognate,boltz,2000,2000,0.9523809523809524,0.9895,0.9674285714285714,1.0,0.0,0.0244565217391304
cognate,chai,2000,2000,0.9523809523809524,0.9745,0.9229390756302521,0.9990006097560976,0.0,0.0214285714285714
cognate,of3,2000,2000,0.9523809523809524,0.995,0.985852053915276,1.0,0.0,0.03166823863704195
cognate,protenix,2000,2000,0.9523809523809524,1.0,1.0,1.0,0.0,0.092964824120603
shuffled,boltz,2000,2000,0.9523809523809524,0.9865,0.9661410256410257,1.0,0.0,0.0257142857142857
shuffled,chai,2000,2000,0.9523809523809524,0.9415,0.8761858108108108,0.987279797979798,0.0,0.0214285714285714
shuffled,of3,2000,2000,0.9523809523809524,0.995,0.9846153846153847,1.0,0.0,0.031413612565445
shuffled,protenix,2000,2000,0.9523809523809524,0.9975,0.9916607142857143,1.0,0.0,0.0916230366492146
decoy,boltz,2000,2000,0.9523809523809524,0.992,0.9765689075630252,1.0,0.0,0.0249433106575963
decoy,chai,2000,2000,0.9523809523809524,0.971,0.9321026315789473,0.995676640926641,0.0,0.021108179419525
decoy,of3,2000,2000,0.9523809523809524,0.9985,0.9953846153846154,1.0,0.0,0.0305882352941176
decoy,protenix,2000,2000,0.9523809523809524,1.0,1.0,1.0,0.0,0.0911602209944751
