backbone,stratum,axis,n_native_rec,n_chimera_rec,absolute_residual_native,absolute_residual_chimera,native_minus_chimera_delta,delta_ci_lo,delta_ci_hi
boltz,all_shuffled,residual_tilt,25,15,0.48582856911783345,0.5073492435827358,-0.026769941216173265,-0.5406311509448937,0.2939746190150334
boltz,all_shuffled,residual_npxxy,22,14,0.5427528661406069,0.7280831740892422,-0.22008467419652122,-1.4200968264664608,0.41152715666097944
boltz,Gs_to_Gi,residual_tilt,20,4,0.5749051361964943,0.49804607798521516,0.059766375101149904,-1.7081151193463011,0.5817569627763142
boltz,Gs_to_Gi,residual_npxxy,19,4,0.5437461737781097,1.179301988295363,-0.6362429028793881,-11.577974631430388,0.47846958305323795
boltz,Gs_to_Gq,residual_tilt,3,5,0.3832821758551068,0.3116224733196038,0.061743609726272936,-1.1335472841681447,0.3994658818359689
boltz,Gs_to_Gq,residual_npxxy,1,5,0.5417595585031041,0.29535370943941425,0.24640584906368984,-2.0807755576841243,0.3748755731906934
chai,all_shuffled,residual_tilt,25,15,0.9093483727126355,0.4983537902530184,0.3815686905269895,-0.38356917932673174,4.526664429464015
chai,all_shuffled,residual_npxxy,22,14,1.1440138102675224,0.709499149949745,0.3806405590804519,-0.5386642815381283,3.7440446618733034
chai,Gs_to_Gi,residual_tilt,20,4,0.9597587974055282,0.7073620860104732,0.5992883604452874,-1.4479416507408498,5.260238613525054
chai,Gs_to_Gi,residual_npxxy,19,4,1.6561308275316788,1.4407607878815174,-0.7592887967069062,-11.193694091997843,3.5318925328953528
chai,Gs_to_Gq,residual_tilt,3,5,3.4991546038226824,0.7177412903223725,2.7799160176074844,-0.5632654846417564,4.198428988372267
chai,Gs_to_Gq,residual_npxxy,1,5,1.8088913736683883,0.8392286429480162,0.969662730720372,-3.223691993519853,1.6760599271393213
of3,all_shuffled,residual_tilt,25,15,0.5632937914820619,0.754698709593713,-0.18162740170325176,-1.348878777540065,0.051673836068092754
of3,all_shuffled,residual_npxxy,22,14,1.2490444484213497,2.0062078004192885,-0.5299206413780966,-3.898672149246607,3.227612489068399
of3,Gs_to_Gi,residual_tilt,20,4,0.5674336712928953,1.0855697013639887,-0.5139961502602599,-1.7514398396234183,-0.09582176600982684
of3,Gs_to_Gi,residual_npxxy,19,4,1.8777409952288289,1.187875504983777,0.2272378464597251,-6.971076830444625,3.878131666854081
of3,Gs_to_Gq,residual_tilt,3,5,0.9448198239920682,0.754698709593713,-0.09322260646098712,-3.5556026678386674,0.8660820577849444
of3,Gs_to_Gq,residual_npxxy,1,5,0.9538376387986283,4.1051537812018175,-3.1513161424031892,-10.379477935585076,0.7497823332453306
protenix,all_shuffled,residual_tilt,25,15,0.5105532448627788,0.5739219410899246,-0.038568874843496914,-0.36144213418686727,0.3158655068810797
protenix,all_shuffled,residual_npxxy,22,14,0.33636364229323523,0.473596798016393,-0.075108195111186,-0.49950644930617116,0.3720738943053012
protenix,Gs_to_Gi,residual_tilt,20,4,0.5114758151010479,0.6302663408158367,-0.1583085548347274,-1.5782817801395537,0.2140656884578831
protenix,Gs_to_Gi,residual_npxxy,19,4,0.3435129013751532,1.3397361528606169,-1.0302820584677634,-11.982950752563243,-0.07902916861903486
protenix,Gs_to_Gq,residual_tilt,3,5,0.7370262698380969,0.5752385154306019,0.3398138528421928,-0.14989597612750316,3.581727583479382
protenix,Gs_to_Gq,residual_npxxy,1,5,0.14653395761157645,0.3343062836880124,-0.18777232607643596,-0.6816285303295309,0.0650333173769435
panel,all_shuffled,residual_tilt,25,15,0.5659292925199129,0.6090007099482495,0.03399504302828671,-0.3396002799349729,0.3978874808145596
panel,all_shuffled,residual_npxxy,22,14,0.6143427269099129,0.6548953423472264,-0.050776098227473254,-0.8296095940893484,1.5426502024956272
panel,Gs_to_Gi,residual_tilt,20,4,0.6119787383457691,0.7031431798441075,-0.06905547855144789,-1.5556905826996452,0.3777847272014423
panel,Gs_to_Gi,residual_npxxy,19,4,0.590431323568235,1.2528699083542587,-0.7423106100847776,-11.400064083938457,2.6800597074450505
panel,Gs_to_Gq,residual_tilt,3,5,0.8435537950958647,0.6100258924424065,0.24563173324981769,-0.30324952491681323,2.4565358905298478
panel,Gs_to_Gq,residual_npxxy,1,5,0.6382541302515907,0.3669034170891998,0.2713507131623909,-2.4775534934155488,0.45638290386894825
