backbone,donor_ga_class,cognate_ga_class,axis,total_n_rec,native_n_rec,chimera_n_rec,all_median,all_ci_lo,all_ci_hi,native_median,native_ci_lo,native_ci_hi,chimera_median,chimera_ci_lo,chimera_ci_hi
boltz,Gs,Gi,residual_tilt,24,20,4,-0.2501430909739124,-0.5047626804508607,0.08519493633862288,-0.3127054417153232,-0.7428816987313039,0.014362375385136046,0.1808960882604573,-0.22544264845376277,2.120764436590582
boltz,Gs,Gi,residual_npxxy,23,19,4,-0.0508135744499722,-0.44234523603097897,0.407306158987094,0.17813982995679595,-0.2374278576807732,0.49926553360100573,-1.1005569395831971,-11.99555399244962,-0.9557664814641178
boltz,Gs,Gi,residual_delta_to_active,21,17,4,0.01712290352736985,-0.4241795885170434,0.6490555732541978,-0.0914875356287012,-0.48685312693610855,0.5666961566101013,0.6012348518308945,-0.0034228521928316965,5.357710179153372
chai,Gs,Gi,residual_tilt,24,20,4,0.08437782734321425,-4.6315539608381115,0.554271787286614,-0.00290547047524465,-5.273024472284513,0.4527639701059097,0.7078578819825498,0.057734683356098174,2.208039924117653
chai,Gs,Gi,residual_npxxy,23,19,4,-0.13614748264474485,-0.5345303503399212,3.0717813233999105,0.1310488594872365,-0.23972251089447402,4.57524275878436,-1.4478135226971822,-11.713434666218124,-1.2722022492453606
chai,Gs,Gi,residual_delta_to_active,21,17,4,0.2106450635263357,-0.6971564193686051,1.0129917380083104,0.041178349026881556,-1.726706165425406,0.9362985129135243,1.5666927134303492,0.34815238102914386,4.789917880397695
of3,Gs,Gi,residual_tilt,24,20,4,0.08004962954002784,-0.3754056314712431,0.41656220381026376,-0.008945045541336651,-0.44501570138826124,0.3432122422544524,0.3835894534881223,0.05745256862214919,2.1434254243274005
of3,Gs,Gi,residual_npxxy,23,19,4,0.0333715753783754,-0.4610511509155284,1.898930924395189,0.4661090485606094,-0.08698582855547088,4.059860741034682,-1.1387389366085467,-8.682072957081076,-0.6465669963762654
of3,Gs,Gi,residual_delta_to_active,21,17,4,-0.11869396625830306,-0.6338807841210543,0.5103981387636204,-0.2654458457690021,-0.7751671568273788,0.21412430542570687,0.2026845882134562,-0.11772310895567166,4.764656999376055
protenix,Gs,Gi,residual_tilt,24,20,4,0.1409533364611253,-0.10126514385748038,0.404562978747611,0.07934014365693359,-0.13291926138906532,0.3573635403950774,0.4021945115239536,0.1772960298027387,1.8120216678578274
protenix,Gs,Gi,residual_npxxy,23,19,4,-0.3464817240604625,-0.6066057365778242,0.017311679968698677,-0.21294343602215227,-0.474867017088516,0.20027185682791732,-1.3621421655389108,-12.31188596348637,-0.8592258302359925
protenix,Gs,Gi,residual_delta_to_active,21,17,4,0.14249799618510917,-0.3292289761610405,0.48210999284893585,0.14249799618510917,-0.3704698439413987,0.393752839384558,0.4807454241355051,-0.25774977953470246,4.931253070951305
panel,Gs,Gi,residual_tilt,24,20,4,0.0236736378257962,-0.2883064147702523,0.29905757023003426,-0.0616092372030632,-0.4077074243787818,0.21104747005378008,0.3365618632197691,0.03383417755818519,2.015345911502237
panel,Gs,Gi,residual_npxxy,23,19,4,-0.14960190204510226,-0.5013952279644812,0.28595747431992574,0.1089628376656359,-0.26149648139950865,0.4690412694636321,-1.269753685351251,-11.882441016121138,-0.8719881075302837
panel,Gs,Gi,residual_delta_to_active,21,17,4,0.05432694968730355,-0.32008162488101194,0.49781801076580706,-0.03272533359847425,-0.377663185922873,0.35806625535168346,1.1563460096840652,-0.08084438627598488,4.927602100926331
boltz,Gs,Gq,residual_tilt,8,3,5,-0.3459893060675654,-0.8600352263484011,-0.08497340971604965,-0.43950675127809546,-0.5428116232180443,-0.28246281797996,-0.24996527884249703,-1.1427772413092896,0.1813450620529799
boltz,Gs,Gq,residual_npxxy,6,1,5,0.35887917637949496,-0.06271021012181857,0.9347712473416816,0.5417595585031041,0.5417595585031041,0.5417595585031041,0.2014983506628556,-0.10133760332405735,1.026471890716016
boltz,Gs,Gq,residual_delta_to_active,6,3,3,0.17558747335581515,-0.094984265739157,0.7129972159365776,0.030260908010378097,-0.15995050964536892,0.41018649424719733,0.5116973982112496,-0.07899295286337875,1.1226845402047125
chai,Gs,Gq,residual_tilt,8,3,5,-0.6817529818685131,-3.544038475996162,0.4009529700677081,-3.2305680611286753,-4.696782778625286,-0.7973838037427472,0.11521090258660745,-3.077376522801943,0.5932135863303465
chai,Gs,Gq,residual_npxxy,6,1,5,0.65677898505654,-0.309287081444793,4.309222690683348,1.8088913736683883,1.8088913736683883,1.8088913736683883,0.5625882489802008,-0.6574316076083466,4.7148048448547994
chai,Gs,Gq,residual_delta_to_active,6,3,3,0.3005409491988811,-3.302148902747305,1.1878290267202445,-3.297504273335596,-4.044316904228782,-0.4531979957590695,1.1518815599630097,0.682373315354285,1.3824413932477313
of3,Gs,Gq,residual_tilt,8,3,5,-0.6051621548192596,-1.6252221408189502,-0.04937065610950093,0.0603095661092165,-1.4138404310698327,0.9448198239920682,-0.8342380300832399,-2.275993964649315,-0.46822784668392536
of3,Gs,Gq,residual_npxxy,6,1,5,3.525049543101131,0.4138802617673107,8.086878446844022,0.9538376387986283,0.9538376387986283,0.9538376387986283,4.1051537812018175,0.3190171818020992,8.385873312092212
of3,Gs,Gq,residual_delta_to_active,6,3,3,0.3267592836910209,-0.6649584090858474,1.104510265713691,0.18256694109543226,-1.467641271403859,1.0096042088804333,0.6152610396508971,-4.094512845329187,1.4678223028425688
protenix,Gs,Gq,residual_tilt,8,3,5,-0.3859765742497156,-0.8056589201149312,0.3408108633170705,-0.5054478494734553,-3.7630972076301807,0.7326197754605275,-0.17473810121671995,-0.7605319901126055,0.5170229420494294
protenix,Gs,Gq,residual_npxxy,6,1,5,-0.02362318910858845,-0.27417777003542904,0.7212862739012751,0.14653395761157645,0.14653395761157645,0.14653395761157645,-0.10544950623565795,-0.31105341305683637,0.7648104994096143
protenix,Gs,Gq,residual_delta_to_active,6,3,3,0.19129420568767935,-0.3989066936262535,0.7365225777351636,-0.0448531253048951,-2.4187531447182105,0.6403553343007324,0.31082421249292475,0.194859680481608,1.177632439490651
panel,Gs,Gq,residual_tilt,8,3,5,-0.47422775369561343,-0.8090281668703123,-0.07727647385460264,-0.5134963885959198,-2.788659118742544,0.1391504210639187,-0.4268430024639702,-0.8206762584625409,0.06767779092447765
panel,Gs,Gq,residual_npxxy,6,1,5,0.5179712049130334,-0.007244632643619393,1.084073801777531,0.6382541302515907,0.6382541302515907,0.6382541302515907,0.39730812974196045,-0.0872040462167826,1.3011961691686589
panel,Gs,Gq,residual_delta_to_active,6,3,3,0.2251853430801844,-0.1675242283556848,0.9365127139138244,-0.1222235334967427,-1.9907064797099094,0.44047650004545064,0.6465092585540546,0.10863072572181305,1.3012823073899984
boltz,Gi,Gs,residual_tilt,5,0,5,-0.3991299094824239,-5.106464437908779,0.2896635446739868,,,,-0.3991299094824239,-5.106464437908779,0.2896635446739868
boltz,Gi,Gs,residual_npxxy,5,0,5,-0.08221704066201105,-0.6839622603714912,4.638384356039459,,,,-0.08221704066201105,-0.6839622603714912,4.638384356039459
boltz,Gi,Gs,residual_delta_to_active,4,0,4,-0.6955823785457387,-9.50380573919502,0.510801676490722,,,,-0.6955823785457387,-9.50380573919502,0.510801676490722
chai,Gi,Gs,residual_tilt,5,0,5,-0.1075019600423541,-0.3368161416551215,0.5493514228348406,,,,-0.1075019600423541,-0.3368161416551215,0.5493514228348406
chai,Gi,Gs,residual_npxxy,5,0,5,-0.13428112305869994,-0.4333235128614459,0.19449944198521935,,,,-0.13428112305869994,-0.4333235128614459,0.19449944198521935
chai,Gi,Gs,residual_delta_to_active,4,0,4,-0.45293176130453716,-1.0221292159406374,0.9907211554800455,,,,-0.45293176130453716,-1.0221292159406374,0.9907211554800455
of3,Gi,Gs,residual_tilt,5,0,5,-0.2211870032358476,-0.38996572563148957,0.5067355136151654,,,,-0.2211870032358476,-0.38996572563148957,0.5067355136151654
of3,Gi,Gs,residual_npxxy,5,0,5,0.8951793816642648,0.6794100188232834,4.013468080560836,,,,0.8951793816642648,0.6794100188232834,4.013468080560836
of3,Gi,Gs,residual_delta_to_active,4,0,4,-0.5069756354675796,-0.5647967913149485,-0.34340702541498475,,,,-0.5069756354675796,-0.5647967913149485,-0.34340702541498475
protenix,Gi,Gs,residual_tilt,5,0,5,-0.26384613283402913,-0.4695765134350139,0.0325125567907634,,,,-0.26384613283402913,-0.4695765134350139,0.0325125567907634
protenix,Gi,Gs,residual_npxxy,5,0,5,-0.23474966370724876,-0.5427820133815848,0.04721759312079562,,,,-0.23474966370724876,-0.5427820133815848,0.04721759312079562
protenix,Gi,Gs,residual_delta_to_active,4,0,4,-1.001210211560032,-1.1454744641172034,0.0768262760419169,,,,-1.001210211560032,-1.1454744641172034,0.0768262760419169
panel,Gi,Gs,residual_tilt,5,0,5,-0.239654163769865,-0.4233457277340189,0.09457291502621776,,,,-0.239654163769865,-0.4233457277340189,0.09457291502621776
panel,Gi,Gs,residual_npxxy,5,0,5,-0.045373024054393446,-0.5126736473078906,0.5138470011134983,,,,-0.045373024054393446,-0.5126736473078906,0.5138470011134983
panel,Gi,Gs,residual_delta_to_active,4,0,4,-0.6613116856435912,-1.071929043514947,0.2330419770404415,,,,-0.6613116856435912,-1.071929043514947,0.2330419770404415
