backbone,predictor,outcome_scale,n_receptors_all,slope_all,ci_lo_all,ci_hi_all,n_receptors_no_aa2ar,slope_no_aa2ar,ci_lo_no_aa2ar,ci_hi_no_aa2ar
boltz,delta_ref_npxxy,continuous,28,0.042909291980961745,-0.038867501092832865,0.20336215083351297,27.0,0.0241139077736504,-0.038867501092832865,0.12750512815081785
boltz,delta_ref_npxxy,logit,34,0.0045205536753346685,-0.2290520189417819,0.24762756353558546,33.0,-0.0029401579625418883,-0.2290649986435528,0.23043538061755153
boltz,delta_ref_tilt,continuous,32,0.22892952543005418,-0.06338587474204252,0.7257033918018656,31.0,0.07034841899541258,-0.19259522550913707,0.2933937381614005
boltz,delta_ref_tilt,logit,40,0.24665015948446117,-0.28170095883139606,0.7550350613539512,39.0,0.19433929227376656,-0.34101448522099004,0.7043948399209062
boltz,n_ga_families,continuous,32,-0.18333752673564985,-1.4104979489331237,0.7273909767657756,31.0,0.09173962145384344,-0.6658279599882952,0.7420102088478213
boltz,n_ga_families,logit,40,-0.053527372464486654,-1.383913344439827,1.416472894949839,39.0,0.04170534129999236,-1.2298291139193165,1.4610293937330212
boltz,deposition_count,continuous,32,,,,31.0,,,
boltz,deposition_count,logit,40,,,,39.0,,,
chai,delta_ref_npxxy,continuous,28,-0.0072878241957353785,-0.12332598220845162,0.12813358413730683,27.0,-0.010157722810344839,-0.12971126353508391,0.12374023678156075
chai,delta_ref_npxxy,logit,34,-0.1719229300697816,-0.5070356587422893,0.2288882577688946,33.0,-0.17028175350524502,-0.5218939012588907,0.23943373382013375
chai,delta_ref_tilt,continuous,32,-0.22537473156496027,-0.6228894586254927,0.1076031578143945,31.0,-0.24779948297591844,-0.641506896778261,0.06082649776116899
chai,delta_ref_tilt,logit,40,-0.9509898957386596,-2.0153363702615654,-0.05394434935482497,39.0,-0.9485464294503615,-2.019233612778732,-0.05779146544344891
chai,n_ga_families,continuous,32,-0.2338480172730911,-1.2475347977902234,0.7990825442415205,31.0,-0.203370687149694,-1.2530278725018826,0.9183976637106338
chai,n_ga_families,logit,40,-0.07343871105062379,-2.0761993379014,2.394658277900879,39.0,-0.09680095333664195,-2.0761993379014,2.432295282224724
chai,deposition_count,continuous,32,,,,31.0,,,
chai,deposition_count,logit,40,,,,39.0,,,
of3,delta_ref_npxxy,continuous,28,-0.05133693522436372,-0.17048360613959299,0.020710682101864882,27.0,-0.052369783949446934,-0.17362678913665114,0.020624322742771022
of3,delta_ref_npxxy,logit,34,0.03142157554241413,-0.29544332227162196,0.2721060938524479,33.0,0.037868801226114544,-0.28869394010137067,0.28228172845805616
of3,delta_ref_tilt,continuous,32,0.11427865321715189,-0.1300345003161925,0.4077779999854199,31.0,0.10980457156047302,-0.1327605904089778,0.40141276107554225
of3,delta_ref_tilt,logit,40,0.9365083855452232,0.23230184914060797,1.66056633627211,39.0,0.9854021379541307,0.2894593672409778,1.7476528044906445
of3,n_ga_families,continuous,32,-0.19599484014748284,-0.9723533165838155,0.5178272977026114,31.0,-0.18820456719106401,-0.9723533165838155,0.5803822740064741
of3,n_ga_families,logit,40,-0.7193407211942339,-2.887109109189645,1.102941188019535,39.0,-0.7939535481725168,-2.976394011959192,1.0405488079489624
of3,deposition_count,continuous,32,,,,31.0,,,
of3,deposition_count,logit,40,,,,39.0,,,
protenix,delta_ref_npxxy,continuous,28,0.00676163547080826,-0.01597697358799221,0.029670322405651425,27.0,0.0038109244537851542,-0.01939721970423837,0.02680005225388334
protenix,delta_ref_npxxy,logit,34,-0.013777974756763725,-0.15280240643452536,0.11261093339704185,33.0,-0.012762316176486021,-0.15399570761899978,0.1190502092139494
protenix,delta_ref_tilt,continuous,32,0.07637230313736797,-0.05914457185104726,0.19842864708416272,31.0,0.054936663880472615,-0.0996775208031176,0.17726868268665152
protenix,delta_ref_tilt,logit,40,0.3050828454654376,-0.0034096690370725253,0.8923279646078336,39.0,0.3148611422033223,0.0,0.9426905755272332
protenix,n_ga_families,continuous,32,0.19118940166866877,-0.18716925111411772,0.5513977758961196,31.0,0.23211107470497214,-0.16359115066585533,0.5900675544376611
protenix,n_ga_families,logit,40,0.5588630770099274,-0.6666100238889097,2.050837761370805,39.0,0.553613477433361,-0.6970012118500761,2.0545712845938944
protenix,deposition_count,continuous,32,,,,31.0,,,
protenix,deposition_count,logit,40,,,,39.0,,,
panel,delta_ref_npxxy,continuous,28,-0.0022384579920822624,-0.03730376218728852,0.03242520972954215,27.0,-0.008650668633089024,-0.04460512389586152,0.02509872014295693
panel,delta_ref_npxxy,logit,34,-0.03743969390219914,-0.12758920396980336,0.08029490409400661,33.0,-0.037028856604539605,-0.1271001126344015,0.08563453310035146
panel,delta_ref_tilt,continuous,32,0.04855143755490351,-0.12240890652488313,0.2697657344923768,31.0,-0.003177457134890046,-0.14878293960438552,0.1429485753860884
panel,delta_ref_tilt,logit,40,0.1343128736891156,-0.2217224124078262,0.4864327684773582,39.0,0.13651403574521453,-0.21951158360896603,0.49245079907842004
panel,n_ga_families,continuous,32,-0.10549774562188868,-0.5630495828693788,0.3422007317370442,31.0,-0.0169311395454857,-0.46421212994002453,0.42956524616141645
panel,n_ga_families,logit,40,-0.07186093192485425,-0.8413083199057031,0.6625760061831919,39.0,-0.07385892069395132,-0.8767999858066537,0.6645206771713708
panel,deposition_count,continuous,32,,,,31.0,,,
panel,deposition_count,logit,40,,,,39.0,,,
boltz,cognate_family=Gs,continuous,5,3.3483991203607015,-0.7025024403550963,7.399300681076499,,,,
boltz,cognate_family=Gi,continuous,24,-0.057329974462970903,-2.1496500566710997,2.0349901077451578,,,,
boltz,cognate_family=Gq,continuous,10,-0.4314931275170378,-0.8540327944384313,-0.00895346059564428,,,,
boltz,cognate_family=Gt,continuous,1,-0.23004641506668377,,,,,,
boltz,cognate_family=Gs,logit,5,0.9128696382935673,-1.128368927526494,2.954108204113629,,,,
boltz,cognate_family=Gi,logit,24,0.7579924515997384,-3.8042575826926828,5.32024248589216,,,,
boltz,cognate_family=Gq,logit,10,0.5190991432408705,-1.7407859609078011,2.778984247389542,,,,
boltz,cognate_family=Gt,logit,1,0.0,,,,,,
chai,cognate_family=Gs,continuous,5,0.4556008232861366,0.2522835409636047,0.6589181056086685,,,,
chai,cognate_family=Gi,continuous,24,-0.8915571290798163,-3.5834006346402534,1.8002863764806207,,,,
chai,cognate_family=Gq,continuous,10,0.039333548071653755,-2.0708006579178218,2.1494677540611296,,,,
chai,cognate_family=Gt,continuous,1,-0.8751079397568695,,,,,,
chai,cognate_family=Gs,logit,5,0.0,0.0,0.0,,,,
chai,cognate_family=Gi,logit,24,1.1355682023483669,-5.8598923184172165,8.13102872311395,,,,
chai,cognate_family=Gq,logit,10,0.920731260450507,-2.2173956914748345,4.058858212375848,,,,
chai,cognate_family=Gt,logit,1,0.0,,,,,,
of3,cognate_family=Gs,continuous,5,0.583863914287043,-0.09173236901365989,1.259460197587746,,,,
of3,cognate_family=Gi,continuous,24,-0.43387042780896173,-2.5977544365497645,1.7300135809318409,,,,
of3,cognate_family=Gq,continuous,10,0.5342876980367222,-1.4005246527280921,2.469100048801536,,,,
of3,cognate_family=Gt,continuous,1,-0.41933237475742136,,,,,,
of3,cognate_family=Gs,logit,5,-0.34428139564501237,-1.5992569298181567,0.910694138528132,,,,
of3,cognate_family=Gi,logit,24,3.388636405992777,-0.7600076137863958,7.53728042577195,,,,
of3,cognate_family=Gq,logit,10,2.8599221696690966,-0.555674023325357,6.275518362663551,,,,
of3,cognate_family=Gt,logit,1,0.0,,,,,,
protenix,cognate_family=Gs,continuous,5,0.848749759857375,0.6556878028222783,1.0418117168924717,,,,
protenix,cognate_family=Gi,continuous,24,-0.6304444905296764,-1.1084227593436777,-0.1524662217156752,,,,
protenix,cognate_family=Gq,continuous,10,0.06517291946896098,-1.117716930934134,1.2480627698720559,,,,
protenix,cognate_family=Gt,continuous,1,-0.45750215181411485,,,,,,
protenix,cognate_family=Gs,logit,5,0.0,0.0,0.0,,,,
protenix,cognate_family=Gi,logit,24,0.7574557515976245,-2.299194362884234,3.814105866079483,,,,
protenix,cognate_family=Gq,logit,10,-0.020479441264601283,-0.08524112086838039,0.04428223833917781,,,,
protenix,cognate_family=Gt,logit,1,0.0,,,,,,
panel,cognate_family=Gs,continuous,5,1.3091534044478141,0.28111658300407316,2.337190225891555,,,,
panel,cognate_family=Gi,continuous,24,-0.5033005054703563,-1.431997808095695,0.42539679715498235,,,,
panel,cognate_family=Gq,continuous,10,0.05182525951507474,-1.0811858586907048,1.1848363777208544,,,,
panel,cognate_family=Gt,continuous,1,-0.49549722034877236,,,,,,
panel,cognate_family=Gs,logit,5,0.1421470606621387,-0.49656886586293225,0.7808629871872096,,,,
panel,cognate_family=Gi,logit,24,1.5099132028846267,-0.4300177635730291,3.4498441693422826,,,,
panel,cognate_family=Gq,logit,10,1.0698182830239684,-0.3983109810154173,2.537947547063354,,,,
panel,cognate_family=Gt,logit,1,0.0,,,,,,
