receptor_slug,excl_E_B_1,excl_E_B_2,excl_E_B_3,excl_E_B_4,excl_any,reason
5HT1B,False,False,False,True,True,E_B_4_non_native_active_ref
5HT2C,False,False,False,True,True,E_B_4_non_native_active_ref
5HT5A,False,False,False,True,True,E_B_4_non_native_active_ref
AA1R,False,False,False,False,False,
AA2AR,False,False,True,True,True,"E_B_3_aa2ar,E_B_4_non_native_active_ref"
ACM1,False,False,False,True,True,E_B_4_non_native_active_ref
ACM2,False,False,False,False,False,
ACM4,False,False,False,False,False,
ADA2A,False,False,False,False,False,
ADRB1,False,False,False,True,True,E_B_4_non_native_active_ref
ADRB2,False,False,False,True,True,E_B_4_non_native_active_ref
AGTR1,False,False,False,True,True,E_B_4_non_native_active_ref
APJ,False,False,False,False,False,
B1B1U5,False,False,False,False,False,
CCKAR,False,False,False,False,False,
CCR5,False,False,False,False,False,
CNR1,False,True,False,True,True,"E_B_2_agonist_only_active,E_B_4_non_native_active_ref"
CNR2,False,False,False,False,False,
CXCR2,False,False,False,False,False,
CXCR4,False,False,False,False,False,
DRD2,False,False,False,False,False,
DRD3,False,False,False,False,False,
EDNRA,True,False,False,True,True,"E_B_1_npxxy_nan,E_B_4_non_native_active_ref"
EDNRB,True,False,False,False,True,E_B_1_npxxy_nan
FSHR,False,False,False,True,True,E_B_4_non_native_active_ref
GHSR,False,False,False,False,False,
GRPR,True,False,False,False,True,E_B_1_npxxy_nan
HRH1,False,False,False,True,True,E_B_4_non_native_active_ref
HRH3,True,False,False,False,True,E_B_1_npxxy_nan
LPAR1,False,False,False,False,False,
LSHR,False,False,False,True,True,E_B_4_non_native_active_ref
LT4R1,False,False,False,False,False,
MCHR1,False,False,False,False,False,
NPY1R,False,False,False,False,False,
NPY2R,False,False,False,False,False,
OPRD,False,True,False,True,True,"E_B_2_agonist_only_active,E_B_4_non_native_active_ref"
OPRK,False,False,False,False,False,
OPRX,False,False,False,False,False,
OPSD,False,False,False,False,False,
OX2R,False,False,False,True,True,E_B_4_non_native_active_ref
