draw_id,backbone,frame,contrast,scale,term_estimate
0,boltz,reproduction_36,delta_occupancy_apo_to_decoy,probability,0.49828571428571433
0,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,probability,0.17542857142857138
0,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,probability,0.0931428571428572
0,boltz,reproduction_36,delta_occupancy_apo_to_decoy,logit,2.2660650877122777
0,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,logit,1.0123145158244324
0,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,logit,1.0962294310506002
1,boltz,reproduction_36,delta_occupancy_apo_to_decoy,probability,0.4623529411764705
1,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,probability,0.3211764705882353
1,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,probability,0.020000000000000018
1,boltz,reproduction_36,delta_occupancy_apo_to_decoy,logit,3.1252109280819536
1,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,logit,1.5396399634167188
1,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,logit,0.14636607413664837
2,boltz,reproduction_36,delta_occupancy_apo_to_decoy,probability,0.3729411764705882
2,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,probability,0.2705882352941177
2,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,probability,0.09705882352941175
2,boltz,reproduction_36,delta_occupancy_apo_to_decoy,logit,1.796285274581382
2,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,logit,1.2724926267174006
2,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,logit,0.7868599915688417
3,boltz,reproduction_36,delta_occupancy_apo_to_decoy,probability,0.3438709677419355
3,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,probability,0.36258064516129035
3,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,probability,0.07483870967741935
3,boltz,reproduction_36,delta_occupancy_apo_to_decoy,logit,1.7265815468526438
3,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,logit,1.7937184913401099
3,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,logit,0.7905027663985986
4,boltz,reproduction_36,delta_occupancy_apo_to_decoy,probability,0.28800000000000003
4,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,probability,0.318
4,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,probability,0.17100000000000004
4,boltz,reproduction_36,delta_occupancy_apo_to_decoy,logit,1.8276583242246915
4,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,logit,1.325673101462891
4,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,logit,1.0405007919916223
5,boltz,reproduction_36,delta_occupancy_apo_to_decoy,probability,0.3190243902439024
5,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,probability,0.3536585365853659
5,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,probability,0.05756097560975604
5,boltz,reproduction_36,delta_occupancy_apo_to_decoy,logit,1.9476075576511267
5,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,logit,1.5351072734860636
5,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,logit,0.35024928202920136
6,boltz,reproduction_36,delta_occupancy_apo_to_decoy,probability,0.35282051282051285
6,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,probability,0.32051282051282054
6,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,probability,0.053333333333333344
6,boltz,reproduction_36,delta_occupancy_apo_to_decoy,logit,1.8359515447886139
6,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,logit,1.4742235032577249
6,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,logit,0.37922748564162023
7,boltz,reproduction_36,delta_occupancy_apo_to_decoy,probability,0.33219512195121953
7,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,probability,0.25414634146341464
7,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,probability,0.1707317073170731
7,boltz,reproduction_36,delta_occupancy_apo_to_decoy,logit,2.155817536432453
7,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,logit,1.0442774884663604
7,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,logit,0.9262356755183078
8,boltz,reproduction_36,delta_occupancy_apo_to_decoy,probability,0.3753846153846154
8,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,probability,0.28051282051282045
8,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,probability,0.1856410256410257
8,boltz,reproduction_36,delta_occupancy_apo_to_decoy,logit,2.3473663740906043
8,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,logit,1.1950189834780665
8,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,logit,1.3720859124484848
9,boltz,reproduction_36,delta_occupancy_apo_to_decoy,probability,0.41538461538461535
9,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,probability,0.3512820512820513
9,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,probability,0.06564102564102559
9,boltz,reproduction_36,delta_occupancy_apo_to_decoy,logit,2.4805507316685445
9,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,logit,1.7069106200169146
9,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,logit,0.6077183327817404
10,boltz,reproduction_36,delta_occupancy_apo_to_decoy,probability,0.33225806451612905
10,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,probability,0.26322580645161286
10,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,probability,0.13870967741935492
10,boltz,reproduction_36,delta_occupancy_apo_to_decoy,logit,1.4837323688261692
10,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,logit,1.2647593002964226
10,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,logit,1.4813578730260506
11,boltz,reproduction_36,delta_occupancy_apo_to_decoy,probability,0.3818181818181818
11,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,probability,0.38666666666666666
11,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,probability,0.047272727272727355
11,boltz,reproduction_36,delta_occupancy_apo_to_decoy,logit,2.0831329449117955
11,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,logit,1.9902551154471124
11,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,logit,0.5255501223891199
12,boltz,reproduction_36,delta_occupancy_apo_to_decoy,probability,0.43025641025641026
12,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,probability,0.2548717948717949
12,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,probability,0.06102564102564101
12,boltz,reproduction_36,delta_occupancy_apo_to_decoy,logit,2.0353863160251757
12,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,logit,1.3195173847592307
12,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,logit,0.5563252016793658
13,boltz,reproduction_36,delta_occupancy_apo_to_decoy,probability,0.356
13,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,probability,0.29828571428571427
13,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,probability,0.10742857142857143
13,boltz,reproduction_36,delta_occupancy_apo_to_decoy,logit,1.8408177472321692
13,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,logit,1.348475870865284
13,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,logit,0.8213880381772818
14,boltz,reproduction_36,delta_occupancy_apo_to_decoy,probability,0.380625
14,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,probability,0.358125
14,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,probability,0.13
14,boltz,reproduction_36,delta_occupancy_apo_to_decoy,logit,2.539040041196851
14,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,logit,1.6131129395391777
14,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,logit,1.172772132077387
15,boltz,reproduction_36,delta_occupancy_apo_to_decoy,probability,0.43666666666666665
15,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,probability,0.2977777777777778
15,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,probability,0.07722222222222219
15,boltz,reproduction_36,delta_occupancy_apo_to_decoy,logit,2.7231144947074566
15,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,logit,1.367633356768906
15,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,logit,0.5670012253497212
16,boltz,reproduction_36,delta_occupancy_apo_to_decoy,probability,0.49750000000000005
16,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,probability,0.20875
16,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,probability,0.0068749999999999645
16,boltz,reproduction_36,delta_occupancy_apo_to_decoy,logit,2.197207827092817
16,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,logit,1.6044684689940985
16,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,logit,0.10612486424051903
17,boltz,reproduction_36,delta_occupancy_apo_to_decoy,probability,0.47058823529411764
17,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,probability,0.3123529411764706
17,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,probability,0.07882352941176463
