citekey,doi,source_batch,pages,sha256,fulltext,why_it_matters
waymentsteele2024cluster,10.1038/s41586-023-06832-9,chat-corpus,27,68963c1e07209677,yes,
kalakoti2025afsample2,10.1038/s42003-025-07791-9,chat-corpus,14,fe4a748bf4ae6adf,yes,
mitjavila2026afsample2t,10.1021/acs.jcim.6c00034,chat-corpus,12,6b010136b3f2b2d4,yes,
kalakoti2026afsample3,10.64898/2026.01.16.699904,chat-corpus,13,7568bc27fae48aab,yes,
wallner2023afsample,10.1093/bioinformatics/btad573,chat-corpus,3,250711592cba236e,yes,
abramson2024af3,10.1038/s41586-024-07487-w,chat-corpus,24,aba3109f2892454c,yes,
lewis2025bioemu,10.1126/science.adv9817,chat-corpus,45,d27afe14cc033bb7,yes,
wohlwend2024boltz1,10.1101/2024.11.19.624167,chat-corpus,24,74b66cb16cbbb13c,yes,
passaro2025boltz2,10.1101/2025.06.14.659707,chat-corpus,55,b7038d2ba26e05f4,yes,
suzuki2026pairscaling,10.64898/2026.01.23.701250,chat-corpus,15,91004c9f7ba47d15,yes,
bryant2024cfold,10.1038/s41467-024-51507-2,chat-corpus,12,4518caf226bef82f,yes,
chai2024chai1,10.1101/2024.10.10.615955,chat-corpus,18,6c8c7b9c8b2427ff,yes,
chib2025gpcrstates,arXiv:2502.17628,chat-corpus,24,e3dab545fa68aa3e,yes,
lee2026confornets,arXiv:2604.18559,chat-corpus,26,f010a470bdfe5068,yes,
georgiou2025heterogeneity,10.1021/acsptsci.5c00102,chat-corpus,38,42999bedfa1ddb60,yes,
paajanen2026activation,10.64898/2026.03.26.714415,chat-corpus,22,80ebf1622bb54bf1,yes,
pandyszekeres2024gproteindb,10.1093/nar/gkad1089,chat-corpus,10,f4018a1843f0410f,yes,
hilger2020gcgr,10.1126/science.aba3373,chat-corpus,17,6711ad3825ccca40,yes,
jedryszek2026probing,arXiv:2608.11475,chat-corpus,17,73ed9971de501964,yes,
sun2026kinconfbench,10.64898/2026.04.07.716788,chat-corpus,18,dde1f5fb42d9b187,yes,
masters2025physics,10.1038/s41467-025-63947-5,chat-corpus,12,eb2dc96311ec6d5f,yes,
miglionico2026atlas,10.64898/2026.03.07.710286,chat-corpus,43,6bc4f6ed421273c8,yes,
matic2023gpcrome,10.1038/s41467-023-40045-y,chat-corpus,17,e3ca3e1f25bf220f,yes,
ye2026multistatebias,10.64898/2026.07.10.737860,chat-corpus,30,542cd4b8f5cc2d61,yes,
obendorf2026statespecific,10.64898/2026.05.06.723350,chat-corpus,31,bacef0c41738a730,yes,
protenix2025,10.1101/2025.01.08.631967,chat-corpus,21,0a3f1c608eaa33eb,yes,
protenix2026v2,10.64898/2026.04.10.717613,chat-corpus,17,4cd704c9e59d1faa,yes,
krishna2024rfaa,10.1126/science.adl2528,chat-corpus,40,c149e57ab58d40a5,yes,
skrinjar2026generalization,10.1038/s41594-026-01797-5,chat-corpus,31,ea19fe2992f857cf,yes,
stein2022speachaf,10.1371/journal.pcbi.1010483,chat-corpus,16,097d7d73d29fc228,yes,
tejero2024opsin,10.1038/s41467-024-53208-2,chat-corpus,13,50cc28f584eb7619,yes,
zhang2026generalization,10.1038/s44386-026-00066-1,chat-corpus,7,e174b5f380499fc2,yes,
lee2025seqassoc,10.1038/s41467-025-60759-5,gap-review,12,587249147febbb6b,yes,
schafer2025confounds,10.1038/s41586-024-08267-2,gap-review,6,f21cd22f49355b0c,yes,
waymentsteele2025reply,10.1016/j.jmb.2025.169376,gap-review,28,be5ee741219ca389,yes,
mattsson2026leakage,10.64898/2026.06.29.735309,gap-review,15,a3bd230b25458585,yes,
parikh2026allosteric,10.1016/j.xcrp.2026.103448,gap-review,62,c6a371195c92bfcd,yes,
feldman2026alphainterp,10.64898/2026.04.22.720175,gap-review,45,a72d8e961923bc73,yes,
jung2026boltzperturb,10.64898/2026.08.05.742877,gap-review,28,7bd5d8152a23df07,yes,
purnomo2026cafe,10.64898/2026.07.19.739466,gap-review,22,b6764cc7f25c4608,yes,
gilson2025casp16,10.1002/prot.70061,gap-review,18,0981652fb2ff5929,yes,
singh2026moredata,10.1016/j.sbi.2026.103257,gap-review,23,eae0eb36503422cf,yes,
chakravarty2026statespace,arXiv:2608.02866,gap-review,29,b5c8fff929dd5770,yes,
suzuki2026conforflux,10.64898/2026.05.16.725138,gap-review,29,5fa434f7d351aeb1,yes,
lazou2026cryptic,10.1038/s42003-026-10596-z,gap-review,11,73b60f1134d94477,yes,
ferguson2026deorphann,10.1016/j.molcel.2026.07.006,gap-review,36,8976debe1640aa22,yes,
roehrig2026docking,10.64898/2025.12.09.693161,gap-review,21,f009e715df81b303,yes,
li2026embedding,arXiv:2602.05285,gap-review,29,08eb17f5ee93faeb,yes,
liu2026ensembletests,10.64898/2026.09.02.748111,gap-review,31,85555777ccd94800,yes,
lee2026foldswitch,10.1146/annurev-biodatasci-092524-114822,gap-review,23,2093063e022a6ec0,yes,
chitsazi2025gpcrdock4,10.1101/2025.04.18.647407,gap-review,31,02604868a6faed6c,yes,
vo2026fiducials,10.64898/2026.01.24.701540,gap-review,21,d927f4dee5b11fb0,yes,
heo2022multistate,10.1002/prot.26382,gap-review,13,e3931871f13e5d56,yes,
khaleq2026hyaline,10.64898/2026.01.05.697778,gap-review,15,73280295908e76db,yes,
kim2026mac1,10.64898/2025.12.25.696505,gap-review,39,6ad772099510a4f4,yes,
chen2026medchem,10.64898/2026.08.24.746785,gap-review,54,78ecbbb9c19f8dbe,yes,
swapna2025memorization,10.1371/journal.pcbi.1013590,gap-review,19,95b8185a2b140d0f,yes,
lam2026metadiffusion,10.64898/2026.02.10.704873,gap-review,24,4217374c96104410,yes,
migliorini2026pairsae,arXiv:2606.27440,gap-review,13,f70a8efce878af70,yes,
junker2026peptidedesign,10.1371/journal.pone.0355549,gap-review,21,4e2a1103198b3977,yes,
ku2026promise,10.64898/2026.06.11.731790,gap-review,21,ef29137c1040d0b0,yes,
bugrova2026representation,10.64898/2026.02.18.706547,gap-review,18,0b6666b63195994d,yes,
yang2025statespecific,10.1021/acs.jcim.5c00884,gap-review,14,ee6ef2f50b9a9092,yes,
tang2026steeraf,10.64898/2026.06.19.733296,gap-review,42,4c423bd5e22031d8,yes,
tran2026nanogs,10.1002/anie.202523510,gap-review,13,f9d452da1415e90e,yes,
lu2026twostages,arXiv:2602.06020,gap-review,35,d8f93718fca613ae,yes,
chiesa2025templatebias,10.1021/acs.jcim.5c00489,not-obtained,NA,,abstract-only,
bret2025boltz2docking,10.1021/acs.jcim.5c02630,not-obtained,NA,,abstract-only,
nittinger2025cofolding,10.1016/j.ailsci.2025.100136,not-obtained,NA,,abstract-only,
yu2026domainmotion,10.1073/pnas.2530709123,not-obtained,NA,,abstract-only,
richman2025conformix,arXiv:2512.03312,steering_2026-09-08,37,a07e79ac27221cc4e746f2d347589db903481ce21520388624cf4d2701e8a0de,yes,
singhal2025fksteering,arXiv:2501.06848,steering_2026-09-08,27,0e07d2a94dbd8d7b57762080ba8fc49fb836899392d14d0360c0ba9629b79e7a,yes,
wu2023tds,arXiv:2306.17775,steering_2026-09-08,32,337bb3004d3783170bdf5015dffbc7a5e213096a584444a6751e958d35be57ec,yes,
kim2023refining,arXiv:2211.17091,steering_2026-09-08,48,c862b348f522e46bb623e44ff8364824683bb044fa31a6fa4a31badee8b49123,yes,
ekstromkelvinius2024discriminator,arXiv:2310.15817,steering_2026-09-08,17,24678f6060243f5d0a369284dacdfd4e916f8ef8c79276ef9170694103f5595b,yes,
