Series,PDB ID,Series ChEMBL ID,Ligand Pharmacology,# Ligands,Activity range (kcal/mol),Native,Boltz,IFD-MD
,,,,,,R2,RMSE (kcal/mol),R2,RMSE (kcal/mol),Ligand RMSD (Å),# Success,R2,RMSE(kcal/mol),LigandRMSD (Å),# Success
1,7UM4,1528152,Antagonist,19,1.37,0.31,0.91,0.61,0.96,0.75,5,0.61,0.86,0.73,8
2,8IJD,615509,Agonist,10,3.29,0.75,0.81,0.71,0.77,9.74,0,0.38,0.8,2.04,1
3,8JXW,366416,Agonist,14,3.48,0.55,1.15,0.12,1.49,7.85,0,0.43,1.14,8.63,0
4,8K2W,438654,Agonist,24,5.17,0.65,1.12,0.06,2.03,7.05,0,0.59,1.26,2.01,1
5,8K2W,619410,Agonist,19,3.52,0.65,0.93,0.07,1.46,6.43,0,0.49,1.04,2.01,1
6,8K2W,799098,Agonist,17,1.87,0.53,0.49,0.02,1.23,6.78,0,0.69,0.69,2.14,1
7,8X16,303186,Agonist,18,3.01,0.46,1.64,0.36,1.90,2.30,3,0.49,1.56,1.85,8
8,8X16,31703,Agonist,18,3.81,0.55,1.79,0.78,1.58,2.40,4,0.67,1.41,1.87,8
9,8X16,349357,Agonist,12,4.20,0.64,1.23,0.69,1.15,2.3,4,0.45,1.14,1.87,7
10,8X17,31833,Agonist,7,8.07,0.93,1.93,0.90,2.45,3.05,0,0.95,1.90,2.13,2
11,8X17,439361,Agonist,14,2.50,0.55,1.5,0.23,1.69,3.05,0,0.36,1.56,2.23,1
12,8X17,522126,Agonist,24,6.00,0.52,1.68,0.22,2.27,3.23,0,0.45,1.71,1.93,2
13,8XVJ,859881,Antagonist,57,5.70,0.42,1.53,0.48,1.15,1.69,4,0.61,1.18,0.90,14
14,8XVK,65482,Antagonist,77,5.15,0.40,1.62,0.04,1.43,3.09,0,0.37,1.30,1.98,5
