file	sha256	bytes	generator
coupling_assignments.csv	27fd9069098c14b62a651450a041fac91a879ef6b33d9093ef44f8c46fad7ed1	31795	coupling_assign.py
coupling_cognate_map.tsv	77062abf54e61866db7c9677889bcb9870552610b2e736dffa995837eeede745	25902	coupling_cognate_map.py
coupling_cognate_rungs.tsv	51e29fe829382d9bd1db208dfdc3398d900dc7232afc83a9aa259a97691a4be0	77059	coupling_cognate_map.py
coupling_gproteindb.csv	6a270e5512ed913ca76eccabf4873857ec91231eb2c533cc737ea1cf1f11c8d4	50798	coupling_fetch.py
coupling_gtopdb.csv	ead344adc9b7201c7d1aefeaf2c274ca95e2782ce2ed14d5f380af3f215bf14d	14610	coupling_fetch.py
coupling_receptor_sets.tsv	77103e29503f9abd4974bf727b5ca0f8f6604f2520242ac1d59e9ebb678639fb	4730	coupling_cognate_map.py
coupling_refstructures.csv	68b0f24dd7b00d02c4c78d331d0fb253c15a47bc5bcb8ab95fe98415b7f44db7	142261	coupling_assign.py,coupling_fetch.py
coupling_reversal_evidence.tsv	14fb3859bcf2d9e75eaca14f2d374de45b2512ffe72fa447bcd7ebffd01fa3aa	4367	coupling_reversal_evidence.py
coupling_rung_impact.csv	6f40711fd0f7dd3e96a7b71c2725234a9d70a90ebb034971954a48ba0dbd02a8	11983	coupling_assign.py
drule_pool_exclusions.tsv	155c7bc1167acbda21a01ac749452b4febfe56c708829bf392afbf1d9d011394	30726529	unattributed
drule_pool_molecules.tsv	ccd768dfe5f68228125df850d0a36314765bb866dbd930eba035092551fbde64	25167183	unattributed
drule_rejections.tsv.gz	08e5428a5d22c622161bac782c60695ec7f6a03fb3a1aa28d46e2f1f15322d08	7157345	drule_select.py
drule_selected.tsv	22faf4e0bea447c051da8c1298bb193ffcc17e331c67d854be09b9833669829f	16393	drule_select.py
drule_targets.tsv	bcfaa04c1a0edcf0aef0c695948e3b9aee9a2cb7975f19334a563b86b488e4a8	7428	drule_targets.py
g0_activation_degree.csv	5902ba8fec2bb4e5534b7c9d5eef2b85934d1d7985e8053385f206a3e79997b7	627	unattributed
g0_anchor_conservation.csv	5030437b7ed88de1ea1c77f52ef543342446e6ad2c09c463a42470ed25ac1fb2	11414	g0_anchor_conservation.py
g0_calibration_structures.csv	f03f42bc4369a32031aee38009a53810cdf47586f2644d8c2eea5f12a90779e3	217757	unattributed
g0_class_variants.csv	03ee46cbb55318cc4245496c287044f41816e0bdb1f42f4479c222b3d28be0ce	596	unattributed
g0_filter_ladder.csv	6199d740218376b7d2c1e5a32254f72e921f5da6d71ccf9c1387b8d1146ffa41	729	unattributed
g0_independence_ladder.csv	dbcd3e0b8780397d1fe86946ab323238a19a0fa3183d67d4eb084d6cdbbc1244	340	unattributed
g0_intermediates.csv	64c6f3fb5048153db4abe44c8cbcf754bbfd58906413439caaf8a8b83f64cf4d	3776	unattributed
g0_label_conflicts.csv	14ab604406ae13fdb5b4943c069dbc23e5af68d1b91134a5ee34386359c5038a	18609	unattributed
g0_panel_exclusions.csv	5affdd2215f1d403762a741c237adb337aa4539fd58137778980140a576c8e8d	2873	unattributed
g0_pilot_measurements.csv	cff61ea2cbbba7f44d2d8f725b5860a2fafd0904a96b940776003edff63ab08f	7266	unattributed
g0_reference_axis_gap.csv	f7bdfc7ee8e16a3a457795414b85ddddc7f538782d749e068e736d95fa4617dc	17681	unattributed
g0_selftest.txt	4cdbf301d3fa49d627a66db7c7dd12c7e08c2c6334edc746fa262841f3c96764	2242	unattributed
g1_cognate.tsv	42e535da1feb192fdb5d10c32ebbec0c2a5133ad0369f79fc3803c1a95fec01e	117711	g1_cognate.py
g1_midrungs.tsv	bb93ae5373d087b3d12edd521598832cfc1a98062e21120061ca84e07a9932a1	31094	g1_midrungs.py
g1_minig.tsv	a6456ae0aaa04ec63c5529219f28c6560f78426f68b1dce4bb815bdd0af1ffcc	1426	g1_minig.py
g1_panel_freeze.tsv	8d5ffc150e0a37b31811552e91bbe06b5283cc31ec9cb24a785801745a98d310	17559	g1_panel_freeze.py
g1_partner_registry.tsv	26ca0d3e1f22f2f559468ea05901a1f48fcbdfa7cea8b355c2337cac47abd4a5	156150	g1_partner_registry.py
g1_receptors.tsv	3e228a4d0fa68ba1ff38a2cbc67ade7b6cf637ce01f675ed0a39333c2b02ab96	8739	unattributed
g1_recording_spec.tsv	f39b2d9dd7aa22a6c7db77d59b7863e3a23a46987ff5ca14cba20c057ab660d4	7908	g1_recording_spec.py
g1_refchimera.tsv	66bca5ecf5788c54e192876882a22cdc124f816e517aba5f621cd8462adea42f	3672	g1_refchimera.py
g1_systems.csv	b96129f9c9a259bb00f2f8aad37303629507f301d888bccf5af7dded3dd623c8	1204309	g1_systems.py
g2_systems.csv	be79a799bf13ceb6aec98605d5c74e1c3ebcf50c4f6e1d9d37c851b4459e268f	335611	g2_systems.py
ligand_ccd_verification.tsv	d38524bbf28b675acced1f756d395b3fd05ef870c5fbb625d8a1b1dc8af6a827	1616	ligand_ccd_verify.py
ligand_census_receptors.tsv	3439db612e93c20a57d10a206a99d6981529ff6f3afd6feeb77eaa6bee58d8a1	15776	unattributed
ligand_census_records.tsv	ef4112d839814a0b1e9ed3f478dd92e6d80735ed51f348dc568cf663ef463799	159452	unattributed
ligand_curation_candidates.tsv	07383dda13221e9e8afddcf4d3f9f191a2885f7607626db9849e7d9134a16ddb	11713	ligand_curation_candidates.py
ligand_set_redo.tsv	f521b5ec3519f58e008e3075507bceb7c7f134f372eb08e044f9ffc08a2e23bf	8221	ligand_set_redo.py
ligand_tiers.tsv	ccc5b13b483073f6a48d0a3fb9e22820194852c73dd22d6e1f43f711c205d9af	16186	ligand_tiers.py
p7_confidence_separation.csv	dc9bc8863108584e0b72e9e4b509bec03f7b3fd1e6fb26e174758f589d67f1e7	1618	unattributed
p7_confidence_separation.json	71c172b12079654320e409358383e510d35198849c1684faaf28a7600bb98c13	2103	p7_confidence_separation.py
p7_per_receptor.csv	6287cd7667a730416dc084a886edfb41831a99b5e351d685aa46a1e53abd854d	1418	unattributed
panel_gpcrdb_constructs.csv	11716bd8577358d80778bb64c993e4c3f50b09551f28188b0f1b93523094b850	40339	unattributed
panel_gpcrdb_degree.csv	aa64274833d5297e8b6af862424a00425a079380692065aeb3466c8800f0c5f5	129694	unattributed
panel_reference_qc.csv	ad478b8e088be58024e1aee67e6f743a54d6c6df5339cab1bdbe991674875595	350945	unattributed
panel_strict_confornets.csv	c86568549fe4cf8f7e4879c6656e2b48f9c2a532fade5eb8ec92694a6141696a	9536	unattributed
panel_systems.csv	b1a115a1372690fc6ae2d86f2d154f091751c6f08cf3f92f9f68010d5fa1b5f3	106700	unattributed
panel_uniprot.tsv	f0a8ecf82db1498414ebaf2a5a31c23ab737ee47a796f3449b5e570bb0cda422	12565	unattributed
run_registry.tsv	a275c4dd30a3a9440dc9fa559e696e1e4f50389b8ea28dc652c004ed7bb08a8d	27421	run_registry.py
seq_a5null.tsv	7e7cbcab02631a8f12fc43029e8fb24c24a9258f729ecaaef377f3160762546e	3420	unattributed
seq_constructs.tsv	5277b0fe3a33b459afda027739960a11b8f47d0b51072c7dc200880a2a3f8d8a	7418	unattributed
seq_controls.tsv	41f5b4acd1814e825ecadd0d5f274abc98eb5a500d8c9aa381a026443a85640e	55115	unattributed
