set_name	scope	cognate_family	receptor_slug	cognate_subtype	evidence_class	verdict
C1_64_Gio	C1_64	Gi/o	5HT1B	Go	STRUCTURE_NEAR	frozen
C1_64_Gio	C1_64	Gi/o	5HT5A	Gi1	STRUCTURE_EXACT	frozen
C1_64_Gio	C1_64	Gi/o	AA1R	Gi1	STRUCTURE_EXACT	frozen
C1_64_Gs	C1_64	Gs	AA2AR	Gs	CONVENTION_FALLBACK	frozen_by_convention
C1_64_Gq11	C1_64	Gq/11	ACM1	Gq	STRUCTURE_EXACT	frozen
C1_64_Gio	C1_64	Gi/o	ACM2	Go	STRUCTURE_EXACT	frozen
C1_64_Gio	C1_64	Gi/o	ACM4	Gi1	STRUCTURE_EXACT	frozen
C1_64_Gio	C1_64	Gi/o	ADA2A	Go	STRUCTURE_EXACT	frozen
C1_64_Gs	C1_64	Gs	ADRB1	Gs	CONVENTION_FALLBACK	frozen_by_convention
C1_64_Gs	C1_64	Gs	ADRB2	Gs	STRUCTURE_EXACT	frozen
C1_64_Gq11	C1_64	Gq/11	AGTR1	Gq	CONVENTION_FALLBACK	frozen_by_convention
C1_64_Gio	C1_64	Gi/o	APJ	Gi1	STRUCTURE_EXACT	frozen
C1_64_Gq11	C1_64	Gq/11	B1B1U5	Gq	STRUCTURE_NEAR	frozen
C1_64_Gio	C1_64	Gi/o	C5AR1	Gi1	STRUCTURE_EXACT	frozen
C1_64_Gs	C1_64	Gs	CCKAR	Gs	STRUCTURE_EXACT	frozen
C1_64_Gio	C1_64	Gi/o	CCR2	Gi1	STRUCTURE_EXACT	frozen
C1_64_Gio	C1_64	Gi/o	CCR5	Gi1	STRUCTURE_EXACT	frozen
C1_64_Gio	C1_64	Gi/o	CCR6	Go	STRUCTURE_NEAR	frozen
C1_64_Gio	C1_64	Gi/o	CCR8	Gi1	STRUCTURE_EXACT	frozen
C1_64_Gio	C1_64	Gi/o	CNR1	Gi1	STRUCTURE_EXACT	frozen
C1_64_Gio	C1_64	Gi/o	CNR2	Gi1	STRUCTURE_EXACT	frozen
C1_64_Gio	C1_64	Gi/o	CXCR2	Gi1	STRUCTURE_EXACT	frozen
C1_64_Gio	C1_64	Gi/o	CXCR3	Gi1	STRUCTURE_EXACT	frozen
C1_64_Gio	C1_64	Gi/o	CXCR4	Gi1	STRUCTURE_EXACT	frozen
C1_64_Gio	C1_64	Gi/o	DRD2	Go	STRUCTURE_EXACT	frozen
C1_64_Gio	C1_64	Gi/o	DRD3	Gi1	STRUCTURE_EXACT	frozen
C1_64_Gio	C1_64	Gi/o	EDNRB	Gi1	STRUCTURE_EXACT	frozen
C1_64_Gs	C1_64	Gs	FSHR	Gs	STRUCTURE_EXACT	frozen
C1_64_Gio	C1_64	Gi/o	GHSR	Gi1	STRUCTURE_EXACT	frozen
C1_64_Gs	C1_64	Gs	GPR52	Gs	STRUCTURE_NEAR	frozen
C1_64_Gs	C1_64	Gs	GPR6	Gs	STRUCTURE_EXACT	frozen
C1_64_Gs	C1_64	Gs	HRH2	Gs	STRUCTURE_NEAR	frozen
C1_64_Gio	C1_64	Gi/o	HRH3	Gi1	STRUCTURE_EXACT	frozen
C1_64_Gio	C1_64	Gi/o	LPAR1	Gi1	STRUCTURE_EXACT	frozen
C1_64_Gs	C1_64	Gs	LSHR	Gs	STRUCTURE_NEAR	frozen
C1_64_Gio	C1_64	Gi/o	LT4R1	Gi1	STRUCTURE_EXACT	frozen
C1_64_Gio	C1_64	Gi/o	MCHR1	Gi1	STRUCTURE_EXACT	frozen
C1_64_Gio	C1_64	Gi/o	MTR1A	Gi1	STRUCTURE_EXACT	frozen
C1_64_Gio	C1_64	Gi/o	MTR1B	Gi1	STRUCTURE_EXACT	frozen
C1_64_Gs	C1_64	Gs	NK1R	Gs	STRUCTURE_NEAR	frozen
C1_64_Gio	C1_64	Gi/o	NPY1R	Gi1	STRUCTURE_EXACT	frozen
C1_64_Gio	C1_64	Gi/o	NPY2R	Gi1	STRUCTURE_EXACT	frozen
C1_64_Gio	C1_64	Gi/o	NTR1	Gi1	CONVENTION_FALLBACK	frozen_by_convention
C1_64_Gio	C1_64	Gi/o	OPRD	Gi1	CONVENTION_FALLBACK	frozen_by_convention
C1_64_Gio	C1_64	Gi/o	OPRK	Gi1	STRUCTURE_EXACT	frozen
C1_64_Gio	C1_64	Gi/o	OPRM	Gi1	CONVENTION_FALLBACK	frozen_by_convention
