slug,verdict,primary_candidate_families,n_primary_candidates,any_annotated_families,n_any_annotated,R1_ct11,R2_ct15,R3_ct21,R4_a5helix,R5_a5plus,R6a_da5,R7_full,any_R1_ct11,any_R2_ct15,any_R3_ct21,any_R4_a5helix,any_R5_a5plus,any_R6a_da5,any_R7_full
5HT1B,cognate_ambiguous,Gi/o,1,Gi/o;Gq/11,2,SAME,SAME,SAME,SAME,SAME,SAME,SAME,DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS+LEN(2),DIFFERS+LEN(2)
5HT2A,cognate_ambiguous,Gq/11,1,Gi/o;Gq/11,2,SAME,SAME,SAME,SAME,SAME,SAME,SAME,DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS+LEN(2),DIFFERS+LEN(2)
5HT2C,cognate_conflicted,Gi/o;Gq/11,2,G12/13;Gi/o;Gq/11,3,DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS+LEN(2),DIFFERS+LEN(2),DIFFERS(3),DIFFERS(3),DIFFERS(3),DIFFERS(3),DIFFERS(3),DIFFERS+LEN(3),DIFFERS+LEN(3)
5HT5A,cognate_ambiguous,Gi/o,1,Gi/o;Gq/11,2,SAME,SAME,SAME,SAME,SAME,SAME,SAME,DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS+LEN(2),DIFFERS+LEN(2)
AA1R,cognate_conflicted,Gi/o;Gq/11,2,G12/13;Gi/o;Gq/11;Gs,4,DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS+LEN(2),DIFFERS+LEN(2),DIFFERS(4),DIFFERS(4),DIFFERS(4),DIFFERS(4),DIFFERS(4),DIFFERS+LEN(4),DIFFERS+LEN(4)
AA2AR,cognate_ambiguous,Gs,1,G12/13;Gi/o;Gq/11;Gs,4,SAME,SAME,SAME,SAME,SAME,SAME,SAME,DIFFERS(4),DIFFERS(4),DIFFERS(4),DIFFERS(4),DIFFERS(4),DIFFERS+LEN(4),DIFFERS+LEN(4)
ACM1,cognate_ambiguous,Gq/11,1,Gi/o;Gq/11;Gs,3,SAME,SAME,SAME,SAME,SAME,SAME,SAME,DIFFERS(3),DIFFERS(3),DIFFERS(3),DIFFERS(3),DIFFERS(3),DIFFERS+LEN(3),DIFFERS+LEN(3)
ACM2,cognate_ambiguous,Gi/o,1,Gi/o;Gq/11;Gs,3,SAME,SAME,SAME,SAME,SAME,SAME,SAME,DIFFERS(3),DIFFERS(3),DIFFERS(3),DIFFERS(3),DIFFERS(3),DIFFERS+LEN(3),DIFFERS+LEN(3)
ACM4,cognate_ambiguous,Gi/o,1,G12/13;Gi/o;Gq/11;Gs,4,SAME,SAME,SAME,SAME,SAME,SAME,SAME,DIFFERS(4),DIFFERS(4),DIFFERS(4),DIFFERS(4),DIFFERS(4),DIFFERS+LEN(4),DIFFERS+LEN(4)
ADA1A,cognate_ambiguous,Gq/11,1,G12/13;Gi/o;Gq/11;Gs,4,SAME,SAME,SAME,SAME,SAME,SAME,SAME,DIFFERS(4),DIFFERS(4),DIFFERS(4),DIFFERS(4),DIFFERS(4),DIFFERS+LEN(4),DIFFERS+LEN(4)
ADA2A,cognate_ambiguous,Gi/o,1,G12/13;Gi/o;Gq/11;Gs,4,SAME,SAME,SAME,SAME,SAME,SAME,SAME,DIFFERS(4),DIFFERS(4),DIFFERS(4),DIFFERS(4),DIFFERS(4),DIFFERS+LEN(4),DIFFERS+LEN(4)
ADRB1,cognate_ambiguous,Gs,1,G12/13;Gi/o;Gq/11;Gs,4,SAME,SAME,SAME,SAME,SAME,SAME,SAME,DIFFERS(4),DIFFERS(4),DIFFERS(4),DIFFERS(4),DIFFERS(4),DIFFERS+LEN(4),DIFFERS+LEN(4)
