receptor	cluster	organism	tier	core32_provisional	panel_ligands_col	n_structures	n_ligand_records	act_modalities	act_modalities_panelspecies	blk_modalities	blk_modalities_panelspecies	oact_modalities	oact_modalities_panelspecies	oblk_modalities	oblk_modalities_panelspecies	n_ago_pam	n_agonist	n_allosteric_agonist	n_allosteric_antagonist	n_antagonist	n_apo	n_inverse_agonist	n_nam	n_other_cofactor	n_other_unknown	n_pam	n_partial_agonist	n_mod_small-molecule	n_mod_peptide	n_mod_protein	n_mod_lipid	n_mod_none	n_site_orthosteric	n_site_allosteric
5HT1B	001_001_001	Homo sapiens (Human)	EXTENSION-census	no	sm / sm / C	5	5	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	0	3	0	0	2	0	0	0	0	0	0	0	5	0	0	0	0	5	0
5HT2A	001_001_001	Homo sapiens (Human)	EXTENSION-chimeric-reference	yes	sm / sm / –	18	18	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	0	12	0	0	2	0	2	0	0	0	0	2	18	0	0	0	0	18	0
5HT2C	001_001_001	Homo sapiens (Human)	EXTENSION-chimeric-reference	no	sm / sm / c	7	7	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	0	5	0	0	0	0	2	0	0	0	0	0	7	0	0	0	0	7	0
5HT5A	001_001_001	Homo sapiens (Human)	PRIMARY	no	sm / sm / C	5	5	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	0	4	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	5	0
AA1R	001_006_001	Homo sapiens (Human)	PRIMARY	yes	sm / sm / C	5	6	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	1	4	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	5	1
AA2AR	001_006_001	Homo sapiens (Human)	PRIMARY	no	sm / sm / C	80	80	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	0	12	0	0	65	0	1	0	0	0	0	2	80	0	0	0	0	80	0
ACM1	001_001_002	Homo sapiens (Human)	EXTENSION-census	no	sm / sm / C	6	7	small-molecule	small-molecule	peptide;small-molecule	peptide;small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	0	4	0	0	2	0	0	1	0	0	0	0	6	1	0	0	0	6	1
ACM2	001_001_002	Homo sapiens (Human)	EXTENSION-census	no	sm / sm / C	14	18	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	1	8	0	0	6	0	0	0	0	0	3	0	18	0	0	0	0	14	4
ACM4	001_001_002	Homo sapiens (Human)	PRIMARY	yes	sm / sm / C	11	14	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	0	7	1	0	1	2	0	0	0	0	3	0	12	0	0	0	2	8	4
ADA1A	001_001_003	Homo sapiens (Human)	EXTENSION-chimeric-reference	no	sm / pep;sm / –	6	6	small-molecule	small-molecule	peptide;small-molecule	peptide;small-molecule	small-molecule	small-molecule	peptide;small-molecule	peptide;small-molecule	0	4	0	0	2	0	0	0	0	0	0	0	5	1	0	0	0	6	0
ADA2A	001_001_003	Homo sapiens (Human)	EXTENSION-census	no	sm / sm / c	10	10	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	0	8	0	0	1	0	0	0	0	0	0	1	10	0	0	0	0	10	0
ADRB1	001_001_003	Homo sapiens (Human)	PRIMARY	yes	sm / sm / c	34	34	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	0	16	0	0	10	1	3	0	0	0	0	4	33	0	0	0	1	33	0
ADRB2	001_001_003	Homo sapiens (Human)	EXTENSION-census	no	sm / sm / C	126	129	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	0	98	0	1	13	1	13	1	0	0	1	1	128	0	0	0	1	125	3
AGTR1	001_002_001	Homo sapiens (Human)	PRIMARY	yes	pep;prot / prot;sm / C	9	9	peptide;protein	peptide;protein	protein;small-molecule	protein;small-molecule	peptide;protein	peptide;protein	protein;small-molecule	protein;small-molecule	0	5	0	0	3	0	1	0	0	0	0	0	2	4	3	0	0	9	0
APJ	001_002_002	Homo sapiens (Human)	PRIMARY	yes	pep;prot;sm / **none** / c	14	14	peptide;protein;small-molecule	peptide;protein;small-molecule			peptide;protein;small-molecule	peptide;protein;small-molecule			0	14	0	0	0	0	0	0	0	0	0	0	5	8	1	0	0	14	0
B1B1U5	001_009_001_inv	Hasarius adansoni	PRIMARY	yes	sm / sm / –	4	4	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	0	3	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	4	0
C5AR1	001_002_006	Homo sapiens (Human)	PRIMARY	yes	pep / pep;sm / –	12	14	peptide	peptide	peptide;small-molecule	peptide;small-molecule	peptide	peptide	peptide;small-molecule	peptide;small-molecule	0	9	0	0	3	0	0	2	0	0	0	0	3	11	0	0	0	12	2
CCKAR	001_002_005	Homo sapiens (Human)	PRIMARY	yes	pep;prot;sm / sm / C	12	12	peptide;protein;small-molecule	peptide;protein;small-molecule	small-molecule	small-molecule	peptide;protein;small-molecule	peptide;protein;small-molecule	small-molecule	small-molecule	0	10	0	0	2	0	0	0	0	0	0	0	3	5	4	0	0	12	0
CCR2	001_003_002	Homo sapiens (Human)	PRIMARY	yes	pep / sm / –	4	5	peptide	peptide	small-molecule	small-molecule	peptide	peptide	small-molecule	small-molecule	0	1	0	1	3	0	0	0	0	0	0	0	4	1	0	0	0	4	1
CCR5	001_003_002	Homo sapiens (Human)	EXTENSION-census	no	pep / prot;sm / C	11	11	peptide	peptide	protein;small-molecule	protein;small-molecule	peptide	peptide	protein;small-molecule	protein;small-molecule	0	4	0	0	6	1	0	0	0	0	0	0	3	4	3	0	1	10	0
CCR6	001_003_002	Homo sapiens (Human)	EXTENSION-census	no	pep / sm / –	3	5	peptide	peptide	small-molecule	small-molecule	peptide	peptide	small-molecule	small-molecule	0	1	0	1	2	0	0	1	0	0	0	0	4	1	0	0	0	3	2
CCR8	001_003_002	Homo sapiens (Human)	EXTENSION-census	no	prot;sm / prot / –	6	6	protein;small-molecule	protein;small-molecule	protein	protein	protein;small-molecule	protein;small-molecule	protein	protein	0	3	0	0	1	2	0	0	0	0	0	0	2	0	2	0	2	4	0
CNR1	001_004_005	Homo sapiens (Human)	EXTENSION-census	no	sm / sm / C	21	24	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	0	16	0	0	1	0	4	1	0	0	2	0	24	0	0	0	0	21	3
CNR2	001_004_005	Homo sapiens (Human)	PRIMARY	yes	sm / sm / C	9	9	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	0	8	0	0	1	0	0	0	0	0	0	0	9	0	0	0	0	9	0
CXCR2	001_003_002	Homo sapiens (Human)	EXTENSION-census	no	prot / sm / C	3	3	protein	protein	small-molecule	small-molecule	protein	protein			0	2	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	2	1
CXCR3	001_003_002	Homo sapiens (Human)	EXTENSION-census	no	pep;sm / sm / –	6	6	peptide;small-molecule	peptide;small-molecule	small-molecule	small-molecule	peptide;small-molecule	peptide;small-molecule	small-molecule	small-molecule	0	5	0	0	1	0	0	0	0	0	0	0	5	1	0	0	0	6	0
CXCR4	001_003_002	Homo sapiens (Human)	EXTENSION-census	no	pep;prot;sm / pep;sm / C	14	14	peptide;protein;small-molecule	peptide;protein;small-molecule	peptide;small-molecule	peptide;small-molecule	peptide;protein;small-molecule	peptide;protein;small-molecule	peptide;small-molecule	peptide;small-molecule	0	7	0	0	6	1	0	0	0	0	0	0	5	3	5	0	1	13	0
DRD2	001_001_004	Homo sapiens (Human)	EXTENSION-census	no	sm / sm / c	8	8	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	0	5	0	0	2	0	1	0	0	0	0	0	8	0	0	0	0	8	0
DRD3	001_001_004	Homo sapiens (Human)	PRIMARY	yes	sm / sm / C	6	6	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	0	5	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	6	0
