receptor	gpcrdb_protein	structure_species	pdb	structure_state	resolution	role	modality	site	function_raw	type_raw	ligand_name	ligand_ccd	has_smiles	is_chain_coinput
5HT1B	5ht1b_human	Homo sapiens	4IAQ	Inactive	2.8	agonist	small-molecule	orthosteric	Agonist	small-molecule	dihydroergotamine	2GM	1	0
5HT1B	5ht1b_human	Homo sapiens	6G79	Active	3.78	agonist	small-molecule	orthosteric	Agonist	small-molecule	donitriptan	EP5	1	0
5HT1B	5ht1b_human	Homo sapiens	4IAR	Inactive	2.7	agonist	small-molecule	orthosteric	Agonist	small-molecule	ergotamine	ERM	1	0
5HT1B	5ht1b_human	Homo sapiens	5V54	Inactive	3.9	antagonist	small-molecule	orthosteric	Antagonist	small-molecule	CHEMBL428892	89F	1	0
5HT1B	5ht1b_human	Homo sapiens	7C61	Inactive	3.0	antagonist	small-molecule	orthosteric	Antagonist	small-molecule	ergotamine	ERM	1	0
5HT2A	5ht2a_human	Homo sapiens	7RAN	Active	3.45	agonist	small-molecule	orthosteric	Agonist	small-molecule	3-[(3R)-3-methyl-1,2,3,6-tetrahydropyridin-1-ium-5-yl]-1H-pyrrolo[2,3-b]pyridine	3IQ	1	0
5HT2A	5ht2a_human	Homo sapiens	7WC6	Inactive	2.6	agonist	small-molecule	orthosteric	Agonist	small-molecule	Lysergide	7LD	1	0
5HT2A	5ht2a_human	Homo sapiens	6WGT	Inactive	3.4	agonist	small-molecule	orthosteric	Agonist	small-molecule	Lysergide	7LD	1	0
5HT2A	5ht2a_human	Homo sapiens	7WC5	Inactive	3.2	agonist	small-molecule	orthosteric	Agonist	small-molecule	psilocin	91Q	1	0
5HT2A	5ht2a_human	Homo sapiens	7WC8	Inactive	2.45	agonist	small-molecule	orthosteric	Agonist	small-molecule	LUMATEPERONE	92S	1	0
5HT2A	5ht2a_human	Homo sapiens	7WC9	Inactive	2.5	agonist	small-molecule	orthosteric	Agonist	small-molecule	IHCH-7086	93F	1	0
5HT2A	5ht2a_human	Homo sapiens	8JT8	Inactive	2.7	agonist	small-molecule	orthosteric	Agonist	small-molecule	1-(4-fluorophenyl)-4-[(7R)-2,5,11-triazatetracyclo[7.6.1.0^2,7.0^12,16]hexadeca-1(15),9,12(16),13-tetraen-5-yl]butan-1-one	EZX	1	0
5HT2A	5ht2a_human	Homo sapiens	8UWL	Active	2.8	agonist	small-molecule	orthosteric	Agonist	small-molecule	lisuride	H8G	1	0
5HT2A	5ht2a_human	Homo sapiens	7WC7	Inactive	2.6	agonist	small-molecule	orthosteric	Agonist	small-molecule	lisuride	H8G	1	0
5HT2A	5ht2a_human	Homo sapiens	7WC4	Inactive	3.2	agonist	small-molecule	orthosteric	Agonist	small-molecule	5-hydroxytryptamine	SRO	1	0
5HT2A	5ht2a_human	Homo sapiens	6WHA	Active	3.36	agonist	small-molecule	orthosteric	Agonist	small-molecule	CHEMBL5184791	U0G	1	0
5HT2A	5ht2a_human	Homo sapiens	8V6U	Active	3.0	agonist	small-molecule	orthosteric	Agonist	small-molecule	4-{(3R)-1-[(1R)-1-(pyrimidin-2-yl)ethyl]piperidin-3-yl}phenol	YEQ	1	0
5HT2A	5ht2a_human	Homo sapiens	6A93	Inactive	3.0	antagonist	small-molecule	orthosteric	Antagonist	small-molecule	risperidone	8NU	1	0
5HT2A	5ht2a_human	Homo sapiens	6A94	Inactive	2.9	antagonist	small-molecule	orthosteric	Antagonist	small-molecule	zotepine	ZOT	1	0
5HT2A	5ht2a_human	Homo sapiens	6WH4	Inactive	3.4	inverse_agonist	small-molecule	orthosteric	Inverse agonist	small-molecule	CHEMBL428892	89F	1	0
5HT2A	5ht2a_human	Homo sapiens	8ZMG	Inactive	3.4	inverse_agonist	small-molecule	orthosteric	Inverse agonist	small-molecule	pimavanserin	A1L11	1	0
5HT2A	5ht2a_human	Homo sapiens	7VOD	Inactive	3.3	partial_agonist	small-molecule	orthosteric	Agonist (partial)	small-molecule	cariprazine	7RU	1	0
5HT2A	5ht2a_human	Homo sapiens	7VOE	Inactive	2.9	partial_agonist	small-molecule	orthosteric	Agonist (partial)	small-molecule	aripiprazole	9SC	1	0
5HT2C	5ht2c_human	Homo sapiens	8DPG	Active	3.6	agonist	small-molecule	orthosteric	Agonist	small-molecule	psilocin	91Q	1	0
5HT2C	5ht2c_human	Homo sapiens	6BQG	Active	3.0	agonist	small-molecule	orthosteric	Agonist	small-molecule	ergotamine	ERM	1	0
5HT2C	5ht2c_human	Homo sapiens	8DPF	Active	2.84	agonist	small-molecule	orthosteric	Agonist	small-molecule	lorcaserin	T4U	1	0
5HT2C	5ht2c_human	Homo sapiens	8DPH	Active	3.2	agonist	small-molecule	orthosteric	Agonist	small-molecule	lorcaserin	T4U	1	0
5HT2C	5ht2c_human	Homo sapiens	8DPI	Active	3.4	agonist	small-molecule	orthosteric	Agonist	small-molecule	lorcaserin	T4U	1	0
5HT2C	5ht2c_human	Homo sapiens	8ZMF	Inactive	3.6	inverse_agonist	small-molecule	orthosteric	Inverse agonist	small-molecule	1-[(4-Fluorophenyl)methyl]-1-(5-methyl-5-azaspiro[2.5]octan-8-yl)-3-[[4-(2-methylpropoxy)phenyl]methyl]urea	A1L10	1	0
