metric,scope,auc,ci_lo,ci_hi,n_rows,n_receptors,n_clusters
plddt_mean,pooled,0.5780332780709347,0.4551821889352971,0.6846255529895567,7486,38,24
plddt_mean,within_receptor_mean,0.5706719389375242,0.43787851226485136,0.6826574169746011,7486,12,11
plddt_mean,pooled:boltz,0.5052837591932671,,,1865,38,24
plddt_mean,pooled:chai,0.5793443282381335,,,1874,38,24
plddt_mean,pooled:of3,0.5410013483783975,,,1873,38,24
plddt_mean,pooled:protenix,0.6451198428555092,,,1874,38,24
min_plddt_at_anchor,pooled,0.506510693029602,0.40715356433715955,0.6587506719490668,7486,38,24
min_plddt_at_anchor,within_receptor_mean,0.6092211115094383,0.4415439502165944,0.7515476811411489,7486,12,11
min_plddt_at_anchor,pooled:boltz,0.308611816665403,,,1865,38,24
min_plddt_at_anchor,pooled:chai,0.5555443818718155,,,1874,38,24
min_plddt_at_anchor,pooled:of3,0.5586047831949471,,,1873,38,24
min_plddt_at_anchor,pooled:protenix,0.571596267818342,,,1874,38,24
plddt_at_anchors,pooled,0.573495892813769,0.4665274838319073,0.7213690151767763,7486,38,24
plddt_at_anchors,within_receptor_mean,0.5825872633263834,0.39548505444601845,0.7293987925242549,7486,12,11
plddt_at_anchors,pooled:boltz,0.4875511790128137,,,1865,38,24
plddt_at_anchors,pooled:chai,0.5291633145615446,,,1874,38,24
plddt_at_anchors,pooled:of3,0.5820417287630403,,,1873,38,24
plddt_at_anchors,pooled:protenix,0.752584878879,,,1874,38,24
plddt_mean,pooled:INCLUDING_forced_inactive,0.6002023831051978,,,7886,40,26
min_plddt_at_anchor,pooled:INCLUDING_forced_inactive,0.47345300386818345,,,7886,40,26
plddt_at_anchors,pooled:INCLUDING_forced_inactive,0.5452235255987922,,,7886,40,26
