receptor,cluster_id,auc,n,n_wrong,n_correct,evaluable
5HT1B,5HT,0.8405612244897959,200,4,196,False
5HT2C,5HT,0.15741574157415741,200,99,101,True
5HT5A,5HT,0.8190808609656777,200,9,191,False
ACM2,SINGLETON_ACM2,0.7704081632653061,200,4,196,False
ADRB2,ADR,1.0,200,1,199,False
APJ,SINGLETON_APJ,0.15569196428571427,200,32,168,True
B1B1U5,SINGLETON_B1B1U5,0.5452742894910774,195,17,178,True
CCR5,SINGLETON_CCR5,0.6222826086956522,200,16,184,True
CNR1,CNR,0.8301838610827375,200,22,178,True
CNR2,CNR,0.6949902407286923,198,53,145,True
CXCR2,CXCR,0.8106060606060606,200,2,198,False
CXCR4,CXCR,0.017371428571428572,200,25,175,True
FSHR,GLYCOPROTEIN,0.8713405238828967,199,22,177,True
FZD4,FZD,0.26262626262626265,100,1,99,False
FZD6,FZD,0.6909814323607427,200,26,174,True
GCGR,CLASS_B,0.9966159052453468,200,3,197,False
GHSR,SINGLETON_GHSR,0.8611111111111112,200,18,182,True
GLP1R,CLASS_B,0.9671717171717171,200,2,198,False
HRH1,HRH,0.7146697388632872,200,14,186,True
LPAR1,SINGLETON_LPAR1,0.7346938775510204,200,4,196,False
LSHR,GLYCOPROTEIN,0.7098445595854922,200,7,193,False
LT4R1,SINGLETON_LT4R1,0.829734219269103,200,28,172,True
MCHR1,SINGLETON_MCHR1,0.33585858585858586,200,2,198,False
OPRD,opioid,0.7904040404040404,200,2,198,False
OPRK,opioid,0.7579988365328679,200,9,191,False
OPSD,OPSIN,0.8678385416666666,200,8,192,False
PTH1R,CLASS_B,0.8826530612244898,200,4,196,False
SMO,FZD,0.9899497487437185,200,1,199,False
