receptor_slug,coupling_class,excluded,exclusion_reason
5HT1B,Gi,0,
5HT2C,Gq,0,
5HT5A,Gi,0,
AA1R,Gi,0,
AA2AR,Gs,0,
ACM1,Gq,0,
ACM2,Gi,0,
ACM4,Gi,0,
ADA2A,Gi,0,
ADRB1,Gs,0,
ADRB2,Gs,0,
AGTR1,Gq,0,
APJ,Gi,0,
B1B1U5,Gi,1,non_mammalian_singleton_out_of_class_a_primary
CCKAR,Gq,0,
CCR5,Gi,0,
CNR1,Gi,1,agonist_only_active_ref_out_of_class_a_primary_pending_6N4B_swap
CNR2,Gi,0,
CXCR2,Gi,0,
CXCR4,Gi,0,
DRD2,Gi,0,
DRD3,Gi,0,
EDNRA,Gq,0,
EDNRB,Gq,0,
FSHR,Gs,1,pre_registered_apo_failure_per_prereg_1a
GHSR,Gq,0,
GRPR,Gq,0,
HRH1,Gq,0,
HRH3,Gi,0,
LPAR1,Gi,0,
LSHR,Gs,1,pre_registered_apo_failure_per_prereg_1a
LT4R1,Gi,0,
MCHR1,Gi,0,
NPY1R,Gi,0,
NPY2R,Gi,0,
OPRD,Gi,1,agonist_only_active_ref_out_of_class_a_primary_pending_6PT3_swap
OPRK,Gi,0,
OPRX,Gi,0,
OPSD,Gt,1,class_a_gt_single_receptor_stratum_plus_apo_failure_per_prereg_1a
OX2R,Gq,0,
GLP1R,Gs,1,class_bf_out_of_scope_for_A_only_draws
GCGR,Gs,1,class_bf_out_of_scope_for_A_only_draws
PTH1R,Gs,1,class_bf_out_of_scope_for_A_only_draws
CRHR1,Gs,1,class_bf_out_of_scope_for_A_only_draws
FZD4,DVL,1,class_bf_out_of_scope_for_A_only_draws
FZD6,Gs,1,class_bf_out_of_scope_for_A_only_draws
FZD7,Gs,1,class_bf_out_of_scope_for_A_only_draws
SMO,Gi,1,class_bf_out_of_scope_for_A_only_draws
