receptor_slug,primary_ga_class,primary_ga_identity,tier1_in_scope,sealed_subset,heldout_subset,curation_status_for_tier3
5HT1B,Gi,alphai1,yes,no,no,existing
5HT2C,Gq,alphaq,no,no,yes,needed
5HT5A,Gi,alphai1,no,no,no,needed
AA1R,Gi,alphai1,yes,no,no,existing
AA2AR,Gs,alphas,yes,no,no,existing
ACM1,Gq,alphaq,no,yes,no,needed
ACM2,Gi,alphai1,yes,no,no,existing
ACM4,Gi,alphai1,yes,no,no,existing
ADA2A,Gi,alphai1,no,yes,no,needed
ADRB1,Gs,alphas,no,yes,no,needed
ADRB2,Gs,alphas,yes,no,no,existing
AGTR1,Gq,alphaq,no,no,yes,needed
APJ,Gi,alphai1,no,no,no,needed
B1B1U5,Gi,alphai1,no,no,no,needed
CCKAR,Gq,alphaq,no,yes,no,needed
CCR5,Gi,alphai1,no,no,no,needed
CNR1,Gi,alphai1,no,no,no,needed
CNR2,Gi,alphai1,no,no,no,needed
CXCR2,Gi,alphai1,no,no,yes,needed
CXCR4,Gi,alphai1,no,no,yes,needed
DRD2,Gi,alphai1,no,no,yes,needed
DRD3,Gi,alphai1,yes,yes,no,existing
EDNRA,Gq,alphaq,no,yes,no,needed
EDNRB,Gq,alphaq,no,no,no,needed
FSHR,Gs,alphas,no,no,no,needed
GHSR,Gq,alphaq,no,no,no,needed
GRPR,Gq,alphaq,no,no,no,needed
HRH1,Gq,alphaq,no,no,no,needed
HRH3,Gi,alphai1,no,yes,no,needed
LPAR1,Gi,alphai1,no,no,yes,needed
LSHR,Gs,alphas,no,no,no,needed
LT4R1,Gi,alphai1,no,no,no,needed
MCHR1,Gi,alphai1,no,no,yes,needed
NPY1R,Gi,alphai1,no,no,no,needed
NPY2R,Gi,alphai1,no,no,yes,needed
OPRD,Gi,alphai1,no,no,no,needed
OPRK,Gi,alphai1,no,no,no,needed
OPRX,Gi,alphai1,no,no,no,needed
OPSD,Gt,alphat,no,no,no,needed
OX2R,Gq,alphaq,yes,yes,no,existing
