# UniProt accessions for every GPCRdb protein appearing in panel_systems.csv.
# Retrieved 2026-09-11 from https://rest.uniprot.org/uniprotkb/search (query by entry name).
# NOTE: GPCRdb uses the legacy entry name crfr1_human; UniProt has renamed it CRHR1_HUMAN (P34998).
# That row was fetched by gene name and appended by hand; it is the only row not returned by the id: query.
Entry	Entry Name	Protein names	Gene Names (primary)	Organism	Organism (ID)	Length
B1B1U5	B1B1U5_9ARAC	Kumopsin1	HaRh1	Hasarius adansoni	243517	372
O43614	OX2R_HUMAN	Orexin receptor type 2 (Ox-2-R) (Ox2-R) (Ox2R) (Hypocretin receptor type 2)	HCRTR2	Homo sapiens (Human)	9606	444
O60353	FZD6_HUMAN	Frizzled-6 (Fz-6) (hFz6)	FZD6	Homo sapiens (Human)	9606	706
O75084	FZD7_HUMAN	Frizzled-7 (Fz-7) (hFz7) (FzE3)	FZD7	Homo sapiens (Human)	9606	574
P02699	OPSD_BOVIN	Rhodopsin	RHO	Bos taurus (Bovine)	9913	348
P07550	ADRB2_HUMAN	Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor)	ADRB2	Homo sapiens (Human)	9606	413
P07700	ADRB1_MELGA	Beta-1 adrenergic receptor (Beta-1 adrenoreceptor) (Beta-1 adrenoceptor) (Beta-T)	ADRB1	Meleagris gallopavo (Wild turkey)	9103	483
P08100	OPSD_HUMAN	Rhodopsin (Opsin-2)	RHO	Homo sapiens (Human)	9606	348
P08172	ACM2_HUMAN	Muscarinic acetylcholine receptor M2	CHRM2	Homo sapiens (Human)	9606	466
P08173	ACM4_HUMAN	Muscarinic acetylcholine receptor M4	CHRM4	Homo sapiens (Human)	9606	479
P08483	ACM3_RAT	Muscarinic acetylcholine receptor M3	Chrm3	Rattus norvegicus (Rat)	10116	589
P08588	ADRB1_HUMAN	Beta-1 adrenergic receptor (Beta-1 adrenoreceptor) (Beta-1 adrenoceptor)	ADRB1	Homo sapiens (Human)	9606	477
P08913	ADA2A_HUMAN	Alpha-2A adrenergic receptor (Alpha-2 adrenergic receptor subtype C10) (Alpha-2A adrenoreceptor) (Alpha-2A adrenoceptor) (Alpha-2AAR)	ADRA2A	Homo sapiens (Human)	9606	465
P11229	ACM1_HUMAN	Muscarinic acetylcholine receptor M1	CHRM1	Homo sapiens (Human)	9606	460
P14416	DRD2_HUMAN	Dopamine receptor D2 (Dopamine D2 receptor)	DRD2	Homo sapiens (Human)	9606	443
P16473	TSHR_HUMAN	Thyrotropin receptor (Thyroid-stimulating hormone receptor) (TSH-R)	TSHR	Homo sapiens (Human)	9606	764
P20309	ACM3_HUMAN	Muscarinic acetylcholine receptor M3	CHRM3	Homo sapiens (Human)	9606	590
P20789	NTR1_RAT	Neurotensin receptor type 1 (NT-R-1) (NTR1) (High-affinity levocabastine-insensitive neurotensin receptor) (NTRH)	Ntsr1	Rattus norvegicus (Rat)	10116	424
