citekey,binary predicate,continuous coordinate,RMSD-to-reference,visual only,no state metric,n_kinds,window
abramson2024af3,0,0,1,1,0,2,"**RMSD-to-reference + visual only** — dual, and the split is informative."
aureli2026epath,0,1,0,0,0,1,"**continuous coordinate**, and it is the most carefully constructed one in the corpus. Progress along a path CV, with the path deviation z restrained loosely, plus explicit structural descriptors for four microswitch motifs: ""PIF, DRY, NPxxY, and YY, to capture local structural determinants of activ"
bret2025boltz2docking,0,0,0,0,1,0,"**NOT APPLICABLE for conformational state.** The metric is **ROC AUC** for classifying true actives against true inactives, and a ΔROC AUC (wild type minus mutant) for the adversarial arms."
bryant2024cfold,1,1,0,0,0,2,"**continuous coordinate + binary predicate** (genuinely dual). Continuous: TM-score from TM-align used for every score (p.8), reported as distributions (Figs 1b, 3, 4, 5, 7). Binary: success is thresholded at TM-score >0.8 (p.1, p.3, Table 1 p.3)."
bugrova2026representation,0,0,0,0,1,0,"**NOT APPLICABLE as a conformational-state metric** — the paper measures ligand pose and ligand internal geometry, never a protein conformational state (see `states_generated`). Recorded honestly, the placement/geometry metrics are **dual: continuous coordinate + visual only**:"
chai2024chai1,0,0,0,0,1,0,**NOT APPLICABLE — no conformational state is assessed anywhere in this paper.
chakravarty2026statespace,0,0,0,0,1,0,"**NOT APPLICABLE for measurement performed; PRESCRIBED in detail.** The paper's prescription is the single most actionable passage in the document and is quoted in full under `necessity_claims` (E1). In field terms, what it asks for:"
chen2026medchem,0,0,1,1,0,2,"**RMSD-to-reference + visual only** (dual, and the visual half is where the conformational claim lives). Quantitative: overall heavy-atom RMSD after protein alignment, pharmacophore-restricted RMSD, and RDKit shape-Tanimoto-derived volume overlap, with hard predicates 2 Å / 1.5 Å / 70% (p4, p45–46)."
chib2025gpcrstates,0,1,1,0,0,2,"**RMSD-to-reference + continuous coordinate (dual). Two metrics, both deviation-from-reference, no threshold on either, and no binary state call anywhere in the paper.** This is the field this paper is in the corpus for, so both are given in full with their exact residue and atom scope."
chiesa2025templatebias,0,1,1,0,0,2,"**RMSD-to-reference + continuous coordinate**, resolved per structural element rather than globally, which is the methodological strength."
chitsazi2025gpcrdock4,0,1,1,0,0,2,"**`RMSD-to-reference` + `continuous coordinate` — and the object measured is LIGAND POSE and RECEPTOR FOLD, never conformational STATE.** Read this field together with `unresolved` item 3."
ekstromkelvinius2024discriminator,0,0,0,0,1,0,"**NOT APPLICABLE for conformational state.** Metrics are validity, uniqueness, novelty, filter pass rate, Fréchet ChemNet Distance and SNN similarity."
feldman2026alphainterp,0,1,1,0,0,2,"**`RMSD-to-reference` + `continuous coordinate` (dual, per the v3 rule).**"
ferguson2026deorphann,1,0,0,0,0,1,**`binary predicate + NONE FOR CONFORMATION`. Both halves matter.**
georgiou2025heterogeneity,0,0,0,0,1,0,"**NOT APPLICABLE as an *applied* metric — the review measures nothing.** But it **reports, collates and reconciles the criteria other people use**, and that is the reason to hold this note. Full table below."
gilson2025casp16,0,1,1,0,0,2,"**`RMSD-to-reference` + `continuous coordinate` — BUT THE OBJECT MEASURED IS THE LIGAND POSE, NEVER A PROTEIN CONFORMATIONAL STATE. Receptor conformation was DELIBERATELY NOT ASSESSED. This is the field to read if you came here for the state question."
heo2022multistate,1,0,1,0,0,2,"**RMSD-to-reference + binary predicate derived from it. There is no geometric state criterion anywhere in this paper — no TM6 distance, no NPxxY/DRY ionic-lock measurement used as a decision rule.**"
hilger2020gcgr,0,1,0,1,0,2,"**Dual — continuous coordinate + visual/structural, and the continuous half is the reusable content.** Every geometric and spectroscopic measurement of activation the paper reports, with page:"
ingraham2023chroma,0,0,0,0,1,0,"**NOT APPLICABLE for conformational state.** The reported structural metric is backbone RMSD between a designed sample and its solved crystal structure, ~1.0 Å (Abstract)."
jedryszek2026probing,1,1,0,0,0,2,**DUAL — continuous coordinate + binary predicate.**
jung2026boltzperturb,1,0,1,0,0,2,**RMSD-to-reference + binary predicate.** Dual.
junker2026peptidedesign,1,0,1,0,0,2,"**`RMSD-to-reference` (DockQ family, PEPTIDE PLACEMENT ONLY) + `binary predicate` (borrowed DockQ category thresholds). RECEPTOR CONFORMATIONAL STATE WAS NEVER ASSESSED AT ALL."
kalakoti2025afsample2,1,1,1,0,0,3,**Triple: RMSD-to-reference (TM-score form) + binary predicate + continuous coordinate.
kalakoti2026afsample3,0,1,1,0,0,2,"**Dual: continuous coordinate + RMSD-to-reference (TM form).** TM-score to each of the two deposited references (TM-align for end states, Foldseek-derived pairwise TM for the selection matrix)."
khaleq2026hyaline,1,0,0,0,0,1,**binary predicate.** (Single-valued; not dual — nothing here is called by eye and no RMSD is used as a success criterion.) **What the model outputs.** A single scalar activation probability per structure.
kim2023refining,0,0,0,0,1,0,"**NOT APPLICABLE.** Metrics are FID, sFID, Inception Score, precision, recall, F1 and NLL."
kim2026mac1,1,0,1,0,0,2,"**RMSD-to-reference + binary predicate. This paper's primary metric is LIGAND POSE, not protein conformational state**, and that must not be blurred."
kohlhoff2014gpcr,0,1,0,0,0,1,"**continuous coordinate**, four structural criteria applied simultaneously. Trajectories are projected ""along the four described structural criteria"" per ligand condition (Results, Fig 1b–d). No binary predicate and no threshold is imposed."
krishna2024rfaa,0,0,1,1,0,2,**DUAL — RMSD-to-reference + visual only.**
ku2026promise,1,0,1,0,0,2,"**binary predicate + RMSD-to-reference (continuous).** Both are used, and the whole benchmark is built on **global similarity to a reference structure**; no local/site-level or feature-based predicate exists anywhere in it."
lam2026metadiffusion,0,1,1,1,0,3,"**Triple, and the third value is the rigour defect: `continuous coordinate` + `RMSD-to-reference` + `visual only`.** These co-exist in the same paper on different systems and forcing one would lose the interesting half."
lazou2026cryptic,1,0,1,0,0,2,"`binary predicate + RMSD-to-reference` (dual). **Operational definition, verbatim (p9):** ""To classify each structure as open, closed, or 'other', we first computed the RMSD between the open and closed reference structures and used half of this value as the cutoff."
lee2025seqassoc,1,1,1,0,0,3,"**Triple, and all three are used in different arms. Do not collapse.** - **Continuous coordinate + RMSD-to-reference**: TM-score of the fold-switching region against each of two deposited structures (p2, p9); RMSD quoted in places (1.4 Å for FraC, p3; 3.1 Å α/β-plait and 1.6 Å 3-α-helix for Sa1, Fig"
lee2026confornets,1,0,1,0,0,2,**`RMSD-to-reference + binary predicate` — genuinely dual.**
lee2026foldswitch,0,1,0,1,0,2,"`continuous coordinate + visual only` — genuinely dual, and the dual reading is the point. **Continuous:** TM-score to a named reference structure, plotted 0–0.8 (Fig. 3C–F, p."
lewis2025bioemu,1,1,1,0,0,3,"**triple — RMSD-to-reference + binary predicate + continuous coordinate.** Forcing one loses two-thirds of the paper. (The schema licenses dual values; this paper needs three, and the discarded ones would each be the interesting half for a different query.)"
li2026embedding,1,1,1,0,0,3,"**binary predicate + continuous coordinate + RMSD-to-reference — three co-existing metrics, recorded together because no one of them carries the paper.**"
liu2026ensembletests,1,1,0,0,0,2,"**continuous coordinate + binary predicate** (dual, and the duality is the design). Four layers, then a gate (pp. 15–18)."
lu2026twostages,1,1,0,0,0,2,**DUAL — binary predicate + continuous coordinate.
masters2025physics,1,0,1,1,0,3,"**Triple, and deliberately not a conformational-state metric — it is ligand pose correctness under perturbation.** Joined: **binary predicate + RMSD-to-reference + visual only.** 1."
matic2023gpcrome,0,0,0,0,1,0,"**NOT REPORTED.** No geometric criterion for receptor activation is defined, applied, or mentioned anywhere in the paper."
mattsson2026leakage,0,0,0,0,1,0,"**NOT APPLICABLE** — no conformational state is called. The paper's metrics are continuous: Pearson r and MAE (Figs 3, 4, 7, 8)."
miglionico2026atlas,1,0,0,1,0,2,"**binary predicate + visual only** (dual). Binary: DockQ > 0.23 for ""at least acceptable quality"", threshold imported from ref 30, stated on p4; a second binary at coupling score > 4 (p23) and, on one arm, > 1 (p8)."
migliorini2026pairsae,0,0,0,0,1,0,"**NOT APPLICABLE — no conformational state is ever called, by any means.** For the record, the *concept* metric (the thing this paper measures instead) is a **binary predicate**: p9, eq. (9), ""ŷj = 1{hi > τij}"", with τ grid-searched ""at increments of 0.1 across the unit interval"" after each feature "
