citekey,fig_no,page,gist,plot_type,data_shape,form,slot_facet,slot_vary,slot_series,slot_measure,slot_mark,slot_n,slot_rows,slot_cols,slot_value,slot_views,slot_overlay,panels,hides,reuse
abramson2024af3,1A-B,2,"Two showcase AF3 predictions: a CRP/FNR-family regulator on DNA with cGMP, and a 4,665-residue glycosylated OC43 spike with neutralizing antibodies",structure render,"`RENDER \| facet: showcase complex (2: 7PZB, 7PNM) \| views: 1 \| overlay: NOT REPORTED predictions on 1 reference \| axis: none`",RENDER,,,,,,,,,,,,"2 panels; vary by system, not by condition","Sample count behind each render not given; accuracy quoted in the caption (LDDT/GDT) has no distribution behind it — these are 2 hand-picked systems standing in front of a 8,856-complex evaluation set","CC BY 4.0, **no ND clause** — redrawing and adaptation permitted with attribution (licence text p8)"
abramson2024af3,1C,2,"Headline accuracy bar chart: AF3 vs specialist baselines across ligands, nucleic acids, covalent modifications and proteins",bar,"`PLOT \| facet: category (4: ligands, nucleic acids, covalent modifications, proteins) \| vary: dataset × method (13 bars) \| series: method (6: AF3, RoseTTAFold2NA, AIchemy_RNA2, AF-M 2.3, AutoDock Vina, RoseTTAFold All-Atom) \| measure: success % / interface LDDT / LDDT (compound — see panels) \| mark: bar with 95% CI \| n: printed under every bar (428, 428, 427, 25, 38, 8, 66, 40, 91, 23, 28, 1064, 65, 338); per-mark n = that many targets/structures/clusters`",PLOT,,,,,,,,,,,,4 sub-panels sharing one 0–100 axis,"**Four different measures share one ""Success (%)"" axis** — % r.m.s.d. < 2 Å, interface LDDT, LDDT and % DockQ > 0.23 are plotted at the same scale, so bar heights are not comparable across sub-panels even though the eye reads them that way. The single ""AF3 2019 cut-off"" ligand bar silently comes from a **different trained model** than every other AF3 bar. The privileged pocket-specified AF3 arm (90.2%) is not shown here, only in ED Fig. 4a",as above (CC BY 4.0)
abramson2024af3,1D,2,AF3 inference architecture: template/genetic/conformer search → input embedder → pairformer → diffusion module → confidence module,schematic,`SCHEMATIC \| inference data flow with module block counts and recycling/diffusion loops \| no data`,SCHEMATIC,,,,,,,,,,,,1 panel,—,as above
abramson2024af3,2A-C,3,"Pairformer block, diffusion module, and the training set-up with mini-rollout and gradient stops",schematic,"`SCHEMATIC \| module internals (triangle updates, attention stacks, per-atom/per-token conditioning) and the training/inference loop with permutation of ground truth \| no data`",SCHEMATIC,,,,,,,,,,,,"3 lettered panels (a, b, c)",—,as above
abramson2024af3,2D,3,"Training curves: LDDT on the evaluation set vs optimizer steps, across initial training and two fine-tuning stages, for eight intra- and inter-chain metric types",line + scatter,"`PLOT \| facet: none (1) \| vary: optimizer steps, 0–140,000 (continuous) \| series: metric type (8: intraligand, intraprotein, intra-DNA, intra-RNA, protein–ligand, protein–protein, protein–DNA, protein–RNA) \| measure: LDDT \| mark: point (raw) + line (median-filtered, kernel width 9) \| n: NOT REPORTED per curve`",PLOT,,,,,,,,,,,,1 panel with two stage boundaries and 97%-crossing crosses,"**The y-axis starts at 30, not 0**, which magnifies the fine-tuning gains; the curve is on **the evaluation set that also supplies the reported accuracies** (see `oracle_leakage` route 4) and the figure does not say so; no n behind any curve",as above
abramson2024af3,3A-F,4,"Six showcase predictions overlaid on ground truth: 40S ribosome + tRNA + initiation factors, EXTL3 homodimer, mesothelin peptide–antibody, PORCN + LGK974 + WNT3A, AziU3/U2 novel fold, PI5P4Kγ allosteric-site inhibitor",structure render,"`RENDER \| facet: showcase complex (6: 7TQL, 7AU2, 7U8C, 7URD, 7WUX, 7QIE) \| views: 1 \| overlay: NOT REPORTED predictions on 1 reference (grey) \| axis: none`",RENDER,,,,,,,,,,,,6 lettered panels; vary by system,Examples were selected with training-set similarity in hand (p4) and the selection rule lives in the unheld Supp. Methods 8.1; no failure examples appear here (they are quarantined to Fig. 5),as above
abramson2024af3,4A,6,"Interface accuracy vs chain-pair ipTM, for protein–protein (DockQ) and nucleic acid–protein (iLDDT)",box,"`PLOT \| facet: interface type (2: protein–protein, nucleic acid–protein) \| vary: chain pair ipTM band (5: 0–0.4, 0.4–0.6, 0.6–0.8, 0.8–0.95, 0.95+) \| series: none (1) \| measure: DockQ / iLDDT \| mark: box (25–75% box, median line, 5–95% whiskers) \| n: clusters per box printed (834/692/1,574/1,804/229 and 277/320/449/344/108)`",PLOT,,,,,,,,,,,,2 box panels in the top row of a,"Boxes show 5–95% whiskers, so the worst 5% of each band — the cases a confidence-based decision would actually get wrong — are cut off; **no homology filtering** on this set (p5) and the caption does not say so",as above
abramson2024af3,4B,6,"Ligand pose accuracy vs chain-pair ipTM, as a stacked composition of r.m.s.d. bands",bar (stacked),"`PLOT \| facet: none (1) \| vary: chain pair ipTM band (5) \| series: pocket r.m.s.d. threshold band (5: 0–0.5, 0.5–1.0, 1.0–2.0, 2.0–5.0, 5.0+ Å) \| measure: % of clusters below threshold \| mark: bar (stacked to 100%) \| n: 7 / 29 / 92 / 299 / 481 clusters per bar`",PLOT,,,,,,,,,,,,"1 panel, top-right of a","**The lowest-confidence bar rests on n = 7 clusters** and is drawn at the same visual weight as the n = 481 bar, with no CI; the stacked-to-100% form makes every bar the same height regardless of n",as above
abramson2024af3,4C,6,"Per-entity accuracy vs chain-averaged pLDDT for protein, nucleic acid and ligand entities",box,"`PLOT \| facet: entity type (3: protein, nucleic acid, ligand) \| vary: chain pLDDT band (4: 0–50, 50–70, 70–90, 90+) \| series: none (1) \| measure: LDDT to polymer \| mark: box (25–75%, median, 5–95%) \| n: clusters per box printed (107/469/2,283/1,552; 227/225/189/229; 57/136/396/934)`",PLOT,,,,,,,,,,,,3 box panels in the bottom row of a,"The measure is **LDDT_to_polymer, chosen because it is ""closely related to how the confidence prediction is trained""** (p9) — a self-consistent pairing the panel does not flag; no homology filtering",as above
abramson2024af3,4D,6,"PDB 7T82 rendered twice, coloured by per-atom pLDDT and by chain",structure render,"`RENDER \| facet: colouring (2: pLDDT bands, chain identity) \| views: 1 \| overlay: 1 prediction on 0 references \| axis: none`",RENDER,,,,,,,,,,,,"2 panels (b, c)","No ground-truth overlay, so the reader cannot check the pLDDT colouring against actual error on this example",as above
