slug,gene,uniprot,receptor_organism,verdict,family_primary,family_compatible_with_all,recommended_family,recommended_basis,family_secondary_annotated,subtype_reported,authority_assaylabs,authority_gproteindb_merged,authority_gtopdb_via_gproteindb,authority_iuphar_direct_primary,authority_iuphar_direct_all,authority_iuphar_text,authority_structure,structure_evidence,structure_construct_notes,active_ref_has_galpha,n_authorities,blockb_prior,blockb_prior_family,blockb_prior_check,blockb_prior_vs_structure,reason
5HT1B,HTR1B,P28222,Homo sapiens (Human),cognate_ambiguous,Gi/o,Gi/o,Gi/o,the only family compatible with all 5 authorities,Gq/11,GoB(1);GoA(1),Bouvier=Gi/o;Martemyanov=Gi/o,Gi/o,Gi/o,Gi/o,Gi/o,G i /G o family,Gi/o,6G79:Go,6G79 mini-G (225 aa; full subunit is 350-395),yes,5,Gi,Gi/o,prior consistent,prior matches the deposited partner,"primary agreed (Gi/o) but Gq/11 is annotated as a further transducer; 'the cognate Ga' is a choice, not a fact"
5HT2A,HTR2A,P28223,Homo sapiens (Human),cognate_ambiguous,Gq/11,Gq/11,Gq/11,the only family compatible with all 6 authorities,Gi/o,Gq(2);G14(1),Bouvier=Gq/11;Lambert=Gq/11;Martemyanov=Gq/11,Gq/11,Gq/11,Gq/11,Gq/11;Gi/o,G q /G 11 family || G i /G o family,Gq/11,8UWL:G11/G14/Gq,"8UWL mini-G (246 aa; full subunit is 350-395); COUPLING CHIMERA (two-window): scaffold from one family, alpha5 tip from G11/G14/Gq",yes,6,,,,,"primary agreed (Gq/11) but Gi/o is annotated as a further transducer; 'the cognate Ga' is a choice, not a fact"
5HT2C,HTR2C,P28335,Homo sapiens (Human),cognate_conflicted,Gi/o;Gq/11,,Gq/11,"taken from the deposited active reference, following chiesa2025templatebias p.6302 -- the one precedent in the corpus for picking a single Ga",G12/13,Gz(1);Gq(1),Bouvier=Gi/o;Martemyanov=Gq/11,Gq/11,Gq/11,Gq/11,Gq/11;Gi/o,G q /G 11 family || G i /G o family,Gq/11,8DPF:G11/G14/Gq,"8DPF mini-G (246 aa; full subunit is 350-395); COUPLING CHIMERA (two-window): scaffold from one family, alpha5 tip from G11/G14/Gq",yes,5,Gq,Gq/11,prior consistent,prior matches the deposited partner,authorities that cannot both be right: GtoPdb(via GproteinDb)=Gq/11 vs assay:Bouvier=Gi/o; IUPHAR(direct)=Gq/11 vs assay:Bouvier=Gi/o; active reference structure=Gq/11 vs assay:Bouvier=Gi/o; assay:Bouvier=Gi/o vs assay:Martemyanov=Gq/11
5HT5A,HTR5A,P47898,Homo sapiens (Human),cognate_ambiguous,Gi/o,Gi/o,Gi/o,the only family compatible with all 4 authorities,Gq/11,GoA(1),Martemyanov=Gi/o,Gi/o,Gi/o,Gi/o,Gi/o;Gq/11,G i /G o family || G q /G 11 family,Gi/o,7UM5:Go; 7X5H:Gi1/Gi2,7UM5 mini-G (225 aa; full subunit is 350-395),yes,4,Gi,Gi/o,prior consistent,prior matches the deposited partner,"primary agreed (Gi/o) but Gq/11 is annotated as a further transducer; 'the cognate Ga' is a choice, not a fact"
AA1R,ADORA1,P30542,Homo sapiens (Human),cognate_conflicted,Gi/o;Gq/11,,Gi/o,"taken from the deposited active reference, following chiesa2025templatebias p.6302 -- the one precedent in the corpus for picking a single Ga",G12/13;Gs,Gi1(2);G15(1);GoA(1),Bouvier=Gq/11;Lambert=Gi/o;Martemyanov=Gi/o,Gi/o,Gi/o,Gi/o,Gi/o;Gs;Gq/11,"G i /G o family || G s family, G q /G 11 family",Gi/o,7LD3:Gi1/Gi2,,yes,6,Gi,Gi/o,prior consistent,prior matches the deposited partner,authorities that cannot both be right: GtoPdb(via GproteinDb)=Gi/o vs assay:Bouvier=Gq/11; IUPHAR(direct)=Gi/o vs assay:Bouvier=Gq/11; active reference structure=Gi/o vs assay:Bouvier=Gq/11; assay:Bouvier=Gq/11 vs assay:Lambert=Gi/o; assay:Bouvier=Gq/11 vs assay:Martemyanov=Gi/o
AA2AR,ADORA2A,P29274,Homo sapiens (Human),cognate_ambiguous,Gs,Gs,Gs,the only family compatible with all 5 authorities,G12/13;Gi/o;Gq/11,GsL(2),Bouvier=Gs;Martemyanov=Gs,Gs,Gs,Gs,Gs;Gq/11,G s family || G q /G 11 family,Gs,5G53:Gs; 6GDG:Gs,5G53 mini-G (229 aa; full subunit is 350-395); 6GDG mini-G (248 aa; full subunit is 350-395); fused chain,yes,5,Gs,Gs,prior consistent,prior matches the deposited partner,"primary agreed (Gs) but G12/13;Gi/o;Gq/11 is annotated as a further transducer; 'the cognate Ga' is a choice, not a fact"
ACM1,CHRM1,P11229,Homo sapiens (Human),cognate_ambiguous,Gq/11,Gq/11,Gq/11,the only family compatible with all 5 authorities,Gi/o;Gs,G11(1);Gq(1),Bouvier=Gq/11;Martemyanov=Gq/11,Gq/11,Gq/11,Gq/11,Gq/11,G q /G 11 family,Gq/11,6OIJ:G11/Gq,6OIJ fused chain,yes,5,Gq,Gq/11,prior consistent,prior matches the deposited partner,"primary agreed (Gq/11) but Gi/o;Gs is annotated as a further transducer; 'the cognate Ga' is a choice, not a fact"
ACM2,CHRM2,P08172,Homo sapiens (Human),cognate_ambiguous,Gi/o,Gi/o,Gi/o,the only family compatible with all 5 authorities,Gq/11;Gs,GoB(1);GoA(1),Bouvier=Gi/o;Martemyanov=Gi/o,Gi/o,Gi/o,Gi/o,Gi/o;Gs;Gq/11,"G i /G o family || G s family, G q /G 11 family",Gi/o,7T94:Go,,yes,5,Gi,Gi/o,prior consistent,prior matches the deposited partner,"primary agreed (Gi/o) but Gq/11;Gs is annotated as a further transducer; 'the cognate Ga' is a choice, not a fact"
ACM4,CHRM4,P08173,Homo sapiens (Human),cognate_ambiguous,Gi/o,Gi/o,Gi/o,the only family compatible with all 6 authorities,G12/13;Gq/11;Gs,Gi1(2);GoB(1);GoA(1),Bouvier=Gi/o;Lambert=Gi/o;Martemyanov=Gi/o,Gi/o,Gi/o,Gi/o,Gi/o,G i /G o family,Gi/o,7TRP:Gi1/Gi2,,yes,6,Gi,Gi/o,prior consistent,prior matches the deposited partner,"primary agreed (Gi/o) but G12/13;Gq/11;Gs is annotated as a further transducer; 'the cognate Ga' is a choice, not a fact"
ADA1A,ADRA1A,P35348,Homo sapiens (Human),cognate_ambiguous,Gq/11,Gq/11,Gq/11,the only family compatible with all 5 authorities,G12/13;Gi/o;Gs,G15(1);Gq(1),Bouvier=Gq/11;Martemyanov=Gq/11,Gq/11,Gq/11,Gq/11,Gq/11;G12/13,G q /G 11 family || G 12 /G 13 family,Gq/11,8THK:G11/G14/Gq; 7YM8:G11/G14/Gq,"8THK mini-G (246 aa; full subunit is 350-395); COUPLING CHIMERA (two-window): scaffold from one family, alpha5 tip from G11/G14/Gq; fused chain; 7YM8 mini-G (246 aa; full subunit is 350-395); COUPLING CHIMERA (two-window): scaffold from one family, alpha5 tip from G11/G14/Gq",yes,5,,,,,"primary agreed (Gq/11) but G12/13;Gi/o;Gs is annotated as a further transducer; 'the cognate Ga' is a choice, not a fact"
