receptor,backbone,axis,x,y,gpcr_class,cluster_id,n_rows_used,included_baseline,included_class_a_only,included_no_holds
5HT1B,boltz,tilt,3.7945300000000017,4.403316458166676,A,5HT,50,True,True,True
5HT1B,boltz,npxxy,-8.568625,-8.214279797956713,A,5HT,50,True,True,True
5HT2C,boltz,tilt,5.032884000000001,2.955121596970864,A,5HT,50,True,True,False
5HT2C,boltz,npxxy,-1.273892,-0.1938363905873394,A,5HT,50,True,True,False
5HT5A,boltz,tilt,6.1184840000000005,5.50206151685822,A,5HT,50,True,True,True
5HT5A,boltz,npxxy,-14.608591999999998,-14.802173924338458,A,5HT,50,True,True,True
AA1R,boltz,tilt,5.179174,5.864583811493954,A,SINGLETON_AA1R,50,True,True,True
AA1R,boltz,npxxy,-5.755420999999999,-4.957333029463885,A,SINGLETON_AA1R,50,True,True,True
AA2AR,boltz,tilt,6.1267672859230515,6.304369999284267,A,ADA_adenosine,50,True,True,True
AA2AR,boltz,npxxy,-5.960439922689195,-5.509654396309452,A,ADA_adenosine,50,True,True,True
ACM1,boltz,tilt,,5.287424606700311,A,ACM,50,False,False,False
ACM1,boltz,npxxy,,-12.706465381037384,A,ACM,50,False,False,False
ACM2,boltz,tilt,5.670973,1.2324205015731629,A,SINGLETON_ACM2,50,True,True,True
ACM2,boltz,npxxy,-13.623505000000002,-0.0774686345984885,A,SINGLETON_ACM2,50,True,True,True
ACM4,boltz,tilt,5.897988,5.362960646509119,A,ACM,50,True,True,True
ACM4,boltz,npxxy,-12.779903999999998,-12.175144603060527,A,ACM,50,True,True,True
ADA2A,boltz,tilt,,7.075017145804498,A,ADA_a2a,50,False,False,False
ADA2A,boltz,npxxy,,-6.3446116127385,A,ADA_a2a,50,False,False,False
ADRB1,boltz,tilt,,6.168570141409045,A,ADR,50,False,False,False
ADRB1,boltz,npxxy,,-7.537561034561533,A,ADR,50,False,False,False
ADRB2,boltz,tilt,5.634227103599299,6.4749122555905,A,ADR,50,True,True,True
ADRB2,boltz,npxxy,-6.5812425650102995,-7.576364476924074,A,ADR,50,True,True,True
AGTR1,boltz,tilt,7.857559,-0.1269306992376222,A,SINGLETON_AGTR1,50,True,True,True
AGTR1,boltz,npxxy,-7.732562,0.5865841965498948,A,SINGLETON_AGTR1,50,True,True,True
APJ,boltz,tilt,2.292432999999999,4.880688889297383,A,SINGLETON_APJ,50,True,True,True
APJ,boltz,npxxy,-20.58016,-0.244712049093863,A,SINGLETON_APJ,50,True,True,True
B1B1U5,boltz,tilt,6.725196,6.132689281239811,A,SINGLETON_B1B1U5,45,True,True,False
B1B1U5,boltz,npxxy,1.3547069999999994,-4.760495555315986,A,SINGLETON_B1B1U5,45,True,True,False
CCKAR,boltz,tilt,,5.036307399878147,A,SINGLETON_CCKAR,50,False,False,False
CCKAR,boltz,npxxy,,-6.298798024506468,A,SINGLETON_CCKAR,50,False,False,False
CCR5,boltz,tilt,6.79565830202705,1.0731350422967054,A,SINGLETON_CCR5,50,True,True,True
CCR5,boltz,npxxy,-7.020236830706299,-5.179830764573778,A,SINGLETON_CCR5,50,True,True,True
CNR1,boltz,tilt,5.543704230842698,2.380686102974307,A,CNR,50,True,True,False
CNR1,boltz,npxxy,-5.950717835566201,-1.1795158631263991,A,CNR,50,True,True,False
CNR2,boltz,tilt,4.888456,2.4720629617662357,A,CNR,50,True,True,True
CNR2,boltz,npxxy,-6.8025649999999995,-6.17051048476049,A,CNR,50,True,True,True
CRHR1,boltz,tilt,7.766566000000001,10.142946570022565,B,CLASS_B,45,True,False,False
CRHR1,boltz,npxxy,,,B,CLASS_B,45,False,False,False
CXCR2,boltz,tilt,5.325510000000001,5.485032755832066,A,CXCR,50,True,True,True
CXCR2,boltz,npxxy,-4.009462,-5.87891922212797,A,CXCR,50,True,True,True
CXCR4,boltz,tilt,4.676210000000001,5.167906867347439,A,CXCR,50,True,True,True
CXCR4,boltz,npxxy,-9.579457,-1.924328288554154,A,CXCR,50,True,True,True
DRD2,boltz,tilt,6.140034,5.136663631725051,A,DRD,50,True,True,True
DRD2,boltz,npxxy,-5.778296,-5.141029692026825,A,DRD,50,True,True,True
DRD3,boltz,tilt,,5.545207340299305,A,DRD,50,False,False,False
DRD3,boltz,npxxy,,-5.725663143805107,A,DRD,50,False,False,False
EDNRA,boltz,tilt,,4.498534365660184,A,EDN,50,False,False,False
EDNRA,boltz,npxxy,,,A,EDN,50,False,False,False
EDNRB,boltz,tilt,2.7241669999999996,3.306409579759608,A,EDN,50,True,True,True
EDNRB,boltz,npxxy,,,A,EDN,50,False,False,False
FSHR,boltz,tilt,5.272624999999998,0.2142158445691961,A,GLYCOPROTEIN,50,True,True,True
FSHR,boltz,npxxy,,0.2936955738884377,A,GLYCOPROTEIN,50,False,False,False
FZD4,boltz,tilt,2.894582500000002,,F,FZD,25,False,False,False
FZD4,boltz,npxxy,,,F,FZD,25,False,False,False
FZD6,boltz,tilt,1.0336879999999995,-0.3756780922562335,F,FZD,50,True,False,False
FZD6,boltz,npxxy,,,F,FZD,50,False,False,False
FZD7,boltz,tilt,2.472462,1.6574374840485309,F,FZD,50,True,False,False
FZD7,boltz,npxxy,,,F,FZD,50,False,False,False
GCGR,boltz,tilt,12.860397999999998,9.73315986800404,B,CLASS_B,50,True,False,False
GCGR,boltz,npxxy,,,B,CLASS_B,50,False,False,False
GHSR,boltz,tilt,5.291046999999999,4.731866252844361,A,SINGLETON_GHSR,50,True,True,True
GHSR,boltz,npxxy,-5.222514,-4.889718828119884,A,SINGLETON_GHSR,50,True,True,True
GLP1R,boltz,tilt,10.231247000000002,10.293804407311388,B,CLASS_B,50,True,False,False
GLP1R,boltz,npxxy,,,B,CLASS_B,50,False,False,False
GRPR,boltz,tilt,5.386479,5.393236028909964,A,SINGLETON_GRPR,50,True,True,True
GRPR,boltz,npxxy,,,A,SINGLETON_GRPR,50,False,False,False
HRH1,boltz,tilt,5.087273,5.018391822113218,A,HRH,50,True,True,True
HRH1,boltz,npxxy,-10.714563000000002,-11.218236186991902,A,HRH,50,True,True,True
HRH3,boltz,tilt,,3.3472347463502725,A,HRH,50,False,False,False
