receptor_slug	seed_index	seed	salt
5HT1B	1	3027216127	20260914
5HT1B	2	1644027462	20260914
5HT1B	3	1251052187	20260914
5HT1B	4	1722056517	20260914
5HT1B	5	2350936102	20260914
5HT2A	1	987055694	20260914
5HT2A	2	1614413241	20260914
5HT2A	3	2759404145	20260914
5HT2A	4	3652574794	20260914
5HT2A	5	3859132916	20260914
5HT2C	1	3393480696	20260914
5HT2C	2	2326682751	20260914
5HT2C	3	126106535	20260914
5HT2C	4	1887380751	20260914
5HT2C	5	2752620205	20260914
5HT5A	1	363189928	20260914
5HT5A	2	1736276461	20260914
5HT5A	3	2487069765	20260914
5HT5A	4	2718924843	20260914
5HT5A	5	2579891799	20260914
AA1R	1	4161070917	20260914
AA1R	2	547369599	20260914
AA1R	3	1549440038	20260914
AA1R	4	3228152046	20260914
AA1R	5	2977562933	20260914
AA2AR	1	2272467874	20260914
AA2AR	2	338404513	20260914
AA2AR	3	3041309780	20260914
AA2AR	4	1155975482	20260914
AA2AR	5	2686920196	20260914
ACM1	1	1315505365	20260914
ACM1	2	708482346	20260914
ACM1	3	2588555400	20260914
ACM1	4	122582583	20260914
ACM1	5	2956921329	20260914
ACM2	1	394214267	20260914
ACM2	2	2665938926	20260914
ACM2	3	1200309988	20260914
ACM2	4	117672858	20260914
ACM2	5	512001753	20260914
ACM4	1	3834650763	20260914
ACM4	2	55247704	20260914
ACM4	3	4199511896	20260914
ACM4	4	78603058	20260914
ACM4	5	2251991189	20260914
ADA1A	1	3654047921	20260914
ADA1A	2	4285782475	20260914
ADA1A	3	1598082190	20260914
ADA1A	4	3668545811	20260914
ADA1A	5	767316629	20260914
ADA2A	1	2717127170	20260914
ADA2A	2	200991062	20260914
ADA2A	3	2498482469	20260914
ADA2A	4	305069502	20260914
ADA2A	5	460062728	20260914
ADRB1	1	4203723151	20260914
ADRB1	2	2695047336	20260914
ADRB1	3	1498416673	20260914
ADRB1	4	1989940080	20260914
ADRB1	5	2874021944	20260914
ADRB2	1	2247494611	20260914
ADRB2	2	320737187	20260914
ADRB2	3	3110680412	20260914
ADRB2	4	69201652	20260914
ADRB2	5	3956760477	20260914
AGTR1	1	442768208	20260914
AGTR1	2	2690274092	20260914
AGTR1	3	3505146993	20260914
AGTR1	4	1716982777	20260914
AGTR1	5	1833373919	20260914
APJ	1	399653703	20260914
APJ	2	3044008716	20260914
APJ	3	450638807	20260914
APJ	4	2687664240	20260914
APJ	5	4152723443	20260914
B1B1U5	1	1984433612	20260914
B1B1U5	2	3311756622	20260914
B1B1U5	3	4147398726	20260914
B1B1U5	4	2979854770	20260914
B1B1U5	5	4257997482	20260914
C5AR1	1	2265296170	20260914
C5AR1	2	2735446928	20260914
C5AR1	3	2388202870	20260914
C5AR1	4	1965159126	20260914
C5AR1	5	2598728370	20260914
CCKAR	1	1369696858	20260914
CCKAR	2	1666468675	20260914
CCKAR	3	2991027334	20260914
CCKAR	4	656916831	20260914
CCKAR	5	3317812218	20260914
CCR2	1	2255106587	20260914
CCR2	2	2264198631	20260914
CCR2	3	2455562709	20260914
CCR2	4	224665252	20260914
CCR2	5	4190943525	20260914
CCR5	1	4224184895	20260914
CCR5	2	2759984456	20260914
CCR5	3	409292934	20260914
CCR5	4	3275279	20260914
CCR5	5	1289708523	20260914
CCR6	1	851814567	20260914
CCR6	2	3898271009	20260914
CCR6	3	1218049908	20260914
CCR6	4	119530496	20260914
CCR6	5	384465766	20260914
CCR8	1	697899918	20260914
CCR8	2	1134612186	20260914
CCR8	3	1434924492	20260914
CCR8	4	2435871226	20260914
CCR8	5	699800343	20260914
CNR1	1	507800552	20260914
CNR1	2	1783089226	20260914
CNR1	3	1005538977	20260914
CNR1	4	2179507491	20260914
