rung,family,accession,len,resid_range,unpaired_depth,note
R1_ct11,Gs,P63092,11,384-394,0,ok
R2_ct15,Gs,P63092,15,380-394,459,ok
R3_ct21,Gs,P63092,21,374-394,581,ok
R4_a5helix,Gs,P63092,26,369-394,604,ok
R5_a5plus,Gs,P63092,36,359-394,2651,ok
R7_full,Gs,P63092,394,1-394,7248,ok
R6a_da5,Gs,P63092,368,1-368,7396,ok
R1_ct11,Golf,P38405,11,371-381,0,ok
R2_ct15,Golf,P38405,15,367-381,2,ok
R3_ct21,Golf,P38405,21,361-381,582,ok
R4_a5helix,Golf,P38405,26,356-381,606,ok
R5_a5plus,Golf,P38405,36,346-381,2684,ok
R7_full,Golf,P38405,381,1-381,6743,ok
R6a_da5,Golf,P38405,355,1-355,6865,ok
R1_ct11,Gi1,P63096,11,344-354,0,ok
R2_ct15,Gi1,P63096,15,340-354,33,ok
R3_ct21,Gi1,P63096,21,334-354,468,ok
R4_a5helix,Gi1,P63096,26,329-354,927,ok
R5_a5plus,Gi1,P63096,36,319-354,2998,ok
R7_full,Gi1,P63096,354,1-354,9203,ok
R6a_da5,Gi1,P63096,328,1-328,9176,ok
R1_ct11,Gi2,P04899,11,345-355,0,ok
R2_ct15,Gi2,P04899,15,341-355,33,ok
R3_ct21,Gi2,P04899,21,335-355,468,ok
R4_a5helix,Gi2,P04899,26,330-355,927,ok
R5_a5plus,Gi2,P04899,36,320-355,2998,ok
R7_full,Gi2,P04899,355,1-355,-1,exc:TimeoutError:ticket QBk648Ma7QAoxoFvQPiHFlAuiQInywFLvijGQA timed out
R6a_da5,Gi2,P04899,329,1-329,8963,ok
R1_ct11,Gi3,P08754,11,344-354,0,ok
R2_ct15,Gi3,P08754,15,340-354,25,ok
R3_ct21,Gi3,P08754,21,334-354,357,ok
R4_a5helix,Gi3,P08754,26,329-354,964,ok
R5_a5plus,Gi3,P08754,36,319-354,3043,ok
R7_full,Gi3,P08754,354,1-354,8951,ok
R6a_da5,Gi3,P08754,328,1-328,9056,ok
R1_ct11,Go,P09471,11,344-354,0,ok
R2_ct15,Go,P09471,15,340-354,42,ok
R3_ct21,Go,P09471,21,334-354,338,ok
R4_a5helix,Go,P09471,26,329-354,909,ok
R5_a5plus,Go,P09471,36,319-354,2818,ok
R7_full,Go,P09471,354,1-354,9156,ok
R6a_da5,Go,P09471,328,1-328,9136,ok
R1_ct11,Gz,P19086,11,345-355,0,ok
R2_ct15,Gz,P19086,15,341-355,6,ok
R3_ct21,Gz,P19086,21,335-355,354,ok
R4_a5helix,Gz,P19086,26,330-355,883,ok
R5_a5plus,Gz,P19086,36,320-355,2958,ok
R7_full,Gz,P19086,355,1-355,-1,exc:TimeoutError:ticket Uhrl3acKbP2prK7ZcsgCahOqvvTnw4lAYn0q-w timed out
R6a_da5,Gz,P19086,329,1-329,-1,exc:TimeoutError:ticket cThE-FoXlP7zvINHMjiJ0a6MIlnKj46IkGaT6A timed out
R1_ct11,Gt1,P11488,11,340-350,0,ok
R2_ct15,Gt1,P11488,15,336-350,21,ok
R3_ct21,Gt1,P11488,21,330-350,363,ok
R4_a5helix,Gt1,P11488,26,325-350,1466,ok
R5_a5plus,Gt1,P11488,36,315-350,2968,ok
R7_full,Gt1,P11488,350,1-350,8896,ok
R6a_da5,Gt1,P11488,324,1-324,8484,ok
R1_ct11,Gt2,P19087,11,344-354,0,ok
R2_ct15,Gt2,P19087,15,340-354,21,ok
R3_ct21,Gt2,P19087,21,334-354,363,ok
R4_a5helix,Gt2,P19087,26,329-354,1466,ok
R5_a5plus,Gt2,P19087,36,319-354,2968,ok
R7_full,Gt2,P19087,354,1-354,8426,ok
R6a_da5,Gt2,P19087,328,1-328,8559,ok
R1_ct11,Ggust,A8MTJ3,11,344-354,0,ok
R2_ct15,Ggust,A8MTJ3,15,340-354,21,ok
R3_ct21,Ggust,A8MTJ3,21,334-354,363,ok
R4_a5helix,Ggust,A8MTJ3,26,329-354,1466,ok
R5_a5plus,Ggust,A8MTJ3,36,319-354,2968,ok
R7_full,Ggust,A8MTJ3,354,1-354,8920,ok
R6a_da5,Ggust,A8MTJ3,328,1-328,8355,ok
R1_ct11,Gq,P50148,11,349-359,0,ok
R2_ct15,Gq,P50148,15,345-359,0,ok
R3_ct21,Gq,P50148,21,339-359,266,ok
R4_a5helix,Gq,P50148,26,334-359,1995,ok
R5_a5plus,Gq,P50148,36,324-359,2718,ok
R7_full,Gq,P50148,359,1-359,8720,ok
R6a_da5,Gq,P50148,333,1-333,8474,ok
R1_ct11,G11,P29992,11,349-359,0,ok
R2_ct15,G11,P29992,15,345-359,0,ok
R3_ct21,G11,P29992,21,339-359,266,ok
R4_a5helix,G11,P29992,26,334-359,1995,ok
R5_a5plus,G11,P29992,36,324-359,2718,ok
R7_full,G11,P29992,359,1-359,8817,ok
R6a_da5,G11,P29992,333,1-333,8376,ok
R1_ct11,G14,O95837,11,345-355,0,ok
R2_ct15,G14,O95837,15,341-355,0,ok
R3_ct21,G14,O95837,21,335-355,267,ok
R4_a5helix,G14,O95837,26,330-355,1476,ok
R5_a5plus,G14,O95837,36,320-355,2621,ok
R7_full,G14,O95837,355,1-355,8755,ok
R6a_da5,G14,O95837,329,1-329,8536,ok
R1_ct11,G15,P30679,11,364-374,0,ok
R2_ct15,G15,P30679,15,360-374,0,ok
R3_ct21,G15,P30679,21,354-374,47,ok
R4_a5helix,G15,P30679,26,349-374,186,ok
R5_a5plus,G15,P30679,36,339-374,2273,ok
R7_full,G15,P30679,374,1-374,6803,ok
