receptor,role,pdb_id,method,resolution,stabilising_elements,construct,alpha5_donor_class,active_stabilization_source,activation_class,deviation_class,pending_annotation_correction,correction_note,missing_inactive_flag,notes,ref_source
5HT1B,active,6G79,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,mini-Ga,wt,,mini_G,Ga-complexed-chimera-or-miniG,expected_biology,False,,False,,pinned
5HT1B,inactive,4IAR,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,BRIL,wt,,,inactive-antagonist,no_deviation,False,,False,,pinned
5HT2C,active,8DPF,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,Gq,chimera,Ga-complexed-chimera-or-miniG,expected_biology,False,,False,stabilising_elements=none but RCSB shows chimera (donor=Gq) | CHIMERA α5-CT donor=Gq; scaffold-vs-α5-CT class mismatch — coupling assignment must not rely on UniProt Gα accession of scaffold.,pinned
5HT2C,inactive,6BQH,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,BRIL,wt,,,inactive-inverse-agonist,no_deviation,False,,False,,pinned
5HT5A,active,7UM5,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,scFv,wt,,mini_G,Ga-complexed-chimera-or-miniG,expected_biology,False,,False,,pinned
5HT5A,inactive,7UM4,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,,inactive-antagonist,no_deviation,False,,False,,pinned
AA1R,active,7LD3,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,native,Ga-complexed-native,no_deviation,False,,False,,pinned
AA1R,inactive,5UEN,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,BRIL,wt,,,inactive-antagonist,no_deviation,False,,False,,pinned
AA2AR,active,5G53,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,mini-Ga,wt,,mini_G,Ga-complexed-chimera-or-miniG,expected_biology,False,,False,DRY NaN despite E/D at 6.30 in 5G53 (R3.50 CZ or side-chain carboxyl truncated).,pinned
AA2AR,inactive,5NM4,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,,inactive-antagonist,no_deviation,False,,False," | dispatch preload #3: ""missing inactive at scoring time"" — CHECK: blockb_pinned lists 1 inactive ref(s); primary present, so delta_to_inactive/rmsd_to_inactive NOT NaN on this axis.",pinned
