receptor,backbone,auroc,pocket_ca_sep,tilt_delta,npxxy_delta
5HT1B,boltz,0.9788,0.5323,3.7945,-2.6929
5HT1B,chai,0.7224,0.5323,3.7945,-2.6929
5HT1B,of3,0.8052,0.5323,3.7945,-2.6929
5HT1B,protenix,0.9828,0.5323,3.7945,-2.6929
5HT5A,boltz,1.0,0.8421,6.1185,-3.1786
5HT5A,chai,0.7128,0.8421,6.1185,-3.1786
5HT5A,of3,0.9316,0.8421,6.1185,-3.1786
5HT5A,protenix,0.7084,0.8421,6.1185,-3.1786
AA1R,boltz,1.0,1.2516,5.1792,-4.2186
AA1R,chai,1.0,1.2516,5.1792,-4.2186
AA1R,of3,1.0,1.2516,5.1792,-4.2186
AA1R,protenix,1.0,1.2516,5.1792,-4.2186
AA2AR,boltz,1.0,1.6195,6.1038,-5.108
AA2AR,chai,1.0,1.6195,6.1038,-5.108
AA2AR,of3,1.0,1.6195,6.1038,-5.108
AA2AR,protenix,1.0,1.6195,6.1038,-5.108
ACM2,boltz,0.6868,1.068,5.671,-2.2022
ACM2,chai,1.0,1.068,5.671,-2.2022
ACM2,of3,0.9968,1.068,5.671,-2.2022
ACM2,protenix,0.9936,1.068,5.671,-2.2022
AGTR1,boltz,0.0996,1.8722,7.8576,-4.779
AGTR1,chai,0.0,1.8722,7.8576,-4.779
AGTR1,of3,0.0,1.8722,7.8576,-4.779
AGTR1,protenix,0.0,1.8722,7.8576,-4.779
CXCR2,boltz,0.9,1.7341,5.3255,-4.9376
CXCR2,chai,0.928,1.7341,5.3255,-4.9376
CXCR2,of3,0.1352,1.7341,5.3255,-4.9376
CXCR2,protenix,0.9992,1.7341,5.3255,-4.9376
CXCR4,boltz,0.9932,1.4742,4.6762,-9.0565
CXCR4,chai,0.4572,1.4742,4.6762,-9.0565
CXCR4,of3,0.8036,1.4742,4.6762,-9.0565
CXCR4,protenix,1.0,1.4742,4.6762,-9.0565
EDNRB,boltz,0.9972,0.8199,2.7242,-0.7425
EDNRB,chai,1.0,0.8199,2.7242,-0.7425
EDNRB,of3,0.9756,0.8199,2.7242,-0.7425
EDNRB,protenix,1.0,0.8199,2.7242,-0.7425
GRPR,boltz,0.9836,1.3159,5.3865,-4.6465
GRPR,chai,1.0,1.3159,5.3865,-4.6465
GRPR,of3,0.9852,1.3159,5.3865,-4.6465
GRPR,protenix,1.0,1.3159,5.3865,-4.6465
LPAR1,boltz,1.0,1.3239,6.54,-4.5546
LPAR1,chai,1.0,1.3239,6.54,-4.5546
LPAR1,of3,0.8944,1.3239,6.54,-4.5546
LPAR1,protenix,1.0,1.3239,6.54,-4.5546
LT4R1,boltz,1.0,1.0795,5.9135,-5.1082
LT4R1,chai,0.692,1.0795,5.9135,-5.1082
LT4R1,of3,0.7756,1.0795,5.9135,-5.1082
LT4R1,protenix,1.0,1.0795,5.9135,-5.1082
MCHR1,boltz,0.946,1.5493,4.5807,-2.8395
MCHR1,chai,0.926,1.5493,4.5807,-2.8395
MCHR1,of3,0.5836,1.5493,4.5807,-2.8395
MCHR1,protenix,0.6724,1.5493,4.5807,-2.8395
NPY2R,boltz,0.9856,1.4222,5.5925,-3.2771
NPY2R,chai,0.4036,1.4222,5.5925,-3.2771
NPY2R,of3,1.0,1.4222,5.5925,-3.2771
NPY2R,protenix,1.0,1.4222,5.5925,-3.2771
OPRX,boltz,1.0,1.2791,5.9776,-4.7704
OPRX,chai,0.9992,1.2791,5.9776,-4.7704
OPRX,of3,0.3612,1.2791,5.9776,-4.7704
OPRX,protenix,1.0,1.2791,5.9776,-4.7704
