# APO-arm equivalent of two_instrument_state_calls.csv (not produced by the tracked script)
# Class A: npxxy_oh<9.082 AND gpcrdb_tm6_tilt>14.932
# Class B: class_b_kink<159.95 AND gpcrdb_tm6_tilt>14.932
# Class F: gpcrdb_tm6_tilt>14.932 only
# Apo arm only; per-receptor call from median over 5 seeds x 5 samples.

## per_receptor_backbone
receptor_slug,receptor_class,backbone,median_npxxy_oh,median_gpcrdb_tm6_tilt,median_class_b_kink,active_call
5HT1B,A,boltz,12.943,13.394,155.283,no
5HT1B,A,chai,13.521,15.116,155.421,no
5HT1B,A,of3,7.015,13.491,157.532,no
5HT1B,A,protenix,5.593,14.425,158.42,no
5HT2C,A,boltz,12.368,14.03,155.628,no
5HT2C,A,chai,13.72,13.37,159.623,no
5HT2C,A,of3,14.029,13.438,159.384,no
5HT2C,A,protenix,12.913,12.517,159.953,no
5HT5A,A,boltz,18.315,13.109,154.601,no
5HT5A,A,chai,13.801,15.869,154.157,no
5HT5A,A,of3,13.144,13.567,154.42,no
5HT5A,A,protenix,16.487,13.691,151.217,no
AA1R,A,boltz,9.708,12.128,161.257,no
AA1R,A,chai,9.401,12.172,163.141,no
AA1R,A,of3,9.151,12.0,162.639,no
AA1R,A,protenix,9.02,12.186,163.641,no
AA2AR,A,boltz,9.608,11.823,159.787,no
AA2AR,A,chai,9.525,12.152,160.443,no
AA2AR,A,of3,9.126,11.923,160.541,no
AA2AR,A,protenix,9.255,11.88,161.204,no
ACM1,A,boltz,16.405,12.399,154.82,no
ACM1,A,chai,18.391,12.79,156.062,no
ACM1,A,of3,10.533,13.073,155.982,no
ACM1,A,protenix,15.225,12.236,155.888,no
ACM2,A,boltz,4.077,16.141,160.659,yes
ACM2,A,chai,19.059,14.018,156.658,no
ACM2,A,of3,10.112,13.908,156.571,no
ACM2,A,protenix,10.837,11.669,155.654,no
ACM4,A,boltz,16.027,11.76,155.413,no
ACM4,A,chai,18.809,14.015,157.441,no
ACM4,A,of3,11.044,11.176,154.922,no
ACM4,A,protenix,10.994,11.692,155.663,no
ADA2A,A,boltz,10.32,11.641,158.019,no
ADA2A,A,chai,4.309,18.472,164.403,yes
ADA2A,A,of3,10.108,12.256,159.017,no
