receptor,cluster_id,reconstructed,reconstruction_source,note
5HT1B,serotonin,2026-09-09,standard_GPCR_family_taxonomy,no on-disk canonical map found; Phase 0 addendum cites 26 clusters but ships no file
5HT2C,serotonin,2026-09-09,standard_GPCR_family_taxonomy,no on-disk canonical map found; Phase 0 addendum cites 26 clusters but ships no file
5HT5A,serotonin,2026-09-09,standard_GPCR_family_taxonomy,no on-disk canonical map found; Phase 0 addendum cites 26 clusters but ships no file
ACM1,muscarinic,2026-09-09,standard_GPCR_family_taxonomy,no on-disk canonical map found; Phase 0 addendum cites 26 clusters but ships no file
ACM2,muscarinic,2026-09-09,standard_GPCR_family_taxonomy,no on-disk canonical map found; Phase 0 addendum cites 26 clusters but ships no file
ACM4,muscarinic,2026-09-09,standard_GPCR_family_taxonomy,no on-disk canonical map found; Phase 0 addendum cites 26 clusters but ships no file
ADA2A,adrenergic_alpha,2026-09-09,standard_GPCR_family_taxonomy,no on-disk canonical map found; Phase 0 addendum cites 26 clusters but ships no file
ADRB1,adrenergic_beta,2026-09-09,standard_GPCR_family_taxonomy,no on-disk canonical map found; Phase 0 addendum cites 26 clusters but ships no file
ADRB2,adrenergic_beta,2026-09-09,standard_GPCR_family_taxonomy,no on-disk canonical map found; Phase 0 addendum cites 26 clusters but ships no file
DRD2,dopamine,2026-09-09,standard_GPCR_family_taxonomy,no on-disk canonical map found; Phase 0 addendum cites 26 clusters but ships no file
DRD3,dopamine,2026-09-09,standard_GPCR_family_taxonomy,no on-disk canonical map found; Phase 0 addendum cites 26 clusters but ships no file
HRH1,histamine,2026-09-09,standard_GPCR_family_taxonomy,no on-disk canonical map found; Phase 0 addendum cites 26 clusters but ships no file
HRH3,histamine,2026-09-09,standard_GPCR_family_taxonomy,no on-disk canonical map found; Phase 0 addendum cites 26 clusters but ships no file
AA1R,adenosine,2026-09-09,standard_GPCR_family_taxonomy,no on-disk canonical map found; Phase 0 addendum cites 26 clusters but ships no file
AA2AR,adenosine,2026-09-09,standard_GPCR_family_taxonomy,no on-disk canonical map found; Phase 0 addendum cites 26 clusters but ships no file
APJ,apelin,2026-09-09,standard_GPCR_family_taxonomy,no on-disk canonical map found; Phase 0 addendum cites 26 clusters but ships no file
AGTR1,angiotensin,2026-09-09,standard_GPCR_family_taxonomy,no on-disk canonical map found; Phase 0 addendum cites 26 clusters but ships no file
CCKAR,cholecystokinin,2026-09-09,standard_GPCR_family_taxonomy,no on-disk canonical map found; Phase 0 addendum cites 26 clusters but ships no file
CNR1,cannabinoid,2026-09-09,standard_GPCR_family_taxonomy,no on-disk canonical map found; Phase 0 addendum cites 26 clusters but ships no file
CNR2,cannabinoid,2026-09-09,standard_GPCR_family_taxonomy,no on-disk canonical map found; Phase 0 addendum cites 26 clusters but ships no file
EDNRA,endothelin,2026-09-09,standard_GPCR_family_taxonomy,no on-disk canonical map found; Phase 0 addendum cites 26 clusters but ships no file
EDNRB,endothelin,2026-09-09,standard_GPCR_family_taxonomy,no on-disk canonical map found; Phase 0 addendum cites 26 clusters but ships no file
FSHR,glycohormone,2026-09-09,standard_GPCR_family_taxonomy,no on-disk canonical map found; Phase 0 addendum cites 26 clusters but ships no file
LSHR,glycohormone,2026-09-09,standard_GPCR_family_taxonomy,no on-disk canonical map found; Phase 0 addendum cites 26 clusters but ships no file
GHSR,ghrelin,2026-09-09,standard_GPCR_family_taxonomy,no on-disk canonical map found; Phase 0 addendum cites 26 clusters but ships no file
GRPR,bombesin,2026-09-09,standard_GPCR_family_taxonomy,no on-disk canonical map found; Phase 0 addendum cites 26 clusters but ships no file
LPAR1,lysophosphatidic,2026-09-09,standard_GPCR_family_taxonomy,no on-disk canonical map found; Phase 0 addendum cites 26 clusters but ships no file
LT4R1,leukotriene,2026-09-09,standard_GPCR_family_taxonomy,no on-disk canonical map found; Phase 0 addendum cites 26 clusters but ships no file
MCHR1,melanin_concentrating_hormone,2026-09-09,standard_GPCR_family_taxonomy,no on-disk canonical map found; Phase 0 addendum cites 26 clusters but ships no file
NPY1R,npy,2026-09-09,standard_GPCR_family_taxonomy,no on-disk canonical map found; Phase 0 addendum cites 26 clusters but ships no file
NPY2R,npy,2026-09-09,standard_GPCR_family_taxonomy,no on-disk canonical map found; Phase 0 addendum cites 26 clusters but ships no file
OPRD,opioid,2026-09-09,standard_GPCR_family_taxonomy,no on-disk canonical map found; Phase 0 addendum cites 26 clusters but ships no file
OPRK,opioid,2026-09-09,standard_GPCR_family_taxonomy,no on-disk canonical map found; Phase 0 addendum cites 26 clusters but ships no file
OPRX,opioid_nociceptin,2026-09-09,standard_GPCR_family_taxonomy,no on-disk canonical map found; Phase 0 addendum cites 26 clusters but ships no file
OX2R,orexin,2026-09-09,standard_GPCR_family_taxonomy,no on-disk canonical map found; Phase 0 addendum cites 26 clusters but ships no file
CCR5,chemokine_ccr,2026-09-09,standard_GPCR_family_taxonomy,no on-disk canonical map found; Phase 0 addendum cites 26 clusters but ships no file
CXCR2,chemokine_cxcr,2026-09-09,standard_GPCR_family_taxonomy,no on-disk canonical map found; Phase 0 addendum cites 26 clusters but ships no file
CXCR4,chemokine_cxcr,2026-09-09,standard_GPCR_family_taxonomy,no on-disk canonical map found; Phase 0 addendum cites 26 clusters but ships no file
OPSD,opsin_vertebrate,2026-09-09,standard_GPCR_family_taxonomy,no on-disk canonical map found; Phase 0 addendum cites 26 clusters but ships no file
B1B1U5,opsin_invertebrate_jsr1,2026-09-09,standard_GPCR_family_taxonomy,no on-disk canonical map found; Phase 0 addendum cites 26 clusters but ships no file
