panel_row_slug,gpcrdb_slug,gpcr_class,in_our48,in_confornets,tier,excluded_under_panel48,excluded_under_panel75,n_snapshot_structures_withdrawn
5HT1B,5ht1b,A,1,1,C1,1,1,5
5HT2A,5ht2a,A,0,1,C1|C1r,0,1,18
5HT2C,5ht2c,A,1,1,C1|C1r,1,1,7
5HT5A,5ht5a,A,1,0,C1|H-protenix,1,1,5
AA1R,aa1r,A,1,1,C1,1,1,5
AA2AR,aa2ar,A,1,1,C1,1,1,80
ACM1,acm1,A,1,0,C1,1,1,6
ACM2,acm2,A,1,1,C1,1,1,14
ACM3,acm3,A,0,1,X,0,1,9
ACM4,acm4,A,1,1,C1|C1r|H-protenix,1,1,11
ADA1A,ada1a,A,0,1,C1|C1r|H-protenix|H-boltz2|H-boltz2-both,0,1,6
ADA2A,ada2a,A,1,1,C1|C1r|H-protenix,1,1,10
ADRB1,adrb1,A,1,1,C1|C1r,1,1,34
ADRB2,adrb2,A,1,1,C1,1,1,123
AGRE5,agre5,B2,0,1,E-scope,0,1,0
AGTR1,agtr1,A,1,0,C1|C1r,1,1,9
APJ,apj,A,1,0,C1|C1r|H-protenix,1,1,14
B1B1U5,b1b1u5,A,1,1,C1|H-protenix|H-boltz2,1,1,4
C5AR1,c5ar1,A,0,0,C1|C1r|H-protenix,0,1,12
CALRL,calrl,B1,0,1,E-B1,0,1,0
CCKAR,cckar,A,1,1,C1|C1r,1,1,12
CCR2,ccr2,A,0,1,C1|C1r|H-protenix,0,1,4
CCR5,ccr5,A,1,1,C1,1,1,11
CCR6,ccr6,A,0,1,C1,0,1,3
CCR8,ccr8,A,0,1,C1|C1r|H-protenix|H-boltz2|H-boltz2-both,0,1,6
CNR1,cnr1,A,1,1,C1,1,1,21
CNR2,cnr2,A,1,0,C1|C1r,1,1,9
CRHR1,crfr1,B1,1,0,E-B1,1,1,0
CXCR2,cxcr2,A,1,0,C1,1,1,3
CXCR3,cxcr3,A,0,1,C1|C1r|H-protenix|H-boltz2|H-boltz2-both,0,1,6
CXCR4,cxcr4,A,1,1,C1|H-protenix|H-boltz2,1,1,14
DRD2,drd2,A,1,1,C1,1,1,8
DRD3,drd3,A,1,0,C1|C1r,1,1,6
DRD4,drd4,A,0,1,C1|H-protenix|H-boltz2,0,1,4
EDNRA,ednra,A,1,1,C1|H-protenix,1,1,5
EDNRB,ednrb,A,1,1,C1|C1r|H-protenix,1,1,18
FSHR,fshr,A,1,1,C1|H-protenix,1,1,2
FZD4,fzd4,F,1,0,E-scope,1,1,0
FZD6,fzd6,F,1,0,E-scope,1,1,0
FZD7,fzd7,F,1,1,E-scope,1,1,0
GHSR,ghsr,A,1,1,C1,1,1,7
GLP1R,glp1r,B1,1,1,E-B1,1,1,0
GCGR,glr,B1,1,0,E-B1,1,1,0
GPR52,gpr52,A,0,0,C1|C1r,0,1,5
GPR6,gpr6,A,0,1,C1|H-protenix|H-boltz2|H-boltz2-both,0,1,4
GRPR,grpr,A,1,0,C1|H-protenix,1,1,4
HRH1,hrh1,A,1,1,C1|C1r,1,1,7
HRH2,hrh2,A,0,1,C1|C1r|H-protenix|H-boltz2,0,1,5
HRH3,hrh3,A,1,1,C1|C1r|H-protenix|H-boltz2,1,1,7
LPAR1,lpar1,A,1,0,C1|C1r|H-protenix,1,1,16
LSHR,lshr,A,1,1,C1,1,1,4
LT4R1,lt4r1,A,1,0,C1|C1r|H-protenix,1,1,2
MCHR1,mchr1,A,1,1,C1|H-protenix|H-boltz2|H-boltz2-both,1,1,10
MTR1A,mtr1a,A,0,1,C1,0,1,8
MTR1B,mtr1b,A,0,0,C1|H-protenix,0,1,5
NK1R,nk1r,A,0,1,C1|H-protenix,0,1,12
NPY1R,npy1r,A,1,0,C1|H-protenix,1,1,6
NPY2R,npy2r,A,1,1,C1|H-protenix,1,1,5
NTR1,ntr1,A,0,1,C1,0,1,27
OPRD,oprd,A,1,0,C1|C1r,1,1,8
OPRK,oprk,A,1,1,C1,1,1,11
OPRM,oprm,A,0,1,C1|C1r,0,1,25
OPRX,oprx,A,1,0,C1|H-protenix,1,1,4
OPSD,opsd,A,1,1,C1|C1r,1,1,72
OX2R,ox2r,A,1,1,C1|C1r,1,1,11
OXYR,oxyr,A,0,1,C1|H-protenix,0,1,3
PD2R2,pd2r2,A,0,1,C1|C1r|H-protenix|H-boltz2,0,1,6
PE2R4,pe2r4,A,0,0,C1,0,1,8
PTH1R,pth1r,B1,1,0,E-B1,1,1,0
S1PR1,s1pr1,A,0,0,C1|C1r,0,1,17
S1PR5,s1pr5,A,0,1,C1,0,1,2
SMO,smo,F,1,1,E-scope,1,1,0
SSR2,ssr2,A,0,1,C1|C1r|H-protenix,0,1,17
TA2R,ta2r,A,0,0,C1|H-protenix|H-boltz2,0,1,4
TSHR,tshr,A,0,1,C1|H-protenix,0,1,7
