uniprot,gene,class,state,pdb_id,ligand_ccd
P08908,5HT1A,A,Active,7E2Y,SRO
P28221,5HT1D,A,Active,7E32,SRO
P28566,5HT1E,A,Active,7E33,HVU
P28223,5HT2A,A,Active,6WHA,U0G
P28223,5HT2A,A,Inactive,6WH4,89F
P28223,5HT2A,A,Inactive,6WGT,7LD
P28223,5HT2A,A,Inactive,6A94,ZOT
P08913,ADA2A,A,Inactive,6KUY,E39
P08913,ADA2A,A,Inactive,6KUX,E3F
P18089,ADA2B,A,Active,6K41,CZX
P18825,ADA2C,A,Inactive,6KUW,E33
P08588,ADRB1,A,Active,7BU6,E5E
P08588,ADRB1,A,Active,7BTS,ALE
P08588,ADRB1,A,Inactive,7BVQ,CAU
P21728,DRD1,A,Active,7JVQ,OR9
P21728,DRD1,A,Active,7CKW,G3C
P21728,DRD1,A,Active,7CRH,GBU
P21728,DRD1,A,Active,7JV5,SK0
P21728,DRD1,A,Active,7JVP,SK9
P21728,DRD1,A,Active,7LJC,SK0
P21728,DRD1,A,Active,7CKX,G3O
P21728,DRD1,A,Active,7CKZ,LDP
P21728,DRD1,A,Active,7LJD,LDP
Q6DWJ6,GP139,A,Active,7VUG,7ZQ
Q6DWJ6,GP139,A,Active,7VUH,7ZQ
Q6DWJ6,GP139,A,Active,7VUI,7ZQ
Q6DWJ6,GP139,A,Active,7VUJ,7ZQ
Q96LB1,MRGX2,A,Active,7S8N,8IU
Q96LB1,MRGX2,A,Active,7S8O,8IU
P48039,MTR1A,A,Active,7DB6,JEV
P48039,MTR1A,A,Inactive,6ME2,JEV
P48039,MTR1A,A,Inactive,6ME4,ML2
P48039,MTR1A,A,Inactive,6ME5,AWY
P48039,MTR1A,A,Inactive,6ME3,JEY
P48039,MTR1A,A,Inactive,6PS8,JEY
P49286,MTR1B,A,Inactive,6ME9,JEV
P49286,MTR1B,A,Inactive,6ME6,JEY
P49286,MTR1B,A,Inactive,6ME7,JEY
P49286,MTR1B,A,Inactive,6ME8,JEY
P25103,NK1R,A,Inactive,6HLL,GBK
P43116,PE2R2,A,Active,7CX2,P2E
P43115,PE2R3,A,Active,6AK3,P2E
P35408,PE2R4,A,Active,7D7M,P2E
Q99500,S1PR3,A,Active,7EW4,JF9
Q14416,GRM2,C,Active,7E9G,HZR
