experiment_slug_or_cluster,receptor,receptor_class,backbone,partner_type,n,n_pass,pass_rate,n_active,n_inactive,n_borderline,frac_active,median_d_tm6,median_d_npxxy,median_plddt_at_anchors
aa2ar_confidence_vs_correctness,AA2AR,A,boltz,cognate_ga,80,80,100.0%,0,0,0,0.00,9.20,15.23,86.01
aa2ar_confidence_vs_correctness,OPRM,A,boltz,cognate_ga,50,50,100.0%,0,0,0,0.00,14.76,14.47,96.19
aa2ar_confidence_vs_correctness,OXYR,A,boltz,cognate_ga,50,50,100.0%,49,0,1,0.98,14.73,14.77,85.44
class_b_asymmetry,CALCR,B,boltz,apo,50,50,100.0%,0,0,0,0.00,30.20,19.17,78.29
class_b_asymmetry,CALCR,B,boltz,peptide_native,50,50,100.0%,0,0,0,0.00,30.08,19.03,85.95
class_b_asymmetry,CALCR,B,boltz,α5_ct_fragment,50,50,100.0%,0,0,0,0.00,30.21,19.12,84.24
class_b_asymmetry,CALCR,B,protenix,apo,50,50,100.0%,0,0,0,0.00,22.04,20.30,81.11
class_b_asymmetry,CALCR,B,protenix,peptide_native,50,50,100.0%,0,0,0,0.00,29.87,19.01,84.31
class_b_asymmetry,CALCR,B,protenix,α5_ct_fragment,50,50,100.0%,0,0,0,0.00,29.89,19.10,84.28
class_b_asymmetry,GLP1R,B,boltz,apo,50,50,100.0%,0,50,0,0.00,20.93,19.48,84.59
class_b_asymmetry,GLP1R,B,boltz,peptide_native,50,50,100.0%,0,50,0,0.00,21.31,19.16,84.42
class_b_asymmetry,GLP1R,B,boltz,α5_ct_fragment,50,50,100.0%,0,0,0,0.00,29.80,18.36,88.50
class_b_asymmetry,GLP1R,B,of3,apo,50,50,100.0%,0,50,0,0.00,21.08,19.44,82.54
class_b_asymmetry,GLP1R,B,of3,peptide_native,50,50,100.0%,0,50,0,0.00,21.56,19.08,79.86
class_b_asymmetry,GLP1R,B,of3,α5_ct_fragment,50,50,100.0%,0,50,0,0.00,21.38,19.20,80.72
outputs/boltz_bidirectional_arrestin,,,boltz,arrestin,5,0,0.0%,0,0,0,0.00,,,
outputs/boltz_bidirectional_arrestin,5HT2A,A,boltz,arrestin,5,5,100.0%,0,5,0,0.00,9.34,18.50,94.20
outputs/boltz_bidirectional_arrestin,AA1R,A,boltz,arrestin,5,5,100.0%,0,5,0,0.00,7.82,17.98,94.97
outputs/boltz_bidirectional_arrestin,ACM2,A,boltz,arrestin,5,5,100.0%,0,5,0,0.00,9.69,15.59,90.53
outputs/boltz_bidirectional_arrestin,ACM4,A,boltz,arrestin,5,5,100.0%,0,5,0,0.00,9.06,18.00,91.65
outputs/boltz_bidirectional_arrestin,CCR5,A,boltz,arrestin,5,5,100.0%,4,1,0,0.80,14.68,18.09,85.50
outputs/boltz_bidirectional_arrestin,CNR1,A,boltz,arrestin,5,5,100.0%,5,0,0,1.00,13.44,13.58,86.43
outputs/boltz_bidirectional_arrestin,CXCR4,A,boltz,arrestin,5,5,100.0%,0,4,1,0.00,8.79,21.44,84.79
outputs/boltz_bidirectional_arrestin,DRD2,A,boltz,arrestin,5,5,100.0%,0,5,0,0.00,8.44,18.74,91.73
outputs/boltz_bidirectional_arrestin,EDNRB,A,boltz,arrestin,5,5,100.0%,0,5,0,0.00,9.82,16.95,81.04
