uniprot,gene,cls,n_total,n_active,n_inactive,n_msa,max_tmpl_id
P08908,5HT1A,A,3,3,0,142976,29/34/37
P28221,5HT1D,A,1,1,0,129145,54/58/54
P28566,5HT1E,A,1,1,0,107056,43/44/45
P30939,5HT1F,A,1,1,0,115134,44/54/44
P28223,5HT2A,A,7,1,6,116856,38/43/43
P08912,ACM5,A,1,0,1,111796,35/35/45
P08913,ADA2A,A,2,0,2,127200,29/43/21
P18089,ADA2B,A,1,1,0,133186,44/28/46
P18825,ADA2C,A,1,0,1,119106,27/28/22
P08588,ADRB1,A,4,3,1,123468,40/40/40
P46663,BKRB1,A,1,1,0,74174,22/25/22
P30411,BKRB2,A,1,1,0,78880,24/24/22
P32238,CCKAR,A,8,5,3,138602,21/17/17
P51684,CCR6,A,1,1,0,72743,27/32/29
P32248,CCR7,A,1,0,1,66412,29/34/33
Q9Y271,CLTR1,A,2,0,0,64264,28/23/25
Q9NS75,CLTR2,A,4,0,0,64091,25/22/26
P34972,CNR2,A,4,2,2,30085,38/38/38
P25025,CXCR2,A,3,2,1,85793,30/33/29
P21728,DRD1,A,11,11,0,93744,26/28/26
P25090,FPR2,A,2,2,0,63977,29/26/29
P32239,GASR,A,2,2,0,129190,20/39/16
Q92847,GHSR,A,5,4,1,99833,27/28/20
P30968,GNRHR,A,1,0,1,30850,18/19/19
Q6DWJ6,GP139,A,4,4,0,11094,18/18/15
Q8TDU6,GPBAR,A,3,3,0,2112,19/16/16
Q9Y2T5,GPR52,A,4,1,0,38031,19/20/19
P22888,LSHR,A,3,2,1,22406,20/8/8
Q15722,LT4R1,A,1,0,1,69829,21/23/23
P32245,MC4R,A,8,7,0,52015,22/21/18
Q96LB1,MRGX2,A,14,14,0,9231,17/17/17
Q96LA9,MRGX4,A,1,1,0,12706,19/18/20
P48039,MTR1A,A,6,1,5,96729,53/21/54
P49286,MTR1B,A,4,0,4,91932,51/19/51
P25103,NK1R,A,11,5,6,103865,21/20/21
P49146,NPY2R,A,1,0,1,89832,24/26/24
P30989,NTR1,A,2,2,0,80910,17/17/17
P30559,OXYR,A,1,0,1,66651,16/34/19
Q9Y5Y4,PD2R2,A,3,0,3,55542,25/25/21
P43116,PE2R2,A,3,3,0,5173,13/15/12
P43115,PE2R3,A,2,2,0,6001,25/22/22
P35408,PE2R4,A,2,1,1,20390,11/12/12
P25105,PTAFR,A,1,0,0,43804,23/21/21
Q99500,S1PR3,A,4,4,0,40642,45/19/43
Q9H228,S1PR5,A,1,1,0,27273,38/34/38
P21731,TA2R,A,2,0,0,5300,22/29/22
P30518,V2R,A,2,2,0,39048,19/19/14
Q16602,CALRL,B1,6,4,2,22591,52/52/23
Q13324,CRFR2,B1,1,1,0,25918,29/25/27
Q02643,GHRHR,B1,1,1,0,16767,33/41/32
P48546,GIPR,B1,1,1,0,17173,44/45/44
O95838,GLP2R,B1,1,1,0,13877,32/32/32
P41586,PACR,B1,4,4,0,23520,29/42/29
Q03431,PTH1R,B1,4,3,1,19756,25/24/23
P49190,PTH2R,B1,1,1,0,17873,44/44/43
P47872,SCTR,B1,2,2,0,21881,36/45/35
P32241,VIPR1,B1,1,1,0,22749,35/44/32
Q86Y34,AGRG3,B2,2,2,0,21765,9/11/10
P41180,CASR,C,9,4,5,40116,21/24/23
Q9UBS5-2,GABR1,C,1,0,1,20205,15/31/31
O75899,GABR2,C,8,3,5,21450,14/14/27
Q5T848,GP158,C,3,0,3,7719,4/4/5
Q14416,GRM2,C,9,3,6,36733,41/44/42
Q14833,GRM4,C,1,1,0,37849,37/28/42
Q14831-3,GRM7-3,C,1,0,1,37310,36/28/40
Q9ULV1,FZD4,F,1,0,1,13243,22/22/40
Q13467,FZD5,F,1,0,1,13433,22/22/22
O75084,FZD7,F,1,1,0,13381,22/23/44
