receptor_slug,primary_ga_class,secondary_ga_classes,status,fallback_partner_class,rationale
5HT1B,Gi,,eligible,,
5HT2C,Gq,,eligible,,
5HT5A,Gi,,eligible,,
AA1R,Gi,,eligible,,
AA2AR,Gs,,eligible,,
ACM1,Gq,,eligible,,
ACM2,Gi,,eligible,,
ACM4,Gi,,eligible,,
ADA2A,Gi,,eligible,,
ADRB1,Gs,,eligible,,
ADRB2,Gs,,eligible,,
AGTR1,Gq,"Gi,G12",eligible,,
APJ,Gi,Gq,eligible,,
B1B1U5,Gi,Gq,eligible,,
CCKAR,Gq,Gs,eligible,,
CCR5,Gi,,eligible,,
CNR1,Gi,,eligible,,
CNR2,Gi,,eligible,,
CXCR2,Gi,,eligible,,
CXCR4,Gi,,eligible,,
DRD2,Gi,,eligible,,
DRD3,Gi,,eligible,,
EDNRA,Gq,"Gs,Gi",g12_fallback,G12,primary+secondary spans Gs/Gi/Gq; G12/13 is the only truly-non-cognate class
EDNRB,Gq,Gi,eligible,,
FSHR,Gs,Gq,eligible,,
GHSR,Gq,"Gi,G12",eligible,,
GRPR,Gq,,eligible,,
HRH1,Gq,,eligible,,
HRH3,Gi,,eligible,,
LPAR1,Gi,"Gq,G12",eligible,,
LSHR,Gs,Gq,eligible,,
LT4R1,Gi,Gq,eligible,,
MCHR1,Gi,Gq,eligible,,
NPY1R,Gi,,eligible,,
NPY2R,Gi,,eligible,,
OPRD,Gi,,eligible,,
OPRK,Gi,,eligible,,
OPRX,Gi,,eligible,,
OPSD,Gt,,eligible,,
OX2R,Gq,Gi,eligible,,
