receptor_slug	cluster	worse_res	core32_provisional	core_frozen	tier	exclusion_reason	override_reason	supplied_partner_family	supplied_partner_subtype	supplied_partner_basis	supplied_partner_independence	reference_tip_subtype	reference_tip_family	reference_tip_evidence	annotation_family_set	annotation_verdict	cognate_vs_reference_agree	reverses_blockb_prior	blockb_prior
5HT1B	001_001_001	3.9	no	no	EXTENSION-census			Gi/o	Go	structure-read subtype inside the annotated family	annotation only -- independent of the structure	Go	Gi/o	STRUCTURE_NEAR	Gi/o	cognate_ambiguous	yes	no	Gi
5HT2A	001_001_001	2.8	yes	no	EXTENSION-chimeric-reference	chimeric active reference: engineered alpha5 tip, ineligible for a strict primary panel		Gq/11	Gq	annotation; declared family representative	annotation only -- independent of the structure	CHIMERIC -- no canonical subtype	CHIMERIC	CHIMERA_SPLIT	Gq/11	cognate_ambiguous	n/a	no	
5HT2C	001_001_001	2.84	no	no	EXTENSION-chimeric-reference	chimeric active reference: engineered alpha5 tip, ineligible for a strict primary panel		Gq/11	Gq	annotation; declared family representative	NOT INDEPENDENT: the coupling recommendation was taken from the deposited reference, and that reference is CHIMERIC	CHIMERIC -- no canonical subtype	CHIMERIC	CHIMERA_SPLIT	Gi/o;Gq/11	cognate_conflicted	n/a	no	Gq
5HT5A	001_001_001	3.1	no	yes	PRIMARY			Gi/o	Gi1	structure-read subtype inside the annotated family	annotation only -- independent of the structure	Gi1	Gi/o	STRUCTURE_EXACT	Gi/o	cognate_ambiguous	yes	no	Gi
AA1R	001_006_001	3.2	yes	yes	PRIMARY			Gi/o	Gi1	structure-read subtype inside the annotated family	NOT INDEPENDENT: the coupling recommendation was taken from the deposited reference	Gi1	Gi/o	STRUCTURE_EXACT	Gi/o;Gq/11	cognate_conflicted	yes	no	Gi
AA2AR	001_006_001	3.34	no	yes	PRIMARY		declared override: loses its cluster to AA1R by 0.14 A, and is the only panel receptor with wet-lab data on our exact 21-mer (eddy2018extrinsictrp W233-6.35; mazzoni2000's length series). Adds a receptor, not a cluster -- AA1R stays.	Gs	Gs	structure-read subtype inside the annotated family	annotation only -- independent of the structure	Gs	Gs	CONVENTION_FALLBACK	Gs	cognate_ambiguous	yes	no	Gs
ACM1	001_001_002	3.3	no	no	EXTENSION-census			Gq/11	Gq	structure-read subtype inside the annotated family	annotation only -- independent of the structure	Gq	Gq/11	STRUCTURE_EXACT	Gq/11	cognate_ambiguous	yes	no	Gq
ACM2	001_001_002	3.16	no	no	EXTENSION-census			Gi/o	Go	structure-read subtype inside the annotated family	annotation only -- independent of the structure	Go	Gi/o	STRUCTURE_EXACT	Gi/o	cognate_ambiguous	yes	no	Gi
ACM4	001_001_002	2.6	yes	yes	PRIMARY			Gi/o	Gi1	structure-read subtype inside the annotated family	annotation only -- independent of the structure	Gi1	Gi/o	STRUCTURE_EXACT	Gi/o	cognate_ambiguous	yes	no	Gi
ADA1A	001_001_003	2.92	no	no	EXTENSION-chimeric-reference	chimeric active reference: engineered alpha5 tip, ineligible for a strict primary panel		Gq/11	Gq	annotation; declared family representative	annotation only -- independent of the structure	CHIMERIC -- no canonical subtype	CHIMERIC	CHIMERA_SPLIT	Gq/11	cognate_ambiguous	n/a	no	
ADA2A	001_001_003	3.0	no	no	EXTENSION-census			Gi/o	Go	structure-read subtype inside the annotated family	annotation only -- independent of the structure	Go	Gi/o	STRUCTURE_EXACT	Gi/o	cognate_ambiguous	yes	no	Gi
ADRB1	001_001_003	2.6	yes	yes	PRIMARY			Gs	Gs	structure-read subtype inside the annotated family	annotation only -- independent of the structure	Gs	Gs	CONVENTION_FALLBACK	Gs	cognate_ambiguous	yes	no	Gs
ADRB2	001_001_003	3.4	no	no	EXTENSION-census			Gs	Gs	structure-read subtype inside the annotated family	annotation only -- independent of the structure	Gs	Gs	STRUCTURE_EXACT	Gs	cognate_ambiguous	yes	no	Gs
AGTR1	001_002_001	3.0	yes	yes	PRIMARY			Gq/11	Gq	structure-read subtype inside the annotated family	annotation only -- independent of the structure	Gq	Gq/11	CONVENTION_FALLBACK	Gi/o;Gq/11	cognate_ambiguous	yes	no	Gq
APJ	001_002_002	2.6	yes	yes	PRIMARY			Gi/o	Gi1	structure-read subtype inside the annotated family	annotation only -- independent of the structure	Gi1	Gi/o	STRUCTURE_EXACT	Gi/o	cognate_ambiguous	yes	no	Gi
B1B1U5	001_009_001_inv	4.06	yes	yes	PRIMARY			Gq/11	Gq	structure-read subtype inside the annotated family	annotation only -- independent of the structure	Gq	Gq/11	STRUCTURE_NEAR	Gi/o;Gq/11	cognate_ambiguous	yes	yes	Gi
C5AR1	001_002_006	2.9	yes	yes	PRIMARY			Gi/o	Gi1	structure-read subtype inside the annotated family	NOT INDEPENDENT: the coupling recommendation was taken from the deposited reference	Gi1	Gi/o	STRUCTURE_EXACT	Gi/o;Gq/11	cognate_conflicted	yes	no	
CCKAR	001_002_005	2.8	yes	yes	PRIMARY			Gs	Gs	structure-read subtype inside the annotated family	NOT INDEPENDENT: the coupling recommendation was taken from the deposited reference	Gs	Gs	STRUCTURE_EXACT	G12/13;Gq/11;Gs	cognate_conflicted	yes	yes	Gq
CCR2	001_003_002	2.9	yes	yes	PRIMARY			Gi/o	Gi1	structure-read subtype inside the annotated family	annotation only -- independent of the structure	Gi1	Gi/o	STRUCTURE_EXACT	Gi/o	cognate_confident	yes	no	
