sequence_sha,source,sequence_len,status,timestamp,error
298a02a4c76d9897,partner:ACM3,568,cached,2026-09-01T08:32:09.548469Z,ticket=EJo7cSUT_to6BTXg9W7Psb9_-DM8FpEuFd8-Jw computed
96a7bb49fe72f902,partner:DAMGO,5,cached,2026-09-01T08:42:46.758364Z,ticket=cX0BhE-ROaQSwqsOw9zfz5t8BqD7BHR129trfw instant_hit
30f4709b2d1b3c25,partner:GASR,396,cached,2026-09-01T08:14:56.110906Z,ticket=nCM_xNHjM3k-N3zsWHT8MeZEnw7h76GqZAPlLQ computed
083301fe76c9dfd7,partner:GIPR,528,cached,2026-09-01T08:28:54.025844Z,ticket=ZBWI5BdWW_hFwTE9wbCi9bYr9UCkqVHRGv7icA computed
1c77073c6117e470,partner:GP161,511,failed,2026-09-01T08:15:02.116382Z,ticket f71vgHauO3998z8xf3uz-yfgULHFqXqTTIIfVw did not reach terminal state in 600s
32ec703375c0e761,partner:Gg2,71,cached,2026-09-01T08:26:39.079729Z,ticket=E0qFcqmEh_Va5i9RP6FA76Oi2Oa3LgnXnuoktg computed
82d815907e654032,partner:HCAR2,363,cached,2026-09-01T08:10:00.333935Z,ticket=C0Po7ecPyOYwig0xJACaXZtNJO6ik-g8eACFhQ computed
e7e1c7e7d0960a55,partner:KaiB_2QKEE,91,cached,2026-09-01T08:05:40.979474Z,ticket=37lWMaQwy_4Jt_a4tQ2rDLi3EQ4U-QvRiBexcg computed
b9ad1bad7a2933d8,partner:Nb60,126,cached,2026-09-01T08:26:01.422979Z,ticket=_-iiUi07Br8mMaW3EeJQQYJb2_gIyHdakpJvAQ computed
35a1e025e9505e55,partner:TAAR1,339,cached,2026-09-01T08:12:20.129061Z,ticket=07iWvVbZE_rXhD1Fwq5cRssDbxkRlePFathXIw computed
5a59fb4c4388d703,partner:alpha11,359,cached,2026-09-01T08:01:54.534109Z,ticket=N8Y_hgL98bMjdCnsr0CDQXGZRPfNHF1wXD6bBg computed
b84f2fe8ce27cec1,partner:alpha13,377,cached,2026-09-01T07:53:31.212842Z,ticket=HQn59mWWP-USsoJs3kZUGPkssGPMyzW-naN5fQ computed
69d69c3bddc7e9c1,partner:alphagust,354,cached,2026-09-01T07:56:32.372792Z,ticket=FkmZpKYGyBoSokSpte1W8_9PozzNCcO7zH2F9A computed
57f8013fce15aa58,partner:alphai1,354,cached,2026-09-01T07:48:38.192376Z,ticket=O1KYRjWVUled4EFNSgAKAwvb8GsZKsUzRwI4tw computed
e0640cb9c3678ef3,partner:alphai2,355,cached,2026-09-01T07:59:21.730364Z,ticket=QBk648Ma7QAoxoFvQPiHFlAuiQInywFLvijGQA computed
399d5823731a6349,partner:alphao,354,cached,2026-09-01T07:57:59.659273Z,ticket=2OJmNpr5Lb5nUTv0AgL8vkSc-MxiygNwdEv6eA computed
aae9e1c2493fd384,partner:alphaq,359,cached,2026-09-01T07:54:53.467656Z,ticket=NbsCziIJEIHd9gjA7TxgVVy5NTr536uVNdfOaQ computed
6dedace6845efaa2,partner:alphas,394,cached,2026-09-01T07:46:25.319238Z,ticket=iQI4rStov0vRFyjEBqSEZ88WVU9vN2euekwc0A computed
