receptor_slug	rung	in_core32_provisional	in_g10_scan	cognate_family	cognate_subtype	cognate_accession	evidence_class	verdict	rule_r_active_pdb	reverses_blockb_prior	blockb_prior	len	sha256	option_a_tip_subtype	option_a_sha256	option_b_scaffold_subtype	option_b_sha256	option_c_deposited_tip_sha256	caveat
5HT1B	R1_ct11	no	no	Gi/o	Go	P09471	STRUCTURE_NEAR	frozen	6G79	no	Gi	11	d60406903dc7214e1ccd1b00dc108e1bdaf9a6238ce74c096debd76845cd744b						deposited tip is engineered -- 1 of 21 substitutions from Go -- but every canonical at the best score is in one family, so family and subtype are unambiguous.
5HT1B	R2_ct15	no	no	Gi/o	Go	P09471	STRUCTURE_NEAR	frozen	6G79	no	Gi	15	9e405081e97124530a3a62cfd5ea07707b4e09d0b6bee8828de8e141ccca569b						deposited tip is engineered -- 1 of 21 substitutions from Go -- but every canonical at the best score is in one family, so family and subtype are unambiguous.
5HT1B	R3_ct21	no	no	Gi/o	Go	P09471	STRUCTURE_NEAR	frozen	6G79	no	Gi	21	1d939254f60124bd3f2d64b363bf9df5b4a2efd63ec759fa3bb755add97f8c72						deposited tip is engineered -- 1 of 21 substitutions from Go -- but every canonical at the best score is in one family, so family and subtype are unambiguous.
5HT1B	R4_a5helix	no	no	Gi/o	Go	P09471	STRUCTURE_NEAR	frozen	6G79	no	Gi	26	88080a713f9acf058a3c96f406403ba2d2b1f2f8274db300698948390801ca97						deposited tip is engineered -- 1 of 21 substitutions from Go -- but every canonical at the best score is in one family, so family and subtype are unambiguous.
5HT1B	R5_a5plus	no	no	Gi/o	Go	P09471	STRUCTURE_NEAR	frozen	6G79	no	Gi	36	a468f97a33ba8406527975c818a1283c3bbb2b65440eb0584699299847b4179a						deposited tip is engineered -- 1 of 21 substitutions from Go -- but every canonical at the best score is in one family, so family and subtype are unambiguous.
5HT1B	R6a_da5	no	no	Gi/o	Go	P09471	STRUCTURE_NEAR	frozen	6G79	no	Gi	328	2b951794efb82c9b1f9bde193882283fd0c8f5efcc3703b9a3fe8e6b4d4dbb73						deposited tip is engineered -- 1 of 21 substitutions from Go -- but every canonical at the best score is in one family, so family and subtype are unambiguous.
5HT1B	R7_full	no	no	Gi/o	Go	P09471	STRUCTURE_NEAR	frozen	6G79	no	Gi	354	399d5823731a6349264db56f7b03c14aa432873cde289287156f13d28598e282						deposited tip is engineered -- 1 of 21 substitutions from Go -- but every canonical at the best score is in one family, so family and subtype are unambiguous.
5HT2A	R1_ct11	yes	no	Gq/11;Gs			CHIMERA_SPLIT	needs_decision	8UWL	no			PENDING:PI-DECISION	Gq	352936d3e72c33c9d67da7fdb4ee3e5781d58dc3f59637aa2d6d7db2b02aabd6	Gs	f159565cbda52c2b94610c95af8e362fab6620b027e2ee6a1d6e0fa09b5e8509	see g1_partner_registry reftip_ct11/5HT2A	deposited tip matches no canonical human Ga at ct21 (best 0.62). Scaffold reads Gs, alpha5 tip reads Gq/11. Two honest answers; the rule does not choose. Annotation backs: A/tip.
5HT2A	R2_ct15	yes	no	Gq/11;Gs			CHIMERA_SPLIT	needs_decision	8UWL	no			PENDING:PI-DECISION	Gq	7861ee15ebd234c9d6e9d8f1fa0022dcbee49aba1099911631ca05c6c48e488d	Gs	fb163fbce24f88f971d728fb69573e92b64d73b9cee95f1b75c793daf8c48c5f		deposited tip matches no canonical human Ga at ct21 (best 0.62). Scaffold reads Gs, alpha5 tip reads Gq/11. Two honest answers; the rule does not choose. Annotation backs: A/tip.
5HT2A	R3_ct21	yes	no	Gq/11;Gs			CHIMERA_SPLIT	needs_decision	8UWL	no			PENDING:PI-DECISION	Gq	ca9c43b3512da42d954f460071ed681cb95a05eb4a66fc95bf75f9f8fddfa443	Gs	39355d83d34556e438109cf065c187714a66052bf2d892a6746407e972c1f4e7	reftip_ct21/5HT2A	deposited tip matches no canonical human Ga at ct21 (best 0.62). Scaffold reads Gs, alpha5 tip reads Gq/11. Two honest answers; the rule does not choose. Annotation backs: A/tip.
