citekey,route1,route2,route3,route4,route5,route6,route7,n_routes_present,source_line
abramson2024af3,present,unclassified,unclassified,present,present,present,present,5,"routes 1,4,5,6,7 — date-filtered templates, checkpoint tuned on eval set, retrospective scoring, hand-picked showcases"
aureli2026epath,clean / not applicable,clean / not applicable,clean / not applicable,design-level only,clean / not applicable,clean / not applicable,design-level only,0,"routes 1-7 largely NOT APPLICABLE (no prediction pipeline); route 4 in kind (CV refinement), route 7 design-level"
bret2025boltz2docking,present,unclassified,unclassified,unclassified,design-level only,unclassified,design-level only,1,"routes 1,2,3,4,6 none found or not reported - no structure is supplied as input; route 5 (labels held) and route 7 design-level"
bryant2024cfold,clean / not applicable,clean / not applicable,clean / not applicable,present,present,present,present,4,"routes 4,5,6,7 — best-of-N against held reference, targets filtered by model's own TM; routes 1-3 clean"
bugrova2026representation,unclassified,unclassified,unclassified,unclassified,partial,unclassified,unclassified,0,"routes 5 (partial), 7 — expected binding mode declared in advance; no pipeline leakage"
chai2024chai1,present,unclassified,unclassified,unclassified,present,present,present,4,"routes 1,5,6,7 in non-headline arms — apo receptor supplied, restraints from solved complex, best-of-25 oracle curve; headline blind"
chakravarty2026statespace,clean / not applicable,clean / not applicable,clean / not applicable,clean / not applicable,clean / not applicable,clean / not applicable,clean / not applicable,0,NOT APPLICABLE — no pipeline exists; all seven routes answered as inapplicable
chen2026medchem,not stated,unclassified,unclassified,present,present,present,present,4,"routes 4,5,6,7 — post-hoc RMSD success, minPAE bins set on results, expected states declared in advance; route 1 not determinable"
chib2025gpcrstates,unclassified,unclassified,unclassified,unclassified,present,present,present,3,"routes 5,6,7 — post-hoc deviation-to-reference scoring; targets picked for existing structure plus GPCRdb annotation"
chiesa2025templatebias,present,unclassified,unclassified,unclassified,design-level only,unclassified,design-level only,1,"routes 1,2 present in the two template arms and ABSENT in the AFM-Ga arm - that contrast is the paper; route 5 definitional, route 7 design-level but quantified (94/145 structures have no template and are not in training)"
chitsazi2025gpcrdock4,unclassified,unclassified,unclassified,unclassified,present,present,present,3,"routes 5,6 by design (post-hoc RMSD); route 7 only in retrospective assessor arm; participants fully blind"
ekstromkelvinius2024discriminator,clean / not applicable,clean / not applicable,clean / not applicable,present,clean / not applicable,clean / not applicable,clean / not applicable,1,"routes 1,2,3,5,6,7 NOT APPLICABLE — no target structure; route 4 present, discriminator LR tuned on a validation set"
feldman2026alphainterp,unclassified,unclassified,unclassified,present,unclassified,present,present,3,"routes 4,6,7 — patching source and targets chosen by TM-score to reference; probe family picked on test metric"
ferguson2026deorphann,present,present,unclassified,present,present,unclassified,present,5,"routes 1,2,4,7 — AF-Multistate state-annotated active templates pinned in, thresholds fixed on evaluation set; routes 5,6 clean"
georgiou2025heterogeneity,clean / not applicable,clean / not applicable,clean / not applicable,clean / not applicable,clean / not applicable,clean / not applicable,clean / not applicable,0,"NOT APPLICABLE — no pipeline, no prediction, no scored outcome; all seven routes inapplicable"
gilson2025casp16,present,unclassified,unclassified,unclassified,present,present,present,4,"routes 1,5,6,7 — two real leaks found and excised; 5/6 assessor-side post-seal; 7 baseline arm"
heo2022multistate,present,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified,1,"routes 1,2,4,5,7 present, 6 partial — state-annotated templates and MSA removal are the mechanism"
hilger2020gcgr,present,unclassified,unclassified,unclassified,unclassified,unclassified,present,2,"routes 1,7 — deposited starting models for cryo-EM refinement; design-level expectation contradicted by result"
ingraham2023chroma,clean / not applicable,clean / not applicable,clean / not applicable,not stated,clean / not applicable,clean / not applicable,design-level only,0,"routes 1,2,3,5,6 NOT APPLICABLE; route 4 NOT EXTRACTED; route 7 mild and disclosed"
jedryszek2026probing,clean / not applicable,clean / not applicable,clean / not applicable,present,clean / not applicable,clean / not applicable,clean / not applicable,1,"route 4 only — concepts filtered by evaluation-set score; routes 1,2,3,5,6,7 NONE FOUND"
jung2026boltzperturb,present,unclassified,unclassified,present,present,present,present,5,"routes 1,4,5,6,7 — noise scale tuned against the test set; oracle best-of-N is the headline metric"
junker2026peptidedesign,present,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified,1,"routes 1,4,5 present; 7 strong at design level — crystal receptors as input, seed budget tuned"
