pdb_sha,pdb_id,uniprot_slug,species,resolved_state,stabilising_elements,provenance_url,provenance_sha256
5d6e080aacc2033e2ce8089f3aff30b22231433f836ad24d719ca79f829a0c0f,6G79,5ht1b_human,human,Ga-coupled-active,mini-Ga,https://files.rcsb.org/download/6g79.cif,083d9283cd77ae1cc9f4dcd5144c571ddc8c6c794108033adb786239a552d2cd
29974480b925257605dbb27d7d78a049e5f07325415b2b441b2ddfedb33c278c,4IAR,5ht1b_human,human,Ga-coupled-active,BRIL,https://files.rcsb.org/download/4iar.cif,413ea1c2b899880ab41c5a12229ed72c9675aff6aa21175e0d808d517320413b
9f369e76b050e529454d2592650b2c3e0eb4f148e7561e6cc0f0f024a6fb5513,7WC8,5ht2a_human,human,Ga-coupled-active,none,https://files.rcsb.org/download/7wc8.cif,80a917ee84a29df14f918cd257509e0a80e662d59a21f3cbcdf719d697f80cf8
c1910001c32cb6ba0ce62edeb8dbc202eb51e19c11dbb204eb51f5034b9194d3,8DPF,5ht2c_human,human,Ga-coupled-active,none,https://files.rcsb.org/download/8dpf.cif,7ac8eea64de6c7f1a0413677f32449d4352147c7d9a3ad756c01f03e8269a5f5
66c5183285affc75a48bfad90691fc74d21b88b5aefb8fbe849c305ee41cec84,6BQH,5ht2c_human,human,inactive-inverse-agonist,BRIL,https://files.rcsb.org/download/6bqh.cif,0441cccceeecf4121273bdf5febc1b1470fa9e6902ae9416de6ff4dbf54449b3
76a0c32da2a67d9d167227eaff33f157082fa53ec2b46d2e008ae316ee00bb7e,7UM5,5ht5a_human,human,Ga-coupled-active,scFv,https://files.rcsb.org/download/7um5.cif,130682e8eff2cfab976e2d2014de6f3fbcdd9597bde11daf460525e75205a5e5
ce6ef7539016f33f9b198a0a98a7a99d10db13f326787b5bbe9402466afa800d,7UM4,5ht5a_human,human,inactive-antagonist,none,https://files.rcsb.org/download/7um4.cif,0cf2e50213cefd7435833d8d46db216507ce4dae036071fbc01180c2bf9b9269
0ae65209e7080d3399724957764d3f33a543a1c1e4aba2c7e2687ba761e9f230,7LD3,aa1r_human,human,Ga-coupled-active,none,https://files.rcsb.org/download/7ld3.cif,a28fece9eabcd1326ac382e2b4cf6aca17a1c62d63aea0c24c69559f125e9ebb
307ad3f40d6f3962dc353546ae1cf6e17d89279ca37f4115cd47f25fbc890649,5UEN,aa1r_human,human,inactive-antagonist,BRIL,https://files.rcsb.org/download/5uen.cif,988bbf05256aeea5eedf5bced2cee911eb182a77a0dc86ad691e4c1d1506250f
8d8f8d43cf63ae378bc3e606dc93c75dd4c56265681e31ab63c8f8426b5acedd,6OIJ,acm1_human,human,Ga-coupled-active,none,https://files.rcsb.org/download/6oij.cif,3dcf5aa17dd116b9a55b2aa279cdd7069d8ea68868aae55cef93312c229e019a
4cfdf595b1a6c02204b144c690a0bec262578d04bc8d47d168e3a4f4827ca873,6ZFZ,acm1_human,human,Ga-coupled-active,T4L,https://files.rcsb.org/download/6zfz.cif,3926184f91500918aa14092f4207b026147ef8d0921a84c493cd743ca9b4f1f9
c0eaac51a5b8f1f6ba5dd932dccccb6bd73c10034fc3a957e9f55ccf0d1e76ad,7T94,acm2_human,human,Ga-coupled-active,scFv,https://files.rcsb.org/download/7t94.cif,383adb4d68d72154a1467362623ba68ce63a5653435ba26371dab37ae4280450
87187600645f33130912b3397c071f61b0769797a53a4a97a7588dbac9203547,5ZKC,acm2_human,human,inactive-antagonist,none,https://files.rcsb.org/download/5zkc.cif,9c6b37beb0fa1ec8a4f26d4bc74f49f794f695af1fc0cd790780d489992aab15
b5b1af3a2974360dfb4fbad1f5930d9258b171eb9665004b0b7cf119e5517e7b,7TRP,acm4_human,human,Ga-coupled-active,scFv,https://files.rcsb.org/download/7trp.cif,12b9b7118b9eabe3bf1810d5720162e8fa99a51844e530ba121bdfe1367bab61
2b7d3f45d2526cd5bbf5acad3120bbe6c72f4abb896c02dd145c1a3166422205,5DSG,acm4_human,human,inactive-antagonist,T4L,https://files.rcsb.org/download/5dsg.cif,8b341818a6d5e2feb1094d979fac8d346650ae8e4d89c71a963557fbeacc3485
9f9d3cc454c073252f1049bcb88abdfd129ad459143f412934fb6ff6ea51c629,8THK,ada1a_human,human,Ga-coupled-active,none,https://files.rcsb.org/download/8thk.cif,5044f7d66163fe6ab03f20e973a2717bf626ac3bbcfcd2a296c4e1aa122a47b2
4c5296073a0bc5bfeff9097534d829b9de1e65a9f409090a98e72a5b8d077436,8HN1,ada1a_human,human,inactive-antagonist,nanobody,https://files.rcsb.org/download/8hn1.cif,d957c2f9d13301ae7d9ab12cdac4a9647bacc80ada6a5bc176fea2d5278a2b98
1717f390160b25120d8feb6acbdc3851ed4a5dbd5944825c4eac1c3981de1f04,9CBL,ada2a_human,human,Ga-coupled-active,none,https://files.rcsb.org/download/9cbl.cif,4305f9c8d41a42a515e1f2a0677492eb59279f4b83a6a585aa9045ec3aab1c74
1447aed5ff1ce767202253ed8e08128ac8862fa421031c20d0fc3e9884575e63,6KUX,ada2a_human,human,inactive-antagonist,none,https://files.rcsb.org/download/6kux.cif,94c5966d521b6df14a468b5e23373be64eddffddebbae2616a2037469b798517
7099151063e61ed32cc4699bc1fa27de0e516b96910051b0a4d2da540479fca6,7BU7,adrb1_human,human,Ga-coupled-active,nanobody,https://files.rcsb.org/download/7bu7.cif,479cf9659bf0b5a7403192f75bd96a011edb638ab8ff877fa624d5dc41c4c86c
fde50c4d48faa4c48bdebcaf9e8357f0c0b516d04c279485224e3e261f0a365b,7BVQ,adrb1_human,human,inactive-inverse-agonist,none,https://files.rcsb.org/download/7bvq.cif,554bc4b707bf4da272b315d37415a6db4df3f808f4f251b33a6da6e60560a6c0
a36683eb73fb903510b7d892392701b3eacde26423d12f77fbd17cdba95bee87,4LDE,adrb2_human,human,Ga-coupled-active,nanobody,https://files.rcsb.org/download/4lde.cif,66794c7a0b595ef8d7108a92e66b88768e1e5cd35be4a642a3065b05faf5e047
6a83f9901547e38c175d68227564fba4308b3fc9742845d6175ce2eb09c66680,6PS2,adrb2_human,human,inactive-antagonist,none,https://files.rcsb.org/download/6ps2.cif,ac04a7180a29e8ffa1d7d4bbfea4aaed40a354ce9fa833cd580d994d15f937a6
c879c7d5f90e56c1361eb6625a84ca0099bac9615bf928fcfaa7e6da2a2a383f,6OS2,agtr1_human,human,Ga-coupled-active,nanobody,https://files.rcsb.org/download/6os2.cif,06414b80c3529aaf2edb843d47918b471bdc840df5e335ea605137de910d41f7
c6dcaeb28de3b0e17136cb80e0a3d99c79636438f907dbc81e0c6c6f5f327c49,4ZUD,agtr1_human,human,inactive-inverse-agonist,BRIL,https://files.rcsb.org/download/4zud.cif,a34d1a4cbac944407a90ea7c0168f5a2be49e74f1c3e2d338e159c523a6a4cce
1c62ff3606134654d0d3f9e399692373fc0d6021c886b35422918999461cd15f,8XZH,apj_human,human,Ga-coupled-active,none,https://files.rcsb.org/download/8xzh.cif,36494c1aaed05c64a25e105aab6463652f0f3b79edfc44f53c7cb125b7f29c78
9831a3a74b81254963c4d8bf89322f191ade7ac672d9eadd4f6de27717a04bd0,8S4D,apj_human,human,Ga-coupled-active,none,https://files.rcsb.org/download/8s4d.cif,645f9a165d38f91e20a685014e62989316567b0872c22273244f3ac541c3e033
fe9bb0e229952bd70bcd14fe608630d626b88ec0f24d2645c7d1bd7460ac66be,9EPP,b1b1u5_9arac,9arac,Ga-coupled-active,none,https://files.rcsb.org/download/9epp.cif,33a439ac76d3ce109bf15e9474e4e1e38c152106120a273b6d05f033e4bff478
0590f2f6cf7b060abfb16a045baf19a75304048579c91798e4941cb38e7d4eef,6I9K,b1b1u5_9arac,9arac,inactive-inverse-agonist,none,https://files.rcsb.org/download/6i9k.cif,ce1568acda606a8a294fbf59fc1ba93083f58fcc72a1a7d9374f13a0c48b4fbf
8ed58d8dd88f2587806fc126212bb848726051a7738128089d169822d2aa719e,7Y67,c5ar1_human,human,Ga-coupled-active,scFv,https://files.rcsb.org/download/7y67.cif,b191fdd06bdf328221f5410fb6f615dd333f5385b62b1ac8c08a56a85996d5a4
1e5a9376f634e54bb159cfef442c50cbe547d48fc8c02b8493c3cbbba701052b,6C1R,c5ar1_human,human,inactive-antagonist,none,https://files.rcsb.org/download/6c1r.cif,aca7a0cc294a8a010f5a472f5e00fba091ccb42fe0d090fd58f01c0f43993488
c2399b74584695e49f7ffddfa42793040969847c3558564ff0a5b69be370fad5,7MBX,cckar_human,human,Ga-coupled-active,nanobody,https://files.rcsb.org/download/7mbx.cif,0db3516117c3bc337400189ac06b186a106294d71835cd0f32c52c2828fd3dee
dbdc32d1d157ff2720c8fc1848d0e6f34421e5b98148bd3a33759df62f2a7f44,7F8Y,cckar_human,human,inactive-antagonist,none,https://files.rcsb.org/download/7f8y.cif,8f44cbbd55e1858bc50bcef79f5c8bde7dbffabdfd11b737c89d0e2ada4dd435
4ff4720dc1177f0be353b65c085e8ecb202ca3ccd5e12539bad0858ce7fb9826,7XA3,ccr2_human,human,Ga-coupled-active,none,https://files.rcsb.org/download/7xa3.cif,5ee867b5f3309e3049b3711dd834baa94219bc22079257565058a03892eed631
e5fcb1b3695d2baa39e56d0e9dee342219a9ae2b9ca51430f815b1b64e66de9b,6GPX,ccr2_human,human,inactive-antagonist,none,https://files.rcsb.org/download/6gpx.cif,ad1dfcf33927c4ac3e8286c7ac122a1867524098af80c21426f95b4a4c40647f
018c4471cfae445ae1f9fa698cba7597017cd1644b8dc2137f40aa6da0e82b54,7F1S,ccr5_human,human,Ga-coupled-active,none,https://files.rcsb.org/download/7f1s.cif,255833bfb0289a01ef6a368e2ee8c6d6fa0f7329395c8ac6cb2ad56b046d19c5
748174888f331cf2a9b3dcf5429daac51ca3bce6382d243e8938be4eecfca240,5UIW,ccr5_human,human,inactive-antagonist,none,https://files.rcsb.org/download/5uiw.cif,c47789433c44d957093f43315aca20b7a18f519db63a770fab1e7e1b88b14d08
bca8757a4f6ae24629052d47da97ac7e76677a9ab1c0ff173b83733afb2619e8,6WWZ,ccr6_human,human,Ga-coupled-active,scFv,https://files.rcsb.org/download/6wwz.cif,2b48dd668560b2b6ac56e897c8ebdae2457071a8b21724a939a2436ac624d708
35d4c9a44aadd1371731fb327229b262456eecde55ecdab0e07f05e53c9de62f,9D3E,ccr6_human,human,inactive-antagonist,BRIL,https://files.rcsb.org/download/9d3e.cif,c1bcf0b2530c34f4493ea8bb54356a134b1c0da24841e161e1c5996e9d9bda0c
29a94a4c05751d1b901a0d998a6858309c49b08d2d15fb5867fd6f2b5ada2036,8XML,ccr8_human,human,Ga-coupled-active,scFv,https://files.rcsb.org/download/8xml.cif,ffca56a2f0830c5abd5e2f7b9ef222fc7b79d0d8f348208000a7bb84447457a9
dbdc9acc2507df09dd439776aee6d39077733dccb935add3ff245eb6504e1159,8TLM,ccr8_human,human,inactive-antagonist,none,https://files.rcsb.org/download/8tlm.cif,203756aed32b506dd838e9e18488532929ad5b5425325f291b1fe43072678bfc
51e9a6f84552dcb4b07adab8755de6d1c696fb5e1565d8f9d6449fa314b26856,5XRA,cnr1_human,human,Ga-coupled-active,none,https://files.rcsb.org/download/5xra.cif,fa21aff35d94e853d53d4128d0ab5fccbaf0c3d4d022e88b47593fce4bdc0b0b
