test_case,pdbidchain_i,pdbidchain_j
5HT1B,6G79_S,5V54_A
5HT2A,8UWL_A,7WC7_A
5HT2C,8DPF_A,6BQH_A
AA1R,7LD3_R,5UEN_B
AA2AR,6GDG_A,5NM4_A
ACM2,7T94_A,5ZK8_A
ACM3,8E9Z_A,4U15_B
ACM4,7TRP_R,5DSG_B
ADA1A,8THK_R,8HN1_A
ADA2A,9CBL_R,6KUX_A
ADRB1,8DCS_R,4BVN_A
ADRB2,8GG0_R,6PS2_A
AGRE5,8IKL_R,8IKJ_R
B1B1U5,9EPP_R,6I9K_A
CALRL,6UVA_R,7KNT_R
CCKAR,7MBX_R,7F8U_A
CCR2,7XA3_R,6GPX_B
CCR5,7O7F_C,6MEO_B
CCR6,6WWZ_R,9D3G_A
CCR8,8XML_R,8TLM_C
CNR1,8GHV_D,9BA0_R
CXCR3,8HNM_R,8K2W_R
CXCR4,8U4N_R,3OE0_A
DRD2,7JVR_R,6CM4_A
DRD4,8IRU_R,5WIU_A
EDNRA,8HCQ_R,8XVL_R
EDNRB,8IY5_R,5GLI_A
FSHR,8I2G_R,8I2H_A
FZD7,7EVW_R,9EPO_D
GHSR,7NA8_R,6KO5_A
GLP1R,7RTB_R,5VEW_A
GPR6,8TYW_A,8T1V_A
HRH1,8YN2_R,8X5Y_B
HRH2,8YN3_R,7UL3_A
HRH3,8YN5_R,7F61_A
LSHR,7FII_R,7FIJ_R
MCHR1,8WWK_R,8YNS_R
MTR1A,7VGY_A,6ME2_A
NK1R,8U26_R,6E59_A
NPY2R,8K6N_E,7DDZ_A
NTR1,8FN1_A,7UL2_R
OPRK,8FEG_B,6VI4_B
OPRM,8E0G_A,7UL4_A
OPSD,4X1H_A,8A6E_A
OX2R,7L1V_R,5WQC_A
OXYR,7RYC_O,6TPK_A
PD2R2,8XXV_A,7M8W_A
S1PR5,7EW1_A,7YXA_A
SMO,6XBK_R,7ZI0_A
SSR2,7T10_R,7XN9_A
TSHR,7UTZ_R,7T9M_R
