slug,acc,queried_acc,ortholog_note,gtopdb_target_id,gtopdb_name,transducers,effectors,comment_head,status
5HT1B,P28222,P28222,,2,5-HT 1B receptor,G i /G o family,Adenylyl cyclase inhibition,,ok
5HT2A,P28223,P28223,,6,5-HT 2A receptor,G q /G 11 family || G i /G o family,Phospholipase C stimulation || Adenylyl cyclase inhibition,,ok
5HT2C,P28335,P28335,,8,5-HT 2C receptor,G q /G 11 family || G i /G o family,Phospholipase C stimulation || Adenylyl cyclase inhibition,,ok
5HT5A,P47898,P47898,,10,5-HT 5A receptor,G i /G o family || G q /G 11 family,Adenylyl cyclase inhibition || Phospholipase C stimulation,A pertussis toxin-sensitive inhibition of ADP-ribosyl cyclase has been observed .,ok
AA1R,P30542,P30542,,18,A 1 receptor,"G i /G o family || G s family, G q /G 11 family","Adenylyl cyclase inhibition || Adenylyl cyclase stimulation, Phospholipase C stimulation",,ok
AA2AR,P29274,P29274,,19,A 2A receptor,G s family || G q /G 11 family,"Adenylyl cyclase stimulation || Adenylyl cyclase stimulation, Phospholipase C stimulation",,ok
ACM1,P11229,P11229,,13,M 1 receptor,G q /G 11 family,Phospholipase C stimulation,,ok
ACM2,P08172,P08172,,14,M 2 receptor,"G i /G o family || G s family, G q /G 11 family","Adenylyl cyclase inhibition || Adenylyl cyclase stimulation, Phospholipase C stimulation",,ok
ACM4,P08173,P08173,,16,M 4 receptor,G i /G o family,Adenylyl cyclase inhibition,,ok
ADA1A,P35348,P35348,,22,&alpha; 1A -adrenoceptor,G q /G 11 family || G 12 /G 13 family,"Phospholipase C stimulation, Calcium channel, Other - See Comments || Phospholipase A 2 stimulation, Phospholipase D stimulation, Other - See Comments",The &alpha; 1A -adrenoceptor is coupled to calcium release and inositol phosphate production ( i.e. to G q ) more efficiently than the other &alpha; 1 -AR subtypes. The &alpha; 1A -adrenoceptor is coupled to activation and translocation of Snapin and the TRPC6 channel to the plasma membrane and subs,ok
ADA2A,P08913,P08913,,25,&alpha; 2A -adrenoceptor,G i /G o family || G s family,"Potassium channel, Calcium channel, Phospholipase A 2 stimulation || ",Inhibition of voltage dependent Ca 2+ channels Augmentation of inwardly rectifying K + channels.,ok
ADRB1,P08588,P08588,,28,&beta; 1 -adrenoceptor,G s family || G i /G o family,"Adenylyl cyclase stimulation || Guanylate cyclase stimulation, Other - See Comments","Stimulation of adenylate cyclase (AC) causes the conversion of ATP into cAMP. This activates protein kinase A, which in turn phosphorylates several substrates, for example L-type Ca 2+ channels.",ok
ADRB2,P07550,P07550,,29,&beta; 2 -adrenoceptor,G s family || G i /G o family, || Guanylate cyclase stimulation,"Stimulation of adenylate cyclase (AC) causes the conversion of ATP into cAMP. This activates protein kinase A, which in turn phosphorylates several substrates, for example L-type Ca 2+ channels. In skeletal muscle cAMP signalling is associated with mTORC2 activation that promotes GLUT4 translocation",ok
AGTR1,P30556,P30556,,34,AT 1 receptor,"G i /G o family, G q /G 11 family","Adenylyl cyclase inhibition, Phospholipase C stimulation, Calcium channel, Phospholipase A 2 stimulation, Phospholipase D stimulation, Other - See Comments","Other effectors and responses are inositol phosphate turnover, protein kinase C activation and RhoA activation. Other transducers are JAK2 resulting in STAT3 phosphorylation .; Src with effectors FAK, GIT1, CamK II, Cas ; pp60c-src with effector phospholipase C-gamma 1 ; &beta;-arrestin resulting in",ok
APJ,P35414,P35414,,36,apelin receptor,G i /G o family,Adenylyl cyclase inhibition,Downstream of G i activation apelin triggers a sharp increase in intracellular Ca 2+ levels and activates ERKs via a PKC dependent pathway. Apelin dependent activation of ERK and PI3Kinase leads to activation of p70S6 kinase in endothelial cells.,ok
B1B1U5,B1B1U5,B1B1U5,,,,,,,lookup-failed: HTTP Error 404: 404
C5AR1,P21730,P21730,,32,C5a 1 receptor,"G i /G o family, G protein (identity unknown) || G q /G 11 family","Phospholipase C stimulation, Other - See Comments || Phospholipase C stimulation","Studies of C5aR signalling have determined cell-specific activation of downstream pathways. For instance, in macrophages C5aR signals via protein kinase C (PKC) &delta; to induce NF&kappa;B activation and translocation to the nucleus, whereas in neutrophils C5aR induces activation of I&kappa;B, the ",ok
CCKAR,P32238,P32238,,76,CCK 1 receptor,G q /G 11 family || G s family,Phospholipase C stimulation || Adenylyl cyclase stimulation,,ok
CCR2,P41597,P41597,,59,CCR2,G i /G o family,,,ok
CCR5,P51681,P51681,,62,CCR5,G i /G o family || G i /G o family,Calcium channel || Adenylyl cyclase inhibition,,ok
CCR6,P51684,P51684,,63,CCR6,G i /G o family,Calcium channel,,ok
CCR8,P51685,P51685,,65,CCR8,G i /G o family,Calcium channel,,ok
CNR1,P21554,P21554,,56,CB 1 receptor,G i /G o family || G s family,"Adenylyl cyclase inhibition, Potassium channel, Calcium channel, Other - See Comments || Adenylyl cyclase stimulation",Activation of MAP kinase leading to immediate early gene expression,ok
CNR2,P34972,P34972,,57,CB 2 receptor,G i /G o family || G s family,"Adenylyl cyclase inhibition, Other - See Comments || Adenylyl cyclase stimulation",Activation of MAP kinase leading to immediate early gene expression .,ok
CXCR2,P25025,P25025,,69,CXCR2,G i /G o family || ,"Adenylyl cyclase inhibition, Calcium channel || Calcium channel, Other - See Comments",The &beta;&gamma; subunit of the G i G protein is necessary for chemotaxis and calcium mobilisation .,ok
CXCR3,P49682,P49682,,70,CXCR3,G i /G o family,Calcium channel,,ok
CXCR4,P61073,P61073,,71,CXCR4,G i /G o family,Calcium channel,,ok
DRD2,P14416,P14416,,215,D 2 receptor,"G i /G o family, G protein independent mechanism || ","Adenylyl cyclase inhibition, Other - See Comments || Potassium channel, Other - See Comments","Dopamine D 2 receptors can inhibit the Akt (protein kinase B) pathway through a &beta;-arrestin 2/Akt/protein phosphatase 2A complex . D 2L -induced inhibition of Akt is reported in pituitary lactotrophs, with D 2S -induced ERK stimulation also reported in these cells .",ok
DRD3,P35462,P35462,,216,D 3 receptor,G i /G o family,"Adenylyl cyclase inhibition, Potassium channel",,ok
DRD4,P21917,P21917,,217,D 4 receptor,G i /G o family,Adenylyl cyclase inhibition,,ok
EDNRA,P25101,P25101,,219,ET A receptor,G q /G 11 family,"Phospholipase C stimulation, Phospholipase A 2 stimulation, Phospholipase D stimulation","Activation of ET A receptors to produce a range of biological actions in different tissues is thought to be mediated by a number of transduction systems coupled to various types of G-protein, predominatly G q/11 but there is also evidence for G i/o (lactotrophs, myocytes), G i2 and G s . The major e",ok
EDNRB,P24530,P24530,,220,ET B receptor,"G s family, G i /G o family, G q /G 11 family","Phospholipase C stimulation, Phospholipase A 2 stimulation, Phospholipase D stimulation","Activation of ET B receptors to produce a range of biological actions in different tissues is thought to be mediated by a number of transduction systems coupled to various types of G-protein including G q /G 11 , G s , G q/13 and G i2 . The major enzymes systems activated include phospholipase C, A ",ok
FSHR,P23945,P23945,,253,FSH receptor,"G s family, G i /G o family, G q /G 11 family",Adenylyl cyclase stimulation,"In gonadal cells, the receptor primarily activates G s . However, other G proteins and signaling pathways have been reported as being activated.",ok
GHSR,Q92847,Q92847,,246,ghrelin receptor,"G q /G 11 family || G i /G o family, G 12 /G 13 family, G protein independent mechanism",Phospholipase C stimulation || Other - See Comments,,ok
GPR52,Q9Y2T5,Q9Y2T5,,108,GPR52,,,,NO-TRANSDUCTION-RECORD
GPR6,P46095,P46095,,85,GPR6,"G s family, G i /G o family","Adenylyl cyclase stimulation, Adenylyl cyclase inhibition",,ok
