backbone,aggregation,receptor,pearson_r,n_rows,sign
boltz,plddt_mean,5HT1B,-0.27470728052956234,50,neg
boltz,plddt_mean,5HT2C,-0.7509218076835362,50,neg
boltz,plddt_mean,5HT5A,-0.7388428934872125,50,neg
boltz,plddt_mean,AA1R,0.8248058125413041,50,pos
boltz,plddt_mean,AA2AR,0.11203234007377307,50,pos
boltz,plddt_mean,ACM2,-0.5542473954241905,50,neg
boltz,plddt_mean,ACM4,0.021035626676114083,50,pos
boltz,plddt_mean,ADRB2,0.8701400064892238,50,pos
boltz,plddt_mean,AGTR1,-0.2969676323845873,50,neg
boltz,plddt_mean,APJ,-0.6084616313174205,50,neg
boltz,plddt_mean,B1B1U5,-0.01345428810800373,45,neg
boltz,plddt_mean,CCR5,-0.15415748773330382,50,neg
boltz,plddt_mean,CNR1,-0.5311126745930769,50,neg
boltz,plddt_mean,CNR2,0.8771832924248621,50,pos
boltz,plddt_mean,CXCR2,0.2066470346212172,50,pos
boltz,plddt_mean,CXCR4,-0.5109035684179244,50,neg
boltz,plddt_mean,DRD2,0.656517275099778,50,pos
boltz,plddt_mean,EDNRB,-0.8141046021449768,50,neg
boltz,plddt_mean,FSHR,-0.6183950970662577,50,neg
boltz,plddt_mean,GHSR,0.262280029398613,50,pos
boltz,plddt_mean,GRPR,-0.5482081951206733,50,neg
boltz,plddt_mean,HRH1,-0.9490935165111877,50,neg
boltz,plddt_mean,LPAR1,-0.37077855320343767,50,neg
boltz,plddt_mean,LSHR,-0.7196300789903426,50,neg
boltz,plddt_mean,LT4R1,-0.6340170160634466,50,neg
boltz,plddt_mean,MCHR1,-0.7504514166566576,50,neg
boltz,plddt_mean,NPY1R,-0.9287331169088933,50,neg
boltz,plddt_mean,NPY2R,-0.312443751388639,50,neg
boltz,plddt_mean,OPRD,-0.8112707550214376,50,neg
boltz,plddt_mean,OPRK,-0.663032408195556,50,neg
boltz,plddt_mean,OPRX,0.4829945069961397,50,pos
boltz,plddt_mean,OPSD,-0.41028721697645293,50,neg
boltz,plddt_at_anchors,5HT1B,-0.9475484103940789,50,neg
boltz,plddt_at_anchors,5HT2C,-0.8663391166218113,50,neg
boltz,plddt_at_anchors,5HT5A,-0.7943798410852542,50,neg
boltz,plddt_at_anchors,AA1R,0.9303259875235924,50,pos
boltz,plddt_at_anchors,AA2AR,-0.34529863853614146,50,neg
boltz,plddt_at_anchors,ACM2,-0.5339984366272819,50,neg
boltz,plddt_at_anchors,ACM4,-0.9784054870209435,50,neg
boltz,plddt_at_anchors,ADRB2,0.8953582138141674,50,pos
boltz,plddt_at_anchors,AGTR1,-0.10108420347537415,50,neg
boltz,plddt_at_anchors,APJ,-0.7190943381381188,50,neg
boltz,plddt_at_anchors,B1B1U5,0.3362999259921897,45,pos
boltz,plddt_at_anchors,CCR5,-0.3814902653568845,50,neg
boltz,plddt_at_anchors,CNR1,-0.5466844022169964,50,neg
boltz,plddt_at_anchors,CNR2,-0.39529716783847413,50,neg
boltz,plddt_at_anchors,CXCR2,-0.490559894437425,50,neg
boltz,plddt_at_anchors,CXCR4,-0.8850882187942202,50,neg
boltz,plddt_at_anchors,DRD2,-0.7426521797817045,50,neg
boltz,plddt_at_anchors,EDNRB,-0.9255117655918706,50,neg
boltz,plddt_at_anchors,FSHR,-0.6422417558484859,50,neg
boltz,plddt_at_anchors,GHSR,-0.8631516001404919,50,neg
boltz,plddt_at_anchors,GRPR,-0.44759231682663353,50,neg
boltz,plddt_at_anchors,HRH1,-0.9649015415086629,50,neg
boltz,plddt_at_anchors,LPAR1,-0.7766769065236323,50,neg
boltz,plddt_at_anchors,LSHR,-0.7649703685670965,50,neg
boltz,plddt_at_anchors,LT4R1,-0.8733892782810693,50,neg
boltz,plddt_at_anchors,MCHR1,-0.7657982162936173,50,neg
boltz,plddt_at_anchors,NPY1R,-0.9776214162030892,50,neg
boltz,plddt_at_anchors,NPY2R,-0.7152706405524447,50,neg
boltz,plddt_at_anchors,OPRD,-0.8862463375333489,50,neg
boltz,plddt_at_anchors,OPRK,-0.8152454030917837,50,neg
boltz,plddt_at_anchors,OPRX,-0.1670062022256179,50,neg
boltz,plddt_at_anchors,OPSD,-0.44333233228234936,50,neg
boltz,min_plddt_at_anchor,5HT1B,-0.9189441525832519,50,neg
boltz,min_plddt_at_anchor,5HT2C,-0.8256306864234204,50,neg
boltz,min_plddt_at_anchor,5HT5A,-0.2873153041543681,50,neg
boltz,min_plddt_at_anchor,AA1R,-0.6653171317619894,50,neg
boltz,min_plddt_at_anchor,AA2AR,0.5415533186472092,50,pos
boltz,min_plddt_at_anchor,ACM2,-0.46785809326185235,50,neg
boltz,min_plddt_at_anchor,ACM4,-0.9298730971798796,50,neg
boltz,min_plddt_at_anchor,ADRB2,0.8440851793238389,50,pos
boltz,min_plddt_at_anchor,AGTR1,0.05294586943677722,50,pos
boltz,min_plddt_at_anchor,APJ,-0.6254366325648453,50,neg
boltz,min_plddt_at_anchor,B1B1U5,0.034615162349858945,45,pos
boltz,min_plddt_at_anchor,CCR5,-0.057889515371874985,50,neg
boltz,min_plddt_at_anchor,CNR1,-0.48395116950492384,50,neg
boltz,min_plddt_at_anchor,CNR2,-0.34023627809259366,50,neg
boltz,min_plddt_at_anchor,CXCR2,-0.46505955299841023,50,neg
boltz,min_plddt_at_anchor,CXCR4,-0.8455170179193785,50,neg
boltz,min_plddt_at_anchor,DRD2,-0.4064383884157295,50,neg
boltz,min_plddt_at_anchor,EDNRB,-0.9168505695201485,50,neg
boltz,min_plddt_at_anchor,FSHR,-0.5760814487686493,50,neg
boltz,min_plddt_at_anchor,GHSR,-0.8811862119225667,50,neg
boltz,min_plddt_at_anchor,GRPR,-0.2439712407445065,50,neg
boltz,min_plddt_at_anchor,HRH1,-0.8178878628651631,50,neg
boltz,min_plddt_at_anchor,LPAR1,-0.8430892717384461,50,neg
boltz,min_plddt_at_anchor,LSHR,-0.7818174990550747,50,neg
boltz,min_plddt_at_anchor,LT4R1,-0.735209394693727,50,neg
boltz,min_plddt_at_anchor,MCHR1,-0.6150681954660885,50,neg
boltz,min_plddt_at_anchor,NPY1R,-0.6326276053585569,50,neg
boltz,min_plddt_at_anchor,NPY2R,0.12062838373807357,50,pos
boltz,min_plddt_at_anchor,OPRD,-0.8406142266363203,50,neg
boltz,min_plddt_at_anchor,OPRK,-0.7706808092066003,50,neg
boltz,min_plddt_at_anchor,OPRX,-0.22548607399505927,50,neg
boltz,min_plddt_at_anchor,OPSD,-0.7943190038834351,50,neg
chai,plddt_mean,5HT1B,-0.6784789675137519,50,neg
chai,plddt_mean,5HT2C,0.9209014515400885,50,pos
chai,plddt_mean,5HT5A,-0.7349662974534223,50,neg
chai,plddt_mean,AA1R,0.9160198271305212,50,pos
chai,plddt_mean,AA2AR,0.9949447894215797,50,pos
chai,plddt_mean,ACM2,-0.9516011737977714,50,neg
chai,plddt_mean,ACM4,-0.7168633206932372,50,neg
chai,plddt_mean,ADRB2,0.5756166367430003,50,pos
chai,plddt_mean,AGTR1,-0.3845515620920806,50,neg
chai,plddt_mean,APJ,0.7244866948302393,50,pos
chai,plddt_mean,B1B1U5,0.6331004296436301,50,pos
chai,plddt_mean,CCR5,0.8283748761868852,50,pos
chai,plddt_mean,CNR1,-0.19444740683317174,50,neg
chai,plddt_mean,CNR2,-0.8316467209866721,50,neg
chai,plddt_mean,CXCR2,-0.9822129867612304,50,neg
chai,plddt_mean,CXCR4,-0.9697788767866052,50,neg
chai,plddt_mean,DRD2,0.9725500009788974,50,pos
chai,plddt_mean,EDNRB,0.1779432146891445,50,pos
chai,plddt_mean,FSHR,0.17860663412188277,50,pos
chai,plddt_mean,GHSR,-0.9621957440554256,50,neg
chai,plddt_mean,GRPR,0.9771736336306458,50,pos
chai,plddt_mean,HRH1,0.9229323178196409,50,pos
chai,plddt_mean,LPAR1,0.740802486544648,50,pos
chai,plddt_mean,LSHR,0.5263755245290134,50,pos
chai,plddt_mean,LT4R1,-0.4618181634485856,50,neg
chai,plddt_mean,MCHR1,-0.3224450619967624,50,neg
chai,plddt_mean,NPY1R,-0.9485792680022782,50,neg
chai,plddt_mean,NPY2R,0.9543275296313486,50,pos
chai,plddt_mean,OPRD,-0.9440796563344228,50,neg
chai,plddt_mean,OPRK,-0.6339362050438949,50,neg
chai,plddt_mean,OPRX,0.4906388945502772,50,pos
chai,plddt_mean,OPSD,-0.01417719079826432,50,neg
chai,plddt_at_anchors,5HT1B,-0.9506340955131671,50,neg
chai,plddt_at_anchors,5HT2C,-0.884531572879623,50,neg
chai,plddt_at_anchors,5HT5A,-0.7406849189070392,50,neg
chai,plddt_at_anchors,AA1R,0.9328435041703013,50,pos
chai,plddt_at_anchors,AA2AR,-0.3101476003215013,50,neg
chai,plddt_at_anchors,ACM2,-0.9855998774183078,50,neg
chai,plddt_at_anchors,ACM4,-0.9646567555442066,50,neg
chai,plddt_at_anchors,ADRB2,0.6031843424470594,50,pos
chai,plddt_at_anchors,AGTR1,0.5222300095868712,50,pos
chai,plddt_at_anchors,APJ,0.3772232794228802,50,pos
chai,plddt_at_anchors,B1B1U5,0.7053835985749384,50,pos
chai,plddt_at_anchors,CCR5,0.7796589273075974,50,pos
chai,plddt_at_anchors,CNR1,-0.12375162766902036,50,neg
chai,plddt_at_anchors,CNR2,-0.8525144299967362,50,neg
chai,plddt_at_anchors,CXCR2,-0.9874994606256817,50,neg
chai,plddt_at_anchors,CXCR4,-0.9948708093087677,50,neg
chai,plddt_at_anchors,DRD2,0.9154658430119856,50,pos
chai,plddt_at_anchors,EDNRB,0.28194761715707306,50,pos
chai,plddt_at_anchors,FSHR,-0.7785074016610207,50,neg
chai,plddt_at_anchors,GHSR,-0.9580369609022672,50,neg
chai,plddt_at_anchors,GRPR,0.9916183398182711,50,pos
chai,plddt_at_anchors,HRH1,-0.961795959779566,50,neg
chai,plddt_at_anchors,LPAR1,0.8212061590727967,50,pos
chai,plddt_at_anchors,LSHR,-0.9002299818987629,50,neg
chai,plddt_at_anchors,LT4R1,-0.17008280590198663,50,neg
chai,plddt_at_anchors,MCHR1,-0.33855838093462787,50,neg
chai,plddt_at_anchors,NPY1R,-0.9682683541777727,50,neg
