pdb_id,receptor,state,gpcr_class,experimental_method,resolution_A,deposition_date,fusion_partner,engineered_mutation_count,construct_contradicted_by_rcsb,predicate_window_hit,predicate_call,deviation,deviation_class
6G79,5HT1B,active,A,EM,3.78,2018-04-05,,,,False,expected_pass,False,
4IAR,5HT1B,inactive,A,X-ray,2.7,2012-12-07,BRIL,,,True,expected_fail,False,
8DPF,5HT2C,active,A,EM,2.84,2022-07-15,mini_G,,,False,active_fails_predicate,True,measurement_artifact
6BQH,5HT2C,inactive,A,X-ray,2.7,2017-11-27,BRIL,,,True,expected_fail,False,
7UM5,5HT5A,active,A,EM,2.73,2022-04-06,scFv,,,False,expected_pass,False,
7UM4,5HT5A,inactive,A,X-ray,2.8,2022-04-06,,,,False,expected_fail,False,
7LD3,AA1R,active,A,EM,3.2,2021-01-12,,,,False,expected_pass,False,
5UEN,AA1R,inactive,A,X-ray,3.2,2017-01-03,BRIL,,,True,expected_fail,False,
5G53,AA2AR,active,A,X-ray,3.4,2016-05-19,mini_Gs,,,False,expected_pass,False,
5MZP,AA2AR,inactive,A,X-ray,2.1,2017-02-01,BRIL,,,False,expected_fail,False,
5NM4,AA2AR,inactive,A,X-ray,1.7,2017-04-05,BRIL,,,False,expected_fail,False,
6ZFZ,ACM1,inactive,A,X-ray,2.17,2020-06-18,T4L,,,True,expected_fail,False,
7T94,ACM2,active,A,EM,3.16,2021-12-17,,,,False,expected_pass,False,
5ZKC,ACM2,inactive,A,X-ray,2.3,2018-03-23,BRIL,,,True,expected_fail,False,
7TRP,ACM4,active,A,EM,2.4,2022-01-30,scFv,,,False,expected_pass,False,
5DSG,ACM4,inactive,A,X-ray,2.6,2015-09-17,T4L,,,True,expected_fail,False,
6KUX,ADA2A,inactive,A,X-ray,2.7,2019-09-02,BRIL,,,True,expected_fail,False,
7BVQ,ADRB1,inactive,A,X-ray,2.5,2020-04-11,T4L,,,False,expected_fail,False,
4LDE,ADRB2,active,A,X-ray,2.79,2013-06-24,T4L,,,False,expected_pass,False,
2RH1,ADRB2,inactive,A,X-ray,2.4,2007-10-05,,,,False,expected_fail,False,
3NYA,ADRB2,inactive,A,X-ray,3.16,2010-07-14,T4L,,,False,expected_fail,False,
6PS2,ADRB2,inactive,A,X-ray,2.4,2019-07-12,T4L,,,True,expected_fail,False,
6OS2,AGTR1,active,A,X-ray,2.7,2019-05-01,BRIL,,,False,expected_pass,False,
4ZUD,AGTR1,inactive,A,X-ray,2.8,2015-05-15,BRIL,,,False,expected_fail,False,
8XZH,APJ,active,A,EM,2.6,2024-01-21,scFv,,,False,expected_pass,False,
8S4D,APJ,inactive,A,X-ray,2.584,2024-02-21,BRIL,,,True,expected_fail,False,
9EPR,B1B1U5,active,A,EM,4.9,2024-03-19,,,,False,active_fails_predicate,True,expected_biology
6I9K,B1B1U5,inactive,A,X-ray,2.145,2018-11-23,,,,False,expected_fail,False,
7F8Y,CCKAR,inactive,A,X-ray,2.5,2021-07-02,T4L,,,True,expected_fail,False,
7F1S,CCR5,active,A,EM,2.8,2021-06-09,,,,False,expected_pass,False,
4MBS,CCR5,inactive,A,X-ray,2.71,2013-08-19,,,,False,expected_fail,False,
5UIW,CCR5,inactive,A,X-ray,2.204,2017-01-15,rubredoxin,,,True,expected_fail,False,
5XRA,CNR1,active,A,X-ray,2.8,2017-06-08,,,,False,expected_pass,False,
5TGZ,CNR1,inactive,A,X-ray,2.8,2016-09-28,,,,False,expected_fail,False,
5U09,CNR1,inactive,A,X-ray,2.6,2016-11-23,,,,False,expected_fail,False,
8GUR,CNR2,active,A,EM,2.84,2022-09-13,scFv,,,False,expected_pass,False,
5ZTY,CNR2,inactive,A,X-ray,2.8,2018-05-05,T4L,,,True,expected_fail,False,
6LFO,CXCR2,active,A,EM,3.4,2019-12-03,scFv,,,False,expected_pass,False,
6LFL,CXCR2,inactive,A,X-ray,3.2,2019-12-03,,,,False,expected_fail,False,
8U4N,CXCR4,active,A,EM,2.72,2023-09-11,,,,False,expected_pass,False,
3ODU,CXCR4,inactive,A,X-ray,2.5,2010-08-11,T4L,,,False,expected_fail,False,
7JVR,DRD2,active,A,EM,2.8,2020-08-22,BRIL,,,False,expected_pass,False,
6CM4,DRD2,inactive,A,X-ray,2.867,2018-03-02,T4L,,,True,expected_fail,False,
3PBL,DRD3,inactive,A,X-ray,2.89,2010-10-20,T4L,,,True,expected_fail,False,
8XVK,EDNRA,inactive,A,EM,3.21,2024-01-15,BRIL,,,False,missing_axis,False,
8IY5,EDNRB,active,A,EM,2.8,2023-04-04,scFv,,,False,missing_axis,False,
6IGK,EDNRB,inactive,A,X-ray,2.0,2018-09-25,T4L,,,False,missing_axis,False,
8I2G,FSHR,active,A,EM,2.8,2023-01-14,,,,False,expected_pass,False,
8I2H,FSHR,inactive,A,EM,6.0,2023-01-14,,,,False,missing_axis,False,
7NA7,GHSR,active,A,EM,2.7,2021-06-20,,,,False,expected_pass,False,
7F83,GHSR,inactive,A,X-ray,2.94,2021-07-01,BRIL,,,False,expected_fail,False,
7W40,GRPR,active,A,EM,3.0,2021-11-26,mini_Gq,,,False,missing_axis,False,
7W41,GRPR,inactive,A,X-ray,2.952,2021-11-26,,,,False,missing_axis,False,
8YN2,HRH1,active,A,EM,2.66,2024-03-10,scFv,,,False,expected_pass,False,
8X5Y,HRH1,inactive,A,EM,3.0,2023-11-20,BRIL,,,True,expected_fail,False,
7F61,HRH3,inactive,A,X-ray,2.6,2021-06-23,BRIL,,,False,missing_axis,False,
7TD0,LPAR1,active,A,EM,2.83,2021-12-30,,,,False,expected_pass,False,
4Z36,LPAR1,inactive,A,X-ray,2.9,2015-03-30,BRIL,,,True,expected_fail,False,
7FIH,LSHR,active,A,EM,3.2,2021-07-31,,,,False,expected_pass,False,
7FIJ,LSHR,inactive,A,EM,3.8,2021-07-31,,,,False,missing_axis,False,
7VKT,LT4R1,active,A,EM,2.9,2021-10-01,scFv,,,False,expected_pass,False,
7K15,LT4R1,inactive,A,X-ray,2.88,2020-09-07,,,,False,expected_fail,False,
8WWK,MCHR1,active,A,EM,2.61,2023-10-25,scFv,,,False,active_fails_predicate,True,unclassified
8YNS,MCHR1,inactive,A,EM,3.33,2024-03-11,BRIL,,,True,expected_fail,False,
7X9A,NPY1R,active,A,EM,3.2,2022-03-15,,,,False,expected_pass,False,
5ZBQ,NPY1R,inactive,A,X-ray,2.7,2018-02-12,T4L,,,False,expected_fail,False,
7YON,NPY2R,active,A,EM,2.95,2022-08-01,scFv,,,False,expected_pass,False,
7DDZ,NPY2R,inactive,A,X-ray,2.8,2020-10-30,T4L,,,False,expected_fail,False,
6PT2,OPRD,active,A,X-ray,2.8,2019-07-14,BRIL,,,False,active_fails_predicate,True,curation_error
4N6H,OPRD,inactive,A,X-ray,1.8,2013-10-12,BRIL,,,False,expected_fail,False,
8FEG,OPRK,active,A,EM,2.54,2022-12-06,scFv,,,False,expected_pass,False,
4DJH,OPRK,inactive,A,X-ray,2.9,2012-02-01,T4L,,,True,expected_fail,False,
8F7X,OPRX,active,A,EM,3.28,2022-11-20,scFv,,,False,expected_pass,False,
5DHH,OPRX,inactive,A,X-ray,3.004,2015-08-31,BRIL,,,False,expected_fail,False,
4X1H,OPSD,active,A,X-ray,2.29,2014-11-24,,,,False,expected_pass,False,
7ZBC,OPSD,inactive,A,X-ray,1.8,2022-03-23,,,,False,expected_fail,False,
5WQC,OX2R,inactive,A,X-ray,1.96,2016-11-25,,,,False,expected_fail,False,
6P9X,CRHR1,active,B,EM,2.91,2019-06-10,,,,False,expected_pass,False,
4K5Y,CRHR1,inactive,B,X-ray,2.977,2013-04-15,,,,False,inactive_passes_predicate,True,unclassified
6LMK,GCGR,active,B,EM,3.7,2019-12-26,,,,False,expected_pass,False,
5XEZ,GCGR,inactive,B,X-ray,3.0,2017-04-06,,,,False,expected_fail,False,
6X18,GLP1R,active,B,EM,2.1,2020-05-18,,,,False,expected_pass,False,
5VEW,GLP1R,inactive,B,X-ray,2.7,2017-04-05,,,,False,inactive_passes_predicate,True,unclassified
8FLQ,PTH1R,active,B,EM,2.55,2022-12-22,,,,False,expected_pass,False,
6FJ3,PTH1R,inactive,B,X-ray,2.5,2018-01-19,,,,False,expected_fail,False,
8WMA,FZD4,active,F,EM,3.47,2023-10-03,,,,False,expected_pass,False,
8WM9,FZD4,active,F,EM,3.53,2023-10-03,,,,False,expected_pass,False,
