prediction_path,prediction_sha,experiment_slug,wave_group,branch,tier,backbone,receptor_from_path_substring,receptor_resolved,disambig_conflict,receptor_unresolved_in_original,expected_control_json,new_seed,request_id,seed_index,state_claim,species,partner_type,partner_identity,partner_perturbation,receptor_class,input_path,input_sha,pre_check_status,pre_check_details_json,seed_used,ligand_type,ligand_sequence,ligand_smiles,samples_per_seed,ligand_role,ligand_bound_pdb,ligand_ccd,ligand_smiles_source
/hpc/scratch/sengaad1/paper_af3/experiments/022_tier_d1_deep_apo/smoke/pool/pool/cnr2/apo_no_ligand/apo/boltz/seed_1965127769/model_0.cif,,tier_d1_cnr2_apo_boltz_seed0,tier_d1_2026_09_06,propose,tier_d1,boltz,CNR2,CNR2,false,false,,1965127769,tier_d1_cnr2_apo_boltz_seed0,0,apo,human,apo,,wt,A,/hpc/scratch/sengaad1/paper_af3/experiments/022_tier_d1_deep_apo/smoke/pool/inputs/boltz/tier_d1_cnr2_apo_boltz_seed0.yaml,b69c08bf0b3724c52e080777f07bcd00c518cd7182d44d959e60c7386a4efe06,pass,,1965127769,,,,100,,,,
/hpc/scratch/sengaad1/paper_af3/experiments/022_tier_d1_deep_apo/smoke/pool/pool/cnr2/apo_no_ligand/apo/boltz/seed_1060594406/model_0.cif,,tier_d1_cnr2_apo_boltz_seed1,tier_d1_2026_09_06,propose,tier_d1,boltz,CNR2,CNR2,false,false,,1060594406,tier_d1_cnr2_apo_boltz_seed1,1,apo,human,apo,,wt,A,/hpc/scratch/sengaad1/paper_af3/experiments/022_tier_d1_deep_apo/smoke/pool/inputs/boltz/tier_d1_cnr2_apo_boltz_seed1.yaml,b69c08bf0b3724c52e080777f07bcd00c518cd7182d44d959e60c7386a4efe06,pass,,1060594406,,,,100,,,,
/hpc/scratch/sengaad1/paper_af3/experiments/022_tier_d1_deep_apo/smoke/pool/pool/cnr2/apo_no_ligand/apo/boltz/seed_1800878580/model_0.cif,,tier_d1_cnr2_apo_boltz_seed2,tier_d1_2026_09_06,propose,tier_d1,boltz,CNR2,CNR2,false,false,,1800878580,tier_d1_cnr2_apo_boltz_seed2,2,apo,human,apo,,wt,A,/hpc/scratch/sengaad1/paper_af3/experiments/022_tier_d1_deep_apo/smoke/pool/inputs/boltz/tier_d1_cnr2_apo_boltz_seed2.yaml,b69c08bf0b3724c52e080777f07bcd00c518cd7182d44d959e60c7386a4efe06,pass,,1800878580,,,,100,,,,
/hpc/scratch/sengaad1/paper_af3/experiments/022_tier_d1_deep_apo/smoke/pool/pool/cnr2/apo_no_ligand/apo/boltz/seed_1330640762/model_0.cif,,tier_d1_cnr2_apo_boltz_seed3,tier_d1_2026_09_06,propose,tier_d1,boltz,CNR2,CNR2,false,false,,1330640762,tier_d1_cnr2_apo_boltz_seed3,3,apo,human,apo,,wt,A,/hpc/scratch/sengaad1/paper_af3/experiments/022_tier_d1_deep_apo/smoke/pool/inputs/boltz/tier_d1_cnr2_apo_boltz_seed3.yaml,b69c08bf0b3724c52e080777f07bcd00c518cd7182d44d959e60c7386a4efe06,pass,,1330640762,,,,100,,,,
/hpc/scratch/sengaad1/paper_af3/experiments/022_tier_d1_deep_apo/smoke/pool/pool/cnr2/apo_no_ligand/apo/boltz/seed_1015473677/model_0.cif,,tier_d1_cnr2_apo_boltz_seed4,tier_d1_2026_09_06,propose,tier_d1,boltz,CNR2,CNR2,false,false,,1015473677,tier_d1_cnr2_apo_boltz_seed4,4,apo,human,apo,,wt,A,/hpc/scratch/sengaad1/paper_af3/experiments/022_tier_d1_deep_apo/smoke/pool/inputs/boltz/tier_d1_cnr2_apo_boltz_seed4.yaml,b69c08bf0b3724c52e080777f07bcd00c518cd7182d44d959e60c7386a4efe06,pass,,1015473677,,,,100,,,,
/hpc/scratch/sengaad1/paper_af3/experiments/022_tier_d1_deep_apo/smoke/pool/pool/cnr2/apo_no_ligand/apo/chai/seed_1965127769/model_0.cif,,tier_d1_cnr2_apo_chai_seed0,tier_d1_2026_09_06,propose,tier_d1,chai,CNR2,CNR2,false,false,,1965127769,tier_d1_cnr2_apo_chai_seed0,0,apo,human,apo,,wt,A,/hpc/scratch/sengaad1/paper_af3/experiments/022_tier_d1_deep_apo/smoke/pool/inputs/chai/tier_d1_cnr2_apo_chai_seed0.fasta,4ebc01dcecc9b6a1a6e3b42377ff617c54df98e1e5ae5eba92e3f0c5b489ff09,pass,,1965127769,,,,100,,,,
/hpc/scratch/sengaad1/paper_af3/experiments/022_tier_d1_deep_apo/smoke/pool/pool/cnr2/apo_no_ligand/apo/chai/seed_1060594406/model_0.cif,,tier_d1_cnr2_apo_chai_seed1,tier_d1_2026_09_06,propose,tier_d1,chai,CNR2,CNR2,false,false,,1060594406,tier_d1_cnr2_apo_chai_seed1,1,apo,human,apo,,wt,A,/hpc/scratch/sengaad1/paper_af3/experiments/022_tier_d1_deep_apo/smoke/pool/inputs/chai/tier_d1_cnr2_apo_chai_seed1.fasta,4ebc01dcecc9b6a1a6e3b42377ff617c54df98e1e5ae5eba92e3f0c5b489ff09,pass,,1060594406,,,,100,,,,
/hpc/scratch/sengaad1/paper_af3/experiments/022_tier_d1_deep_apo/smoke/pool/pool/cnr2/apo_no_ligand/apo/chai/seed_1800878580/model_0.cif,,tier_d1_cnr2_apo_chai_seed2,tier_d1_2026_09_06,propose,tier_d1,chai,CNR2,CNR2,false,false,,1800878580,tier_d1_cnr2_apo_chai_seed2,2,apo,human,apo,,wt,A,/hpc/scratch/sengaad1/paper_af3/experiments/022_tier_d1_deep_apo/smoke/pool/inputs/chai/tier_d1_cnr2_apo_chai_seed2.fasta,4ebc01dcecc9b6a1a6e3b42377ff617c54df98e1e5ae5eba92e3f0c5b489ff09,pass,,1800878580,,,,100,,,,
/hpc/scratch/sengaad1/paper_af3/experiments/022_tier_d1_deep_apo/smoke/pool/pool/cnr2/apo_no_ligand/apo/chai/seed_1330640762/model_0.cif,,tier_d1_cnr2_apo_chai_seed3,tier_d1_2026_09_06,propose,tier_d1,chai,CNR2,CNR2,false,false,,1330640762,tier_d1_cnr2_apo_chai_seed3,3,apo,human,apo,,wt,A,/hpc/scratch/sengaad1/paper_af3/experiments/022_tier_d1_deep_apo/smoke/pool/inputs/chai/tier_d1_cnr2_apo_chai_seed3.fasta,4ebc01dcecc9b6a1a6e3b42377ff617c54df98e1e5ae5eba92e3f0c5b489ff09,pass,,1330640762,,,,100,,,,
/hpc/scratch/sengaad1/paper_af3/experiments/022_tier_d1_deep_apo/smoke/pool/pool/cnr2/apo_no_ligand/apo/chai/seed_1015473677/model_0.cif,,tier_d1_cnr2_apo_chai_seed4,tier_d1_2026_09_06,propose,tier_d1,chai,CNR2,CNR2,false,false,,1015473677,tier_d1_cnr2_apo_chai_seed4,4,apo,human,apo,,wt,A,/hpc/scratch/sengaad1/paper_af3/experiments/022_tier_d1_deep_apo/smoke/pool/inputs/chai/tier_d1_cnr2_apo_chai_seed4.fasta,4ebc01dcecc9b6a1a6e3b42377ff617c54df98e1e5ae5eba92e3f0c5b489ff09,pass,,1015473677,,,,100,,,,
