receptor,family_term_continuous,family_term_logit,active_npxxy,active_tilt,inactive_npxxy,inactive_tilt,delta_ref_npxxy,delta_ref_tilt,cognate_family,n_ga_families,deposition_count,saturation_frac_backbones,cluster_id
5HT1B,-0.6646488120323144,0.0,4.238369,18.102001,12.806994,14.307471,-8.568625,3.7945300000000017,Gi,1,2,1.0,serotonin
5HT2C,-1.2565345274441413,0.9417671482845376,12.512647,18.098203,13.786539,13.065319,-1.273892,5.032884000000001,Gq,1,2,0.0,serotonin
5HT5A,-0.631946653912649,1.2738128786844656,4.729313,19.10267,19.337905,12.984186,-14.608591999999998,6.1184840000000005,Gi,1,2,1.0,serotonin
AA1R,-1.087047101614305,1.7778480398001189,3.592835,17.251749,9.348256,12.072575,-5.755420999999999,5.179174,Gi,1,2,0.5,adenosine
AA2AR,2.731827283876144,1.141087047866959,3.705183,18.097355,9.728057,11.993556,-6.022874,6.103799,Gs,1,2,0.75,adenosine
ACM1,,-0.2872347331061411,2.959601,17.693062,13.663578,13.04154,-10.703976999999998,4.651522000000002,Gq,1,2,0.5,muscarinic
ACM2,-1.2829785030400234,1.9001943629321492,4.593587,18.110114,18.217092,12.439141,-13.623505000000002,5.670973,Gi,1,2,1.0,muscarinic
ACM4,0.4870031275961808,3.8671544221766436,3.653821,17.8798,16.433725,11.981812,-12.779903999999998,5.897988,Gi,1,2,0.75,muscarinic
ADA2A,,2.2267572762937378,4.8432,19.878708,10.244415,11.985022,-5.401215,7.893685999999999,Gi,1,2,1.0,adrenergic_alpha
ADRB1,,0.19602973969141824,4.499691,18.426126,13.029647,12.020207,-8.529956,6.405919000000001,Gs,1,2,0.75,adrenergic_beta
ADRB2,1.392142996460461,-0.6263814842476837,4.813055,17.562509,11.329339,11.751301,-6.516283999999999,5.811207999999999,Gs,1,2,0.75,adrenergic_beta
AGTR1,-0.20201159735516905,1.4522544956251355,4.046676,19.086054,11.779238,11.228495,-7.732562,7.857559,Gq,3,2,1.0,angiotensin
APJ,-0.18785681455448083,2.5349378306967187,4.043322,17.467266,24.623482,15.174833,-20.58016,2.292432999999999,Gi,2,2,0.5,apelin
B1B1U5,-0.6823107826252675,-0.46354199409438546,11.867379,17.707573,10.512672,10.982377,1.3547069999999994,6.725196,Gi,2,2,0.75,opsin_invertebrate_jsr1
CCKAR,,0.17844161694067018,4.001288,16.85691,10.546945,12.384393,-6.545656999999999,4.472517,Gq,2,2,1.0,cholecystokinin
CCR5,-1.0364463031869096,-0.9887416324173792,5.388406,18.795467,12.623324,12.239835,-7.234918,6.555631999999999,Gi,1,2,0.75,chemokine_ccr
CNR1,-1.9404177348637974,1.2738128786844656,5.101418,17.020023,11.607256,11.101174,-6.505838,5.918848999999998,Gi,1,2,1.0,cannabinoid
CNR2,-1.8476086720693425,0.371467234927668,3.276825,16.390009,10.07939,11.501553,-6.8025649999999995,4.888456,Gi,1,2,0.75,cannabinoid
CXCR2,-0.3711166865532942,0.47484753335510477,6.144642,17.447652,10.154104,12.122142,-4.009462,5.325510000000001,Gi,1,2,1.0,chemokine_cxcr
CXCR4,-0.2593058494220555,-1.2738128786844656,4.21974,17.527038,13.799197,12.850828,-9.579457,4.676210000000001,Gi,1,2,0.75,chemokine_cxcr
DRD2,-1.7500957597976268,0.7368396723174435,4.252152,17.58596,10.030448,11.445926,-5.778296,6.140034,Gi,1,2,1.0,dopamine
DRD3,,4.416238837006142,4.044433,17.180118,10.782954,11.75604,-6.738521,5.424078,Gi,1,2,0.75,dopamine
EDNRA,,0.0,,15.81446,,12.060674,,3.753786,Gq,3,2,0.0,endothelin
EDNRB,-0.30789014669425097,0.0,,15.772686,,13.048519,,2.7241669999999996,Gq,2,2,0.0,endothelin
FSHR,0.6119077934641899,0.0,3.877782,17.944981,,12.672356,,5.272624999999998,Gs,2,2,1.0,glycohormone
GHSR,-0.4626504351712992,1.988637409002342,4.833446,17.977742,10.05596,12.686695,-5.222514,5.291046999999999,Gq,3,2,0.75,ghrelin
GRPR,2.070100206719756,0.0,,16.978758,,11.592279,,5.386479,Gq,1,2,0.0,bombesin
HRH1,0.4699380570355529,1.958598075727609,4.505451,17.385388,15.220014,12.298115,-10.714563000000002,5.087273,Gq,1,2,0.75,histamine
HRH3,,0.0,,17.426702,,13.677417,,3.7492849999999986,Gi,1,2,0.0,histamine
LPAR1,-0.653925458498072,1.4597606070291405,4.215411,17.765247,9.408003,11.225246,-5.192592000000001,6.540000999999998,Gi,3,2,0.5,lysophosphatidic
LSHR,0.5007355439904613,0.0,2.839107,18.452017,,11.295461,,7.156556000000002,Gs,2,2,1.0,glycohormone
