receptor	needed	role_gpcrdb	function_raw	ligand_name	ligand_ccd	bound_pdb	is_our_reference	state	resolution	species	smiles	curation_note
S1PR1	both	agonist	Agonist	siponimod	J8C	7TD4	yes	Active	2.6	Homo sapiens	CCc1cc(ccc1CN1CC(C1)C(=O)O)/C(=N/OCc1ccc(c(c1)C(F)(F)F)C1CCCCC1)/C	
S1PR1	both	antagonist	Antagonist	W146	ML5	3V2Y	yes	Inactive	2.8	Homo sapiens	CCCCCCc1cccc(c1)NC(=O)[C@@H](CCP(=O)(O)O)N	
S1PR1	both	agonist	Agonist	(S)-FTY720-phosphate	J89	7VIF		Active	2.83	Homo sapiens	CCCCCCCCc1ccc(cc1)CC[C@@](COP(=O)(O)O)(CO)N	
S1PR1	both	agonist	Agonist	sphingosine 1-phosphate	S1P	7VIE		Active	2.86	Homo sapiens	CCCCCCCCCCCCC/C=C/[C@H]([C@H](COP(=O)(O)O)N)O	
S1PR1	both	agonist	Agonist	icanbelimod	7I4	7VIG		Active	2.89	Homo sapiens	Fc1c(ccc(c1)c1noc(n1)c1ccc(cc1)CC(C)C)CN1CC(C1)C(=O)O	
S1PR1	both	agonist	Agonist	cenerimod	JER	7EVZ		Active	3.07	Homo sapiens	OC[C@@H](COc1c(C)cc(cc1CC)c1noc(n1)c1cc(OC)nc(c1)C1CCCC1)O	
S1PR1	both	agonist	Agonist	SEW2871	JEX	7EW7		Active	3.27	Homo sapiens	FC(c1sc(cc1c1ccccc1)c1onc(n1)c1cccc(c1)C(F)(F)F)(F)F	
S1PR1	both	agonist	Agonist	ozanimod	JEU	7EW0		Active	3.42	Homo sapiens	OCCN[C@H]1CCc2c1cccc2c1noc(n1)c1ccc(c(c1)C#N)OC(C)C	
S1PR1	both	agonist	Agonist	SAR247799	A1LYQ	8YIC		Active	3.47	Homo sapiens	OC(=O)COc1c(C)cc(cc1C)c1nc2c(o1)nc(nc2)Oc1cccc(c1)Cl	
CCKAR	agonist	antagonist	Antagonist	lintitript	1OE	7F8U	yes	Inactive	2.8	Homo sapiens	OC(=O)Cn1c(cc2c1cccc2)C(=O)Nc1scc(n1)c1ccccc1Cl	curated agonist is CCK-8 peptide
CCKAR	agonist	antagonist	Antagonist	DEVAZEPIDE	1OZ	7F8Y		Inactive	2.5	Homo sapiens	CN1C(=O)[C@@H](NC(=O)c2cc3ccccc3[nH]2)N=C(c2ccccc2)c2ccccc21	curated agonist is CCK-8 peptide
CCKAR	agonist	agonist	Agonist	SR146131	IA1	7XOV		Active	3.0	Homo sapiens	COc1cc(Cl)c(cc1c1nc(sc1CCC1CCCCC1)NC(=O)c1cc2c(n1CC(=O)O)c(C)cc(c2)C)OC	curated agonist is CCK-8 peptide
GHSR	both	antagonist	Antagonist	CHEMBL1956994	8QX	6KO5	yes	Inactive	3.3	Homo sapiens	Cc1nc2ccc(Oc3ccc(Br)cc3F)nc2c(=O)n1C[C@H]1CCCN(C(C)C)C1	curated agonist is ghrelin peptide
GHSR	both	agonist	Agonist	ibutamoren	1KD	7NA8		Active	2.7	Homo sapiens	O=C([C@H](NC(=O)C(N)(C)C)COCc1ccccc1)N1CCC2(CC1)CN(c1c2cccc1)S(=O)(=O)C	curated agonist is ghrelin peptide
GHSR	both	antagonist	Inverse agonist	PF-05190457	1KQ	7F83		Inactive	2.94	Homo sapiens	Cc1ncnc(c1)c1ccc2c(c1)CC[C@H]2N1CC2(C1)CCN(CC2)C(=O)Cc1nc2n(c1)cc(s2)C	curated agonist is ghrelin peptide
ADRB1	antagonist	antagonist	Inverse agonist	Carazolol	CAU	7BVQ	yes	Inactive	2.5	Homo sapiens	CC(C)NC[C@@H](COC1=CC=CC2=C1C3=CC=CC=C3N2)O	placeholder row, no SMILES/PDB
