citekey,fig_no,form,plot_type,has_defect,"hand-picked or k-of-N example, rule unstated",n or counts not shown,"axis broken, truncated or pinned",axes not comparable across panels,bar or mean standing in for a distribution,"no dispersion, error bar, CI or test",pooled where per-system was needed,two measures on one axis,claim with no quantitative panel,oracle-selected model displayed,failures not shown beside successes,other / uncategorised,hides
abramson2024af3,1A-B,RENDER,structure render,1,1,0,0,0,1,0,0,0,0,0,0,0,"Sample count behind each render not given; accuracy quoted in the caption (LDDT/GDT) has no distribution behind it — these are 2 hand-picked systems standing in front of a 8,856-complex evaluation set"
abramson2024af3,1C,PLOT,bar,1,0,0,0,0,0,0,0,1,0,0,0,0,"**Four different measures share one ""Success (%)"" axis** — % r.m.s.d. < 2 Å, interface LDDT, LDDT and % DockQ > 0.23 are plotted at the same scale, so bar heights are not comparable across sub-panels even though the eye reads them that way. The single ""AF3 2019 cut-off"" ligand bar silently comes fro"
abramson2024af3,1D,SCHEMATIC,schematic,0,0,0,0,0,0,0,0,0,0,0,0,0,—
abramson2024af3,2A-C,SCHEMATIC,schematic,0,0,0,0,0,0,0,0,0,0,0,0,0,—
abramson2024af3,2D,PLOT,line + scatter,1,0,1,1,0,0,0,0,0,0,1,0,0,"**The y-axis starts at 30, not 0**, which magnifies the fine-tuning gains; the curve is on **the evaluation set that also supplies the reported accuracies** (see `oracle_leakage` route 4) and the figure does not say so; no n behind any curve"
abramson2024af3,3A-F,RENDER,structure render,1,0,0,0,0,0,0,0,0,0,0,1,0,Examples were selected with training-set similarity in hand (p4) and the selection rule lives in the unheld Supp. Methods 8.1; no failure examples appear here (they are quarantined to Fig. 5)
abramson2024af3,4A,PLOT,box,1,0,0,0,0,0,0,0,0,0,0,0,1,"Boxes show 5–95% whiskers, so the worst 5% of each band — the cases a confidence-based decision would actually get wrong — are cut off; **no homology filtering** on this set (p5) and the caption does not say so"
abramson2024af3,4B,PLOT,bar (stacked),1,0,0,0,0,0,1,0,0,0,0,0,0,"**The lowest-confidence bar rests on n = 7 clusters** and is drawn at the same visual weight as the n = 481 bar, with no CI; the stacked-to-100% form makes every bar the same height regardless of n"
abramson2024af3,4C,PLOT,box,1,0,0,0,0,0,0,0,0,0,0,0,1,"The measure is **LDDT_to_polymer, chosen because it is ""closely related to how the confidence prediction is trained""** (p9) — a self-consistent pairing the panel does not flag; no homology filtering"
abramson2024af3,4D,RENDER,structure render,1,0,0,0,0,0,0,0,0,0,0,0,1,"No ground-truth overlay, so the reader cannot check the pLDDT colouring against actual error on this example"
abramson2024af3,4E,MATRIX,heatmap,0,0,0,0,0,0,0,0,0,0,0,0,0,—
abramson2024af3,4F,MATRIX,heatmap,1,0,0,0,0,0,0,0,0,0,0,0,1,"Colour scale saturates at 30 Å, so all badly-placed pairs render identically"
abramson2024af3,5A,PLOT,line,1,0,0,0,1,0,0,0,0,0,0,0,0,"Both panels' y-axes start above 0 and **the two panels use different y-ranges** (≈15–65 and 0–40), so the AF3/AF-M gap looks similar in both when it is not; the x-axis stops at 1,000 with the curve still rising, which the text concedes (""keep improving … even at as many as 1,000"")"
abramson2024af3,5B,RENDER,structure render,1,1,0,0,0,0,0,0,0,0,0,0,0,"**The paper's only evidence for three of its four stated limitations is one hand-picked render each**, with no rate attached except the 4.4% chirality figure in the text; 7PEU is shown without a ground-truth overlay"
abramson2024af3,5C,RENDER,structure render,1,0,1,0,0,0,0,0,0,1,0,0,0,"**This is the paper's entire quantitative case for its conformational limitation and it carries no quantitative panel at all** — no inter-domain distance value, no threshold, no count of how many of the 10 apo samples were closed, no confidence values, and n = 1 system. Split from row 5B because `ov"
abramson2024af3,ED1A,RENDER,structure render,1,0,0,0,0,0,0,0,0,1,0,0,0,"No ground truth shown (there is none for a disordered protein), so ""hallucination"" is judged by compactness by eye; 1 protein of 151"
abramson2024af3,ED1B,PLOT,line (ROC),1,0,0,0,0,0,1,0,0,0,0,0,0,"Five of the six curves are near-superimposed in the top-left corner, so only the ablated RASA curve is visually separable; no CI on any AUC"
abramson2024af3,ED2,PLOT,line + scatter,1,0,0,0,0,0,0,0,0,0,0,0,1,Same evaluation-set-as-training-monitor issue as Fig. 2D
abramson2024af3,ED3,RENDER,structure render,1,0,0,0,0,0,0,0,0,0,0,0,1,**Cases selected by the baseline's failure** (route 7 design-level selection); no matching panel of cases where AF3 failed and the baselines did not
abramson2024af3,ED4A-E,PLOT,bar,1,0,0,0,0,0,0,0,0,0,0,0,1,"Panel **c is the anti-memorization control and its bar values are not printed** (only e and d print numbers), so the most reusable result in the figure must be read off pixel heights; the n = 38 low-homology bin has a visibly wide CI that the text never quantifies"
abramson2024af3,ED4F,PLOT,bar,1,0,0,0,0,0,0,0,0,0,0,0,1,"**~12 of 18 checks sit at or near 100% for both methods** (numeric saturation — cross-reference `metric_saturation`), so most of the panel's width carries no information; no CIs drawn on the bars"
abramson2024af3,ED5A,PLOT,bar,1,0,0,0,0,0,0,0,0,0,0,0,1,"Missing bars are annotated as ""No results from AIchemy_RNA"" / ""No results from RoseTTAFold2NA"" for 4 of 10 targets, so **the per-method means are over different target sets**; R1136's score is against ""the closest state"" of multiple ground truths (p10) and the panel does not mark this"
abramson2024af3,ED5B,PLOT,box,1,0,0,0,0,0,0,0,0,0,0,0,1,"Medians are not printed; the caption warns that ""some DNA structures in this set may not be duplexes"" while RF2NA ""was only trained and evaluated on duplexes"" — an acknowledged out-of-regime comparison shown at equal weight"
abramson2024af3,ED5C-D,RENDER,structure render + heatmap,1,0,0,0,0,0,0,0,0,0,0,0,1,"""Note the disordered N-terminus not entirely shown"" — part of the prediction is cropped out of the render"
abramson2024af3,ED6A,PLOT,bar,1,0,1,0,0,0,1,0,0,0,0,0,0,The measure's units are not stated in the caption (the y-axis label is not extractable); the effect is reported as a P value with no effect size in the text
abramson2024af3,ED6B-D,RENDER,structure render,1,1,0,0,0,1,0,0,0,0,0,0,0,Two hand-picked pairs carry the qualitative claim that pLDDT drops when the modification is omitted; no distribution
abramson2024af3,ED7A,PLOT,scatter + line,1,0,1,0,0,0,0,0,0,1,0,0,0,"The two smoothed curves are near-indistinguishable across the whole range, which **is** the result (""very similar dependence"", p5), but the point cloud is drawn in one colour family so the two models' raw points cannot be separated by eye; n never stated"
abramson2024af3,ED7B,PLOT,line,1,0,0,1,0,0,0,0,0,0,0,0,0,"**Two different measures (LDDT and iLDDT) share one y-axis** with the label ""LDDT or iLDDT"", so intra-chain and interface curves are not comparable despite being drawn together; the axis starts at 0 but the curves occupy only the 28–85 band, compressing the one curve that actually moves (antibody, n"
abramson2024af3,ED8,PLOT,bar (stacked),1,0,0,0,0,0,1,0,0,0,0,0,0,"**Full-height bars are drawn on n = 1 and n = 2 clusters** in the bonded-ligand and glycan panels, and empty bands on n = 0, with no CI anywhere — a 100% bar on one cluster reads identically to a 100% bar on 377. This set is also unfiltered for homology (p5)"
abramson2024af3,ED9,PLOT,scatter,1,0,0,0,0,0,0,0,0,0,0,0,1,"Heavy overplotting at 4,182 points with no density encoding; the derived equivalences (0.23 → 23.6, 0.8 → 77.6) are quoted in the caption without a residual or R²"
abramson2024af3,EDT1,SCHEMATIC,table (not a plot),1,0,0,0,0,0,0,0,0,0,0,0,1,"The table is **an image in the PDF and does not extract as text** — it had to be rendered to be read, which is why a corpus quoting AF3's numbers so often quotes Fig. 1c instead. The privilege class (""Holo protein struct. given"", ""Pocket residues specified"") is a `Notes` column that is easy to miss "
aureli2026epath,1,SCHEMATIC,schematic,0,0,0,0,0,0,0,0,0,0,0,0,0,—
aureli2026epath,2–4,PLOT,free-energy surface + line,0,0,0,0,0,0,0,0,0,0,0,0,0,—
aureli2026epath,"S5, S8",unclassified,NOT EXTRACTED,0,0,0,0,0,0,0,0,0,0,0,0,0,—
bret2025boltz2docking,(unnumbered in retrieved text),PLOT,NOT EXTRACTED,0,0,0,0,0,0,0,0,0,0,0,0,0,—
bret2025boltz2docking,(unnumbered),PLOT,NOT EXTRACTED,0,0,0,0,0,0,0,0,0,0,0,0,0,—
bret2025boltz2docking,S6,unclassified,NOT EXTRACTED,0,0,0,0,0,0,0,0,0,0,0,0,0,—
bryant2024cfold,1A,SCHEMATIC,schematic,0,0,0,0,0,0,0,0,0,0,0,0,0,
bryant2024cfold,1B,PLOT,violin with inner box,1,0,0,0,0,0,0,0,0,0,1,0,0,"Shows only the **best** sample per target — ""The best TM-score was selected for each method out of approximately 100 samples"" (caption, p.2) — so the violin is an oracle-selected upper envelope, not the sampling distribution"
bryant2024cfold,1C,MATRIX,heatmap / 2D kernel density,1,0,0,1,0,0,0,0,0,0,0,0,0,"Restricted to the 52 targets that succeeded on **both** states (""Only structures that could be predicted with a TM-score >0.8 for both train and test conformations among the samples taken are displayed"", caption p.2), so the panel cannot show failures; both axes are truncated to 0.6–1.0"
