receptor,ligand_role,ligand_variant,is_peptide,smiles,inchi,peptide_sequence,iupac_name,bound_pdb,affinity_metric,affinity_value_nM,affinity_source,activity_class,pdb_deposition_date,tautomer_note,protonation_ph74_note,notes,ccd_code,ccd_smiles,smiles_source
ADRB2,none,,FALSE,,,,,,,,,,,,,in-campaign baseline,,,
ADRB2,decoy_lig,,FALSE,COc1cccc([C@]2(O)CCCC[C@H]2CN(C)C)c1,"InChI=1S/C16H25NO2/c1-17(2)12-14-7-4-5-10-16(14,18)13-8-6-9-15(11-13)19-3/h6,8-9,11,14,18H,4-5,7,10,12H2,1-3H3/t14-,16+/m0/s1",,tramadol,,,,decoy_none_known,decoy_lig,,,,"Block C decoy_lig built by scripts/build_block_c_decoys.py (Gate 0.4); source: FDA-approved analgesic (μ-opioid + SNRI); no known β-adrenergic activity; Morgan(r=2,1024)_max_Tanimoto_vs_real_ligands<0.3 (n=3 parseable): T(S-(-)-propranolol)=0.159; T(erythro-(2R,3R)-1-(7-methylindan-4-yloxy)-3-isopropylamino-butan-2-ol [ICI-118,551])=0.154; T(R-(-)-isoproterenol)=0.136; canonical_smiles_sha256=1bb2e4a0898384d771bd6d5e084eb3441f5a488a14b9730d0e6728c55ee7f2b3",,,PubChem:CID33741
ADRB2,neutral_antagonist,,FALSE,CC(C)NC[C@@H](COc1ccccc1CC=C)O,"InChI=1S/C15H23NO2/c1-4-7-13-8-5-6-9-15(13)18-11-14(17)10-16-12(2)3/h4-6,8-9,12,14,16-17H,1,7,10-11H2,2-3H3/t14-/m0/s1",,(2S)-1-[(propan-2-yl)amino]-3-[2-(prop-2-en-1-yl)phenoxy]propan-2-ol [(S)-alprenolol],3NYA,Ki,4.0,Baker 2005 Br J Pharmacol 144:317 PMID:15655528; Wacker 2010 JACS 132:11443 PMID:20690642,neutral_antagonist,2010-07-01,beta-hydroxy stable; ortho-allyl phenyl ether,secondary amine protonated (+1) at pH 7.4; pKa~9.5,ADRB2 neutral_antagonist substituted 2026-09-04 (Step 1.1) from S-(-)-propranolol -> (S)-alprenolol; beta-hydroxy secondary amine sidebar pair preserved. pubchem_cid=91443 (S-form; racemate is CID:2119); inchikey_verified=YES: PAZJSJFMUHDSTF-AWEZNQCLSA-N (S-form) via CCD JTZ. Ki 4 nM at beta2AR per Baker 2005,JTZ,CC(C)NC[C@@H](COc1ccccc1CC=C)O,CCD:3NYA:JTZ
ADRB2,inverse_agonist,,FALSE,Cc1ccc(c2c1CCC2)OC[C@H]([C@H](C)NC(C)C)O,"InChI=1S/C17H27NO2/c1-11(2)18-13(4)16(19)10-20-17-9-8-12(3)14-6-5-7-15(14)17/h8-9,11,13,16,18-19H,5-7,10H2,1-4H3/t13-,16+/m0/s1",,"(2S,3S)-1-{(7-methyl-2,3-dihydro-1H-inden-4-yl)oxy}-3-(propan-2-ylamino)butan-2-ol [ICI-118,551, crystal-observed 2S,3S]",3NY8,Ki,0.7,Baker 2005 Br J Pharmacol 144:317 PMID:15655528; Wacker 2010 JACS 132:11443 PMID:20690642,inverse_agonist,2010-07-01,beta-hydroxy stable,secondary amine protonated (+1) at pH 7.4,"ADRB2 inverse_agonist ICI-118,551 SMILES replaced with CCD-authoritative (JRZ @ 3NY8) 2026-09-04 (Step 1.1). CCD encodes (2S,3S) stereo per crystal (VFIDUCMKNJIJTO-XJKSGUPXSA-N); prior row encoded (2R,3R) per Wacker 2010 (VFIDUCMKNJIJTO-BBRMVZONSA-N). Connectivity matches; CCD wins on stereo per crystal truth. pubchem_cid=5484725; inchikey_verified=YES (connectivity)",JRZ,Cc1ccc(c2c1CCC2)OC[C@H]([C@H](C)NC(C)C)O,CCD:3NY8:JRZ
ADRB2,full_agonist,,FALSE,CC(C)(Cc1ccc(cc1)O)NC[C@@H](c2ccc(c(c2)O)O)O,"InChI=1S/C18H23NO4/c1-18(2,10-12-3-6-14(20)7-4-12)19-11-17(23)13-5-8-15(21)16(22)9-13/h3-9,17,19-23H,10-11H2,1-2H3/t17-/m0/s1",,"4-[(1R)-1-hydroxy-2-{[1-(4-hydroxyphenyl)-2-methylpropan-2-yl]amino}ethyl]benzene-1,2-diol [hydroxybenzylisoproterenol, HBI]",4LDL,Ki,1.0,Del Carmine 2004 Br J Pharmacol; Ring 2013 Nature 502:575 PMID:23515162,full_agonist,2013-05-31,catechol phenol form dominant; tert-amine tertiary linker,tertiary amine protonated (+1) at pH 7.4; catechol OHs neutral (pKa~9-10),ADRB2 full_agonist substituted 2026-09-04 (Step 1.1) from R-(-)-isoproterenol -> hydroxybenzylisoproterenol (HBI); beta-hydroxy secondary-amine sidebar pair preserved. Direct beta2AR co-crystal at 4LDL (Ring 2013). Ki ~1 nM at beta2AR per Del Carmine 2004. pubchem_cid=129317; inchikey_verified=YES: CTXHFGIUMIBAFO-KRWDZBQOSA-N via CCD XQC,XQC,CC(C)(Cc1ccc(cc1)O)NC[C@@H](c2ccc(c(c2)O)O)O,CCD:4LDL:XQC
DRD3,none,,FALSE,,,,,,,,,,,,,in-campaign baseline,,,
DRD3,decoy_lig,,FALSE,Cc1cccc(C)c1Nc1ccccc1C(=O)O,"InChI=1S/C15H15NO2/c1-10-6-5-7-11(2)14(10)16-13-9-4-3-8-12(13)15(17)18/h3-9,16H,1-2H3,(H,17,18)",,mefenamic acid,,,,decoy_none_known,decoy_lig,,,,"Block C decoy_lig built by scripts/build_block_c_decoys.py (Gate 0.4); source: FDA-approved NSAID (COX-1/2); no dopaminergic activity; Morgan(r=2,1024)_max_Tanimoto_vs_real_ligands<0.3 (n=3 parseable): T(S-(-)-eticlopride)=0.141; T(haloperidol)=0.109; T((4aR,10bR)-4-propyl-3,4,4a,10b-tetrahydro-2H,5H-chromeno[4,3-b][1,4]oxazin-9-ol [PD 128907])=0.119; canonical_smiles_sha256=11992cbb98b027e4de2a3564b21a4ea3c92c92f733a90d277482c6c505b0d835",,,PubChem:CID4044
DRD3,neutral_antagonist,,FALSE,CCc1cc(c(c(c1O)C(=O)NC[C@@H]2CCC[N@]2CC)OC)Cl,"InChI=1S/C17H25ClN2O3/c1-4-11-9-13(18)16(23-3)14(15(11)21)17(22)19-10-12-7-6-8-20(12)5-2/h9,12,21H,4-8,10H2,1-3H3,(H,19,22)/t12-/m0/s1",,5-chloro-3-ethyl-N-{[(2S)-1-ethylpyrrolidin-2-yl]methyl}-2-hydroxy-6-methoxybenzamide [S-(-)-eticlopride],3PBL,Ki,0.5,Sokoloff 1992 Eur J Pharmacol 225:331 PMID:1354739; Chien 2010 Science 330:1091 PMID:21097932,neutral_antagonist,2010-11-19,amide s-trans dominant; salicylate H-bond intact,pyrrolidine tertiary amine protonated (+1); phenol pKa~9 mostly neutral,SMILES replaced with CCD-authoritative (ETQ @ 3PBL) 2026-09-04 (Step 1.1); InChIKey AADCDMQTJNYOSS-LBPRGKRZSA-N matches prior PubChem CID 57267. Connectivity + stereo preserved || PRIOR_NOTES: SMILES fixed 2026-09-03 post-B2-flag — original SMILES was missing the 6-methoxy group and mis-cited PubChem CID; corrected from PubChem CID:57267; InChIKey AADCDMQTJNYOSS-LBPRGKRZSA-N; RDKit round-trip PASS; inchikey_verified=YES,ETQ,CCc1cc(c(c(c1O)C(=O)NC[C@@H]2CCC[N@]2CC)OC)Cl,CCD:3PBL:ETQ
DRD3,inverse_agonist,,FALSE,OC1(c2ccc(Cl)cc2)CCN(CCCC(=O)c2ccc(F)cc2)CC1,,,haloperidol,,Ki,2.5,Newman 2005 J Med Chem 48:6459 PMID:16190770,inverse_agonist,,keto form dominant,piperidine N protonated (+1); tertiary alcohol OH neutral,classified inverse via constitutively-active-mutant D3 assay (Newman 2005); no clean DRD3+haloperidol co-crystal — bound_pdb empty; ligand_rmsd_to_ref will be NaN. Handoff to A2 flagged. SMILES canonical form pending verification vs PubChem CID:3559,,,PubChem:CID3559
DRD3,full_agonist,,FALSE,CCCN1CCO[C@H]2[C@H]1COc3c2cc(cc3)O,"InChI=1S/C14H19NO3/c1-2-5-15-6-7-17-14-11-8-10(16)3-4-13(11)18-9-12(14)15/h3-4,8,12,14,16H,2,5-7,9H2,1H3/t12-,14-/m1/s1",,"(4aR,10bR)-4-propyl-3,4,4a,10b-tetrahydro-2H,5H-chromeno[4,3-b][1,4]oxazin-9-ol [PD 128907]",7CMV,EC50,0.7,Pugsley 1995 J Pharmacol Exp Ther 275:1355 PMID:8531103; Xu 2021 Nat Chem Biol 17:1220 PMID:34556862,full_agonist,,"chromeno[4,3-b]oxazine fused 6,6-ring; single tautomer",morpholine tertiary amine (pKa~7-8) partially protonated at pH 7.4; phenol neutral,"bound_pdb corrected 7CMU -> 7CMV 2026-09-04 (Step 1.1); 7CMU actually contains pramipexole (CCD G6L), not PD-128907. 7CMV contains G6O = (4aR,10bR)-PD-128907 per Xu 2021 series. SMILES replaced with CCD-authoritative (G6O @ 7CMV); InChIKey YOILXOMTHPUMRG-TZMCWYRMSA-N unchanged (matches prior PubChem CID 5311346) || PRIOR_NOTES: SMILES fixed 2026-09-03 post-B2-flag — original SMILES had wrong ring topology (5-ring pyrrolidine instead of 6-ring 1,4-oxazine) and mis-cited PubChem CID; corrected from PubChem CID:5311346; InChIKey YOILXOMTHPUMRG-TZMCWYRMSA-N; RDKit round-trip PASS; inchikey_verified=YES. D3-selective full agonist; verify PDB 7CMU vs 8IRS against RCSB before dispatch (Xu 2021 series has multiple depositions)",G6O,CCCN1CCO[C@H]2[C@H]1COc3c2cc(cc3)O,CCD:7CMV:G6O
