citekey,design_class,control_class,design_text,control_text
abramson2024af3,held-out or post-cutoff set exists,run and analysed,"**PRESENT AND STRONG — this is the field the corpus needs from this paper. Two different cutoffs, a retrained model, a date-bounded evaluation window, and a 40%-sequence-identity homology filter.** Everything below is verbatim with pages. **(i) The standard training cutoff — 30 September 2021.** Met","**RUN AND ANALYSED — genuinely, in three separate ways. Not merely a held-out set that exists.** This is a stronger answer than most papers in this corpus can give. 1. **A retrained earlier-cutoff model.** The PoseBusters arm does not filter an existing model's test set; it uses ""a model (with ident"
aureli2026epath,not applicable (nothing trained),not applicable (nothing trained),"**NOT APPLICABLE** — no learned model, nothing to memorise.",**NOT APPLICABLE.**
bret2025boltz2docking,held-out or post-cutoff set exists,run and analysed,"**PRESENT, and of an unusual kind: adversarial rather than temporal.** Rather than a date cutoff, the design perturbs the target itself. Binding-site residues are mutated to alanine, including ""residue D92 in ADRA2B, D110 in DRD3, D115 in DRD4 ... mutated to alanine, a mutation known to suppress lig","**RUN AND ANALYSED, across all ten target sets.** ROC AUC is reported for wild type and mutant, and ΔROC AUC against increasing mutation count at randomly chosen positions. This is a stronger control than a date split, because it tests whether the model responds to the physics at all."
bryant2024cfold,held-out or post-cutoff set exists,partial,"**Present, and it is the paper's core contribution — but the cutoff is structural, not temporal, for the main set.** Design: a structure-aware conformational split of the PDB. Sequences clustered at 30% identity (""This is a more stringent cutoff than the 40% identity used in AlphaFold2"", p.7), struc","**Two answers, and the distinction matters.** (a) **RUN and powered for Cfold:** the held-out arm is the paper's main experiment — 155 held-out conformations predicted and scored, with the matched train-conformation arm reported side by side (Table 1, p.3; Fig. 1b–c, p.2). n = 155, above the ~10 thr"
bugrova2026representation,none,none run,"**NONE.** There is no training cutoff, no post-cutoff set, no held-out set and no similarity filter anywhere in the paper. The design is the deliberate opposite: ligands were chosen *because* they saturate the training data — ""ubiquitous in the available training sets and expected to be modeled well","**NONE RUN, and UNPOWERED if the BarA case is counted.** The BarA arm is never framed or analysed as a memorisation control; it is presented as a second chemistry system. Its result is used only interpretively, post hoc, without any matched in-training comparator: ""For BarA, none of the co-folding a"
chai2024chai1,held-out or post-cutoff set exists,run and analysed,"**yes, and it is the paper's most carefully specified section (§5.6, p11).** Three separate held-out constructions: 1. **PoseBusters V1**, n = 427: ""All structures in this benchmark set are released on or after 2021-01-13 – after our training data cutoff"" (p3). Temporal only; PoseBusters carries its","**the held-out sets are the primary evaluation and are analysed, so this is not the common ""held out but never used"" failure — but no dedicated memorization *control arm* is run.** What exists: the low-homology filter is applied and the filtered set is what every headline number is computed on (p11)"
chakravarty2026statespace,none,none run,"**NONE — and NOT APPLICABLE, because no set is held out for a run that does not exist.** What the paper *prescribes* (p17, verbatim) is precisely an anti-memorization design and is the sentence our own held-out design will be measured against: ""Benchmark datasets must therefore include proteins with","**NONE RUN.** No control arm of any kind exists in this document. The paper cites others' memorization findings rather than running one — p8: ""Likewise, large-scale analyses of fold-switching proteins demonstrate that current predictors frequently fail to identify alternative conformations outside t"
chen2026medchem,held-out or post-cutoff set exists,none run,"**Yes for the deposited set, plus a genuinely undeposited arm — but with named exceptions and one undocumented risk.** Verbatim (p6): ""The structures were selected from entries released after **September 30, 2021**, to ensure they were outside the AF3 training set."" Counts: **89 deposited entries (7","**NONE RUN as a formal arm — and this is the paper's largest missed opportunity.** The post-cutoff set exists and is used as the *whole* evaluation set; there is no matched pre-cutoff comparison arm anywhere. The paper had exactly the material for one — six undeposited structures, a set of nominally"
chib2025gpcrstates,none,none run,"**NONE.** There is no held-out set, no temporal cutoff, and no date filter of any kind. The dataset section (p6) states only the source and the class breakdown; no deposition-date criterion, no exclusion of structures released before the AF2 or AF3 training cutoffs, and no sequence-identity filter a","**NONE RUN.** Follows from the above: with no held-out or post-cutoff set defined, no control arm could be and none was. No arm splits the 75 receptors by deposition date, by whether the reference postdates the AF2 training cutoff, by PDB coverage of the receptor, or by number of deposited structure"
chiesa2025templatebias,held-out or post-cutoff set exists,run and analysed,"**PRESENT and well constructed.** Temporal split at 01 Jan 2023 against two separate model cutoffs, plus an explicit accounting of template availability and training-set membership per structure, plus six receptor families with no template and no training presence at all (p6302).","**RUN AND ANALYSED, and it is load-bearing for their main claim.** The 94-of-145 no-template-no-training subset and the six unseen families are used to argue that the AFM advantage is not merely a training-set artefact: ""The better performances of AFM compared to AF2 should not be attributed only to"
chitsazi2025gpcrdock4,held-out or post-cutoff set exists,partial,"**YES — and it is the strongest form of it available: not a date-filtered held-out set but genuinely unpublished reference structures.** - **n = 5 targets** (886 scored models). The held-out property is per target, not per model. - **How the cutoff was defined: by the model submission deadline, not ","**Split answer — a control arm was genuinely run for the participant assessment, and NONE RUN for the AF3-era arm.** - **Participant assessment: RUN, and it is the whole experiment.** All 886 models were scored against references that did not exist in public form when they were built. This is not a "
ekstromkelvinius2024discriminator,partial / weak,run and analysed,"**Partial, and it is a chemistry-specific form.** MOSES reports a *novelty* metric and the authors additionally recompute metrics ""only on novel molecules"" (Table 5, p16), which isolates performance on outputs not present in training. That is closer to a memorization control than most papers manage.","**RUN, in the novelty-restricted form above (Table 5, p16), and analysed.** Its scope is narrow: it addresses training-set copying of graphs, not memorization of a target answer, because there is no target answer here."
feldman2026alphainterp,held-out or post-cutoff set exists,run and analysed,"**YES, and it is one of the stronger designs in this corpus.** n = 400, split 200 Novel / 200 Similar. Cutoff defined by the AF3 training date, **30 September 2021**, with three simultaneous criteria (p24 §4.1): (i) *all* 400 deposited after that date; (ii) Novel = no ≥30% sequence homology to any P","**RUN AND ANALYSED, and well powered (n = 200 per arm).** Not merely a held-out set that exists. Verbatim, p9: ""Finally, we separated the Similar and Novel cohorts to test whether training-set membership modulates any of these effects. Across all biophysical probes—secondary structure, SASA, burial "
ferguson2026deorphann,partial / weak,partial,"**held-out sets exist, three kinds, none of them date-based.** 1. **Grouped cross-validation, held out by receptor gene and by family.** p14: ""we employed stratified group 10-fold cross-validation. Grouping by GPCR was performed to minimize leakage of receptor-specific information between folds. Iso","**PARTIALLY RUN — the generalisation arms were run and analysed as arms; the memorization question was never posed.** - **Run and analysed:** the *Platynereis* arm (Fig 5A, p25, mAP 0.35 vs random, Wilcoxon matched-pairs signed rank, p < 0.01); the human benchmark arm (Fig 5C, p25, mAP 0.72 vs Spati"
georgiou2025heterogeneity,not applicable (nothing trained),not applicable (nothing trained),"**NOT APPLICABLE.** No trained model, no training set, no cut-off, nothing that could be memorised. The nearest analogue — whether the review's conclusions depend on structures deposited after some date — is not a meaningful question for a secondary source.","**NOT APPLICABLE**, same reason. `NONE RUN` would be technically true and semantically empty."
gilson2025casp16,held-out or post-cutoff set exists,run and analysed,"**PRESENT and multi-layered — the strongest such design in the corpus after `chitsazi2025gpcrdock4`, and stronger in one respect (it caught its own leaks). Four layers, with n for each:** 1. **The blind window itself.** 229 pose targets and 140 affinity targets whose answers were unreleased between ","**RUN, and analysed, in four separate arms — and the headline result is a NULL that cuts against the memorization hypothesis. But the arm that matters most is UNPOWERED (n = 1).** - **Arm 1 — baseline accuracy vs PDB similarity, per target, four methods (Figure 7, p12). RUN. Result: no correlation.*"
