experiment	group	title	status	status_basis	systems_enumerated	systems_file	n_systems	n_receptors	n_clusters	named_in_run_matrix	cost_class	depends_on
E0.1	E0	Recalibrate the predicate on the off-panel Class A population	BLOCKED	Group 0 is the instrument calibration and depends on the MEASUREMENT PASS, which has never run and does not start without Aditya's word	no		0	0	0	yes	`free*` — no inference, but ~726 downloads, chain selection and generic-number mapping. Budget days, not hours.	Nothing. **Everything else that reports a rate depends on it.**
E0.2	E0	Concordance against an independent state index	BLOCKED	Group 0 is the instrument calibration and depends on the MEASUREMENT PASS, which has never run and does not start without Aditya's word	no		0	0	0	no	`free*`, rides on E0.1's measurement pass. (c) may be impossible; say so.	E0.1.
E0.3	E0	Admit a third state	BLOCKED	Group 0 is the instrument calibration and depends on the MEASUREMENT PASS, which has never run and does not start without Aditya's word	no		0	0	0	no	`free*`, 21 structures, rides on E0.1.	
E0.4	E0	Report the axes continuously and the predicate as a derived call	BLOCKED	Group 0 is the instrument calibration and depends on the MEASUREMENT PASS, which has never run and does not start without Aditya's word	no		0	0	0	yes	`free` on A and B today.	
E0.5	E0	Decide the class B and class F instrument	DROPPED	catalogue banner: CLOSED 2026-09-12 at option (a) — drop B and F; the work is Class A.	no		0	0	0	yes	(a) free, (b) `free*`.	
E1.1	E1	The α5-CT length ladder	ENUMERATED	1007 systems in g1_systems.csv	yes	g1_systems.csv	1007	64	32	yes	`real`. Five new rungs (R1–R5) × 40 receptors × 4 backbones × 50 = **40,000 predictions**. On the 64-receptor census: **	E0.1 for the threshold; nothing else. Can be dispatched before calibration finishes if the axes are shipped continuously.
E1.2	E1	Bulk control, crossed at two rungs	ENUMERATED	180 systems in g1_systems.csv	yes	g1_systems.csv	180	30	29	yes	`real`. Two arms × 40 receptors × 4 backbones × 50 = **16,000**. One arm on one backbone as a pilot: **2,000**.	
E1.3	E1	Composition-matched and order-matched controls at peptide length	ENUMERATED	300 systems in g1_systems.csv	yes	g1_systems.csv	300	30	29	yes	`real`. Four new arms × 40 × 4 × 50 = **32,000**; on one backbone **8,000**.	E1.1 R2 existing (can be dispatched together).
E1.4	E1	Family swap at peptide length	ENUMERATED	30 systems in g1_systems.csv	yes	g1_systems.csv	30	30	29	yes	`real`. One swap arm × 40 × 4 × 50 = **8,000**.	E1.1 R2.
E1.5	E1	Per-position scan inside the supplied α5-CT	ENUMERATED	360 systems in g1_systems.csv	yes	g1_systems.csv	360	10	10	yes	`real` but scalable. 21 arms × 10 receptors × 1 backbone × 20 samples = **4,200**. At 50 samples and 4 backbones it is 8	E1.1 (a length must be chosen first), and see the retrieval confound below, which constrains *which* length.
E1.6	E1	The Gi/Gt single-residue natural pair	ENUMERATED	30 systems in g1_systems.csv	yes	g1_systems.csv	30	30	29	yes	`real`, one arm, **8,000**; or 2,000 on one backbone.	
E1.7	E1	Gα alone versus heterotrimer	ENUMERATED	30 systems in g1_systems.csv	yes	g1_systems.csv	30	30	29	yes	`real`, one arm, **8,000**. Requires a three-chain input schema — Block A's FASTA schema is single-partner, so this is a	
E1.8	E1	Uncoupling point-mutant Gα arms	ENUMERATED	36 systems in g1_systems.csv	yes	g1_systems.csv	36	6	6	yes	`real`, small: 2 arms × 5 receptors × 4 backbones × 50 = **2,000**; worth extending to more Gs receptors.	
E1.9	E1	Coevolution versus sterics: partner MSA on and off	ENUMERATED	90 systems in g1_systems.csv	yes	g1_systems.csv	90	30	29	yes	`real`, 2 arms, **16,000**; or 4,000 on one backbone.	
E2.1	E2	Export the state call on Block C's existing predictions	NEEDS_TRIAGE	in the catalogue, not enumerated, no decision recorded	no		0	0	0	yes	**`free (them)`.** The predictions are scored. The file is SHA-pinned in twenty places.	An instruction, not data: Block C's dispatch forbids connecting the block to two-state generation and Flag C-3 forbids quoting a binary rate for a *ligand-class
E2.2	E2	The real 2×2: ligand presence × partner presence	NEEDS_TRIAGE	in the catalogue, not enumerated, no decision recorded	no		0	0	0	yes	`real` if re-run: 4 cells × 28 receptors × 4 backbones × 50 = **22,400**. Potentially **`free (them)`** if Block C's exi	
E2.3	E2	Efficacy ladder	NEEDS_TRIAGE	in the catalogue, not enumerated, no decision recorded	no		0	0	0	no	`real`, 2 new roles × 28 receptors × 4 backbones × 50 = **11,200**; plus curation of inverse-agonist and partial-agonist	
E2.4	E2	The agonist-versus-decoy-ligand result	NEEDS_TRIAGE	in the catalogue, not enumerated, no decision recorded	no		0	0	0	yes	**`free (them)`.**	
E3.1	E3	Restate the confidence result arm- and receptor-conditionally	NEEDS_TRIAGE	in the catalogue, not enumerated, no decision recorded	no		0	0	0	yes	`free`, on 9,490 rows in hand.	
E3.2	E3	The operational test	NEEDS_TRIAGE	in the catalogue, not enumerated, no decision recorded	no		0	0	0	yes	`free`.	
E3.3	E3	Confidence on the supplied partner chain	NEEDS_TRIAGE	in the catalogue, not enumerated, no decision recorded	no		0	0	0	yes	`free` on Block A; a required column on any new peptide arm.	
E4.1	E4	A date-stratified holdout panel	NEEDS_TRIAGE	in the catalogue, not enumerated, no decision recorded	no		0	0	0	yes	`real`, and cheap for what it buys: 12 receptors × 4 backbones × (however many rungs) × 50. At 3 rungs, **7,200**.	"Per-backbone cutoffs. Boltz-2 2023-06-01, Protenix 2021-09-30, Chai-1 2021-01-12 (**but Chai-1 also trains on AlphaFoldDB — do not write ""saw nothing after Janu"
E4.2	E4	Training exposure against effect size	NEEDS_TRIAGE	in the catalogue, not enumerated, no decision recorded	no		0	0	0	yes	`free` — Block B rows plus the GPCRdb snapshot, both in hand. Note `deposition_count` in the Block B covariates is const	
E4.3	E4	The wild-type 21-mer as an unseen input	NEEDS_TRIAGE	in the catalogue, not enumerated, no decision recorded	no		0	0	0	yes	`free` to establish (a search over the deposited set); rides on E1.1 to use.	
E4.4	E4	A post-cutoff inactive-state binder	NEEDS_TRIAGE	in the catalogue, not enumerated, no decision recorded	no		0	0	0	yes	`real`, ~600–2,000.	Finding a candidate. The search was closed rather than answered.
E5.1	E5	Steric exclusion at panel scale	NEEDS_TRIAGE	in the catalogue, not enumerated, no decision recorded	no		0	0	0	yes	`cheap` (the predictions exist; the coordinates were not shipped). Item 7 of `analysis/block_a/DATA_REQUESTS.md`.	
E5.2	E5	Per-Ballesteros–Weinstein decomposition	NEEDS_TRIAGE	in the catalogue, not enumerated, no decision recorded	no		0	0	0	no	**`free (them)`.**	
E5.3	E5	Report the ensemble, not its mean	NEEDS_TRIAGE	in the catalogue, not enumerated, no decision recorded	no		0	0	0	yes	`free`.	
E5.4	E5	Dose–response on engagement depth	NEEDS_TRIAGE	in the catalogue, not enumerated, no decision recorded	no		0	0	0	yes	`free`.	
E5.5	E5	What the failures have in common	NEEDS_TRIAGE	in the catalogue, not enumerated, no decision recorded	no		0	0	0	no	`free` on A and B; needs Block D's rows for D.	
E6.1	E6	A row-level delivery contract, agreed before the campaign runs	NEEDS_TRIAGE	in the catalogue, not enumerated, no decision recorded	no		0	0	0	yes	free, and it is a precondition rather than an experiment.	
E6.2	E6	/ E6.3 — Ship the three Block D `rows.csv` and `rows.tier3.v2.csv`	NEEDS_TRIAGE	in the catalogue, not enumerated, no decision recorded	no		0	0	0	yes	**`free (them)`.** Between them these two files close ~18 of the 62 open asks across the four request documents — Block 	
E6.4	E6	Pair seeds across arms	NEEDS_TRIAGE	in the catalogue, not enumerated, no decision recorded	no		0	0	0	yes	free if specified before dispatch; impossible afterwards.	
E7.1	E7	What would an inactive-directing co-input even be?	NEEDS_TRIAGE	in the catalogue, not enumerated, no decision recorded	no		0	0	0	no	free to write; `real` to test.	
E7.2	E7	Cross-class transfer: the class B ladder	PARKED	catalogue banner: PARKED 2026-09-12, not killed.	no		0	0	0	yes	`free*` for the predicate, then `real`: 8 receptors × 4 backbones × 4 rungs × 50 = **6,400**.	
E7.3	E7	A prospective arm on receptors with no solved active state	NEEDS_TRIAGE	in the catalogue, not enumerated, no decision recorded	no		0	0	0	yes	`real`, 9 × 4 × 3 rungs × 50 = **5,400**.	
E7.4	E7	Estimate the interaction, with power stated in advance	NEEDS_TRIAGE	in the catalogue, not enumerated, no decision recorded	no		0	0	0	yes	`free` once one row-level ligand table exists.	
E7.5	E7	Extend the panel to the Class A both-state census	NEEDS_TRIAGE	in the catalogue, not enumerated, no decision recorded	no		0	0	0	no	`real` multiplier: every arm becomes 12,800 instead of 8,000, a 1.6× uplift on everything. **Adopt it only for the arms 	
E7.6	E7	A second biological co-input at peptide length: the arrestin finger loop	NEEDS_TRIAGE	in the catalogue, not enumerated, no decision recorded	no		0	0	0	yes	`real`, 1–2 arms, **8,000–16,000**; 2,000 on one backbone.	
E8.1	E8	Cross depth with partner, in the middle of the ladder	NEEDS_TRIAGE	in the catalogue, not enumerated, no decision recorded	no		0	0	0	no		**E8.3 first — the anchor must be fixed or the top rung is undefined.** Also on E1.1 if the middle rungs are used; the cognate-level version can run alone.
E8.2	E8	Cross depth with ligand, at fixed partner condition	NEEDS_TRIAGE	in the catalogue, not enumerated, no decision recorded	no		0	0	0	no	`real`. 5 depths × 1 new ligand arm × 26 × 4 × 50 = **26,000**; at 2 depths on 1 backbone, **2,600**.	E8.3; the Block C ligand curation (which receptors have a usable agonist — 35 of 36 in Block C, with HRH3 missing the role entirely).
E8.3	E8	Fix the depth anchor before any depth work. **Blocking.**	NEEDS_TRIAGE	in the catalogue, not enumerated, no decision recorded	no		0	0	0	no	`free (them)` for (i), (ii), (iv); `real` but trivial for (iii).	
E9.1	E9	Characterise the floor from data already held. **free.**	NEEDS_TRIAGE	in the catalogue, not enumerated, no decision recorded	no		0	0	0	no	`free`, and most of it is done above.	
E9.2	E9	Deep apo sampling, targeted rather than uniform	NEEDS_TRIAGE	in the catalogue, not enumerated, no decision recorded	no		0	0	0	no	`real`, and targeting is most of the value:	E9.1 for the selection; E0.1, because recalibrating the thresholds moves which cells are pinned — **run the selection after calibration, not before.**
E9.3	E9	Report every rung against its own backbone's floor. **free.**	NEEDS_TRIAGE	in the catalogue, not enumerated, no decision recorded	no		0	0	0	no	`free`.	
