receptor,backbone,cluster,apo_rate,apo_n,apo_n_nan_np,decoy_rate,decoy_n,decoy_n_nan_np,shuffled_rate,shuffled_n,shuffled_n_nan_np,cognate_rate,cognate_n,cognate_n_nan_np,delta_apo_to_decoy,delta_decoy_to_shuffled,delta_shuffled_to_cognate,ceiling_pinned,floor_pinned,all_nan_np_arm
5HT1B,boltz,serotonin,0.0,50,0,0.22,50,0,1.0,50,0,1.0,50,0,0.22,0.78,0.0,True,True,False
5HT2C,boltz,serotonin,0.0,50,0,0.0,50,0,0.0,50,0,0.0,50,0,0.0,0.0,0.0,False,True,False
5HT5A,boltz,serotonin,0.0,50,0,0.8,50,0,1.0,50,0,1.0,50,0,0.8,0.19999999999999996,0.0,True,True,False
AA1R,boltz,adenosine,0.0,50,0,0.0,50,0,0.0,50,0,1.0,50,0,0.0,0.0,1.0,True,True,False
AA2AR,boltz,adenosine,0.02,50,0,0.0,50,0,0.04,50,0,0.8,50,0,-0.02,0.04,0.76,False,True,False
ACM1,boltz,muscarinic,0.0,50,0,0.12,50,0,0.94,50,0,0.76,50,0,0.12,0.82,-0.17999999999999994,False,True,False
ACM2,boltz,muscarinic,0.52,50,0,0.82,50,0,1.0,50,0,1.0,50,0,0.29999999999999993,0.18000000000000005,0.0,True,False,False
ACM4,boltz,muscarinic,0.0,50,0,1.0,50,0,0.98,50,0,1.0,50,0,1.0,-0.020000000000000018,0.020000000000000018,True,True,False
ADA2A,boltz,adrenergic_alpha,0.06,50,0,0.94,50,0,1.0,50,0,1.0,50,0,0.8799999999999999,0.06000000000000005,0.0,True,False,False
ADRB1,boltz,adrenergic_beta,0.02,50,0,1.0,50,0,1.0,50,0,1.0,50,0,0.98,0.0,0.0,True,True,False
ADRB2,boltz,adrenergic_beta,0.0,50,0,0.78,50,0,1.0,50,0,1.0,50,0,0.78,0.21999999999999997,0.0,True,True,False
AGTR1,boltz,angiotensin,1.0,50,0,1.0,50,0,1.0,50,0,1.0,50,0,0.0,0.0,0.0,True,False,False
APJ,boltz,apelin,0.0,50,0,0.0,50,0,0.1,50,0,0.08,50,0,0.0,0.1,-0.020000000000000004,False,True,False
B1B1U5,boltz,opsin_invertebrate_jsr1,0.0,50,0,0.0,50,0,0.38,50,0,0.98,50,0,0.0,0.38,0.6,True,True,False
CCKAR,boltz,cholecystokinin,0.0,50,0,1.0,50,0,1.0,50,0,1.0,50,0,1.0,0.0,0.0,True,True,False
CCR5,boltz,chemokine_ccr,0.2,50,0,0.38,50,0,0.94,50,0,0.98,50,0,0.18,0.5599999999999999,0.040000000000000036,True,False,False
CNR1,boltz,cannabinoid,0.42,50,0,0.98,50,0,1.0,50,0,1.0,50,0,0.56,0.020000000000000018,0.0,True,False,False
CNR2,boltz,cannabinoid,0.02,50,0,0.24,50,0,0.78,50,0,0.94,50,0,0.22,0.54,0.15999999999999992,False,True,False
