slug	tier	gpcr_class	accession	gpcrdb_entry	canon_len	tm1_start_uniprot	tm1_start_gpcrdb	tm1_start_used	tm7_end_uniprot	h8_gpcrdb	c_anchor_used	c_anchor_source	signal	trim_start	trim_end	cap_start	signal_peptide_removed	n_removed_signal	signal_residues_retained	trim_len	n_removed_nterm	n_removed_cterm	n_removed_total	pct_removed	cap_binds_nterm	cap_binds_cterm	trim_sha256	canon_sha256
5HT1B	C1	A	P28222	5ht1b_human	390	47	45	45	370	373-384	384	GPCRdb H8 end	none	1	390	1	none	0	0	390	0	0	0	0.0	no	no	0bc8c4af6f71c06551d42d9e55f83b97dcc2d26f51beb15e8c7e1cf1607d5db7	0bc8c4af6f71c06551d42d9e55f83b97dcc2d26f51beb15e8c7e1cf1607d5db7
5HT2A	C1|C1r	A	P28223	5ht2a_human	471	81	69	69	382	384-397	397	GPCRdb H8 end	none	19	471	19	none	0	0	453	18	0	18	3.8	yes	no	6a863bfc1d508097c10fadac723369b377d32e4aa95dffe494a9d1bdec073e82	2b9b5928cca6ac49d4004d64fc2f2598fd08812dd42e720993169a86769075f5
5HT2C	C1|C1r	A	P28335	5ht2c_human	458	56	54	54	370	372-385	385	GPCRdb H8 end	1-32	33	458	4	true	29	0	426	3	0	3	0.7	yes	no	58213627cdd495558d771a652f8c3c2a3eedb2a24a466d68b846c61a58db6829	8bb8e760c142b1a44ba1409375e34de5c0836b1b5e77ec6fac96a7a9d07d121f
5HT5A	C1|H-protenix	A	P47898	5ht5a_human	357	37	36	36	339	342-353	353	GPCRdb H8 end	none	1	357	1	none	0	0	357	0	0	0	0.0	no	no	d2f2f70ece4e15359b239d748893980caf60bf73406b2777723aee6e168d8371	d2f2f70ece4e15359b239d748893980caf60bf73406b2777723aee6e168d8371
AA1R	C1	A	P30542	aa1r_human	326	12	6	6	289	292-314	314	GPCRdb H8 end	none	1	326	1	none	0	0	326	0	0	0	0.0	no	no	1287bf4746a29da750f6c6b98f8c56e324160e07114ae16472b00598f130c4a1	1287bf4746a29da750f6c6b98f8c56e324160e07114ae16472b00598f130c4a1
AA2AR	C1	A	P29274	aa2ar_human	412	8	1	1	290	292-314	314	GPCRdb H8 end	none	1	412	1	none	0	0	412	0	0	0	0.0	no	no	d1707e447ac7d7fcd10f6f1c1e61754460b8f5e206eedc0ba64747cd49b733f2	d1707e447ac7d7fcd10f6f1c1e61754460b8f5e206eedc0ba64747cd49b733f2
ACM1	C1	A	P11229	acm1_human	460	23	21	21	420	422-435	435	GPCRdb H8 end	none	1	460	1	none	0	0	460	0	0	0	0.0	no	no	a9d70e6dd79a9d6d5fef6772b08efb426eba56ffbc49737c550220e71c521746	a9d70e6dd79a9d6d5fef6772b08efb426eba56ffbc49737c550220e71c521746
ACM2	C1	A	P08172	acm2_human	466	21	19	19	442	444-456	456	GPCRdb H8 end	none	1	466	1	none	0	0	466	0	0	0	0.0	no	no	18e4fe4189d4300e2c85dc966249934aacd3dc3e351a62364a698aa32cefc59a	18e4fe4189d4300e2c85dc966249934aacd3dc3e351a62364a698aa32cefc59a
ACM3	X	A	P20309	acm3_human	590	68	64	64	546	548-561	561	GPCRdb H8 end	none	14	590	14	none	0	0	577	13	0	13	2.2	yes	no	9ef00ec3196fc0917335f8c24bab3dd0f472ac0ad6e310d067fec64a96c3cb0b	f3a234965b33be052fd4748f042f809d2add6da3b3f556da4c51eca393e1fe9d
ACM4	C1|C1r|H-protenix	A	P08173	acm4_human	479	32	26	26	456	457-471	471	GPCRdb H8 end	none	1	479	1	none	0	0	479	0	0	0	0.0	no	no	f70d1259f715e6623d47df37bf5b8b7588be8a29df97c3395ddcf28f3c3d0593	f70d1259f715e6623d47df37bf5b8b7588be8a29df97c3395ddcf28f3c3d0593
