slug	uniprot_acc	canon_len	active_pdb	inactive_pdb	n_present_active	n_present_inactive	n_present_both	n_resolved_active	n_resolved_inactive	n_resolved_both	resolved_both_span	resolved_both_ranges	frac_canon_scoreable	n_canon_never_scoreable
5HT1B	P28222	390	6G79	5V54	357	290	290	262	283	260	45-385	45-187,197-239,305-338,346-385	0.6667	130
5HT2A	P28223	471	8UWL	7WC7	339	290	290	276	277	267	77-397	77-180,188-265,313-397	0.5669	204
5HT2C	P28335	458	8DPF	6BQH	458	299	299	264	287	261	59-383	59-120,126-203,206-245,301-338,341-383	0.5699	197
5HT5A	P47898	357	7X5H	7UM4	356	336	336	274	254	251	38-341	38-66,75-231,277-341	0.7031	106
AA1R	P30542	326	7LD3	5UEN	325	294	294	288	292	282	4-301	4-211,228-301	0.865	44
AA2AR	P29274	412	8WDT	6S0L	315	299	298	297	287	278	3-305	3-147,156-201,219-305	0.6748	134
ACM1	P11229	460	6OIJ	6WJC	346	322	322	293	285	275	22-437	22-218,360-437	0.5978	185
ACM2	P08172	466	7T94	5ZK8	330	298	298	265	273	257	23-451	23-214,383-412,417-451	0.5515	209
ACM4	P08173	479	7TRP	5DSG	333	295	295	267	287	267	33-464	33-226,392-464	0.5574	212
ADA1A	P35348	466	7YM8	8HN1	310	294	294	271	265	263	24-341	24-213,269-341	0.5644	203
ADA2A	P08913	465	7EJ8	6KUX	465	289	289	263	269	259	44-457	44-183,202-242,380-457	0.557	206
ADRB1	P08588	477	7BU7	7BVQ	346	292	292	277	285	277	54-392	54-256,319-392	0.5807	200
ADRB2	P07550	413	8GG0	2R4R	393	365	353	282	216	202	37-339	37-59,61-90,108-164,203-241,268-291,311-339	0.4891	211
AGTR1	P30556	359	6OS2	8TH3	318	310	310	305	291	291	18-316	18-226,235-316	0.8106	68
APJ	P35414	380	8XZH	5VBL	380	305	305	303	293	288	19-324	19-56,62-229,243-324	0.7579	92
